,title,salary,company,description,location
99,Data Analyst on W2,$60 - $65 an hour,ST Global LLC,Ad-hoc SQL query development skills. Excellent PowerPoint and MS Excel skills including general pivot charts and basic formula skills.,Remote
100,Data Analyst,,Alliance Health Professionals Pllc,2-3 years experience in a Medical Facility analyzing data is required. Knowledge of PC-based applications used for data management.,"Clinton Township, MI"
101,"Data Analyst (Fully Remote, Nationwide)",,"TCG, Inc.",Organize and format data to ensure efficiency and quality in data storage and retrieval. Prepare and present quantitative data for an executive audience.,Remote
102,Data Analyst,"$105,000 - $115,000 a year","Seventh Sense Consulting, LLC","Knowledge of master data management and data governance. Familiarity with data quality and data governance concepts. CDP Certification (desired, not required).",Remote +3 locations
103,Data Analyst,,Curative,The data analyst will work on our data team alongside data scientists and data engineers. The objective is to increase the data team's capacity for providing…,"Austin, TX"
104,Data Analyst,$25 an hour,Crescent Community Health Center,"Perform data audits to ensure accuracy of complex healthcare data. Bachelor's degree, five (5) or more years of relevant experience, or in pursuit of degree, in…","Dubuque, IA"
105,Data Analyst,"$100,000 - $135,000 a year",Etha One,Validating quality of data and analysis. Identifying analytical approaches and appropriate data to investigate. Main duties include but are not limited to:,Remote
106,Data Analyst,$35 - $45 an hour,Ingress IT Solutions,Compile and analyze data related to business' issues. Develop clear visualizations to convey complicated data in a straightforward fashion.,Remote
107,Data Analyst,"$45,000 - $65,000 a year","Blue River Financial Group, Inc.","Market research and/or data analysis. Manage, organize, and fix data within Blue River’s CRM (DealCloud). Scrub data to assure Target and Buyer Lists contain…",Remote
108,Data Integrity Analyst,,Carhartt,Design random and scheduled master data audits of various data domains in support of data governance. Participate in data governance and other projects related…,"Dearborn, MI"
109,Data Product Analyst,,Adobe,Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design…,"San Jose, CA"
110,"Analyst, Insights","$55,000 - $60,500 a year",Monigle Associates Inc,"Analyze data and uncover meaningful brand insights, proof quality and accuracy of data. Strong attention to detail and a keen eye for reading research.",Remote
111,Data Analyst,,Poloniex,"Collect/manage diverse data to generate curated data sets for ease of interpretation and reporting. Perform complex data analysis of customer data, provide…","Boston, MA"
112,Data Analyst,"$75,000 - $90,000 a year",Ruprecht/Kilcoy,"Developing and maintaining data systems – reorganizing data in a readable format. Experience in data models, database design development, data mining, and…","Mundelein, IL"
113,Data Analyst,"$50,000 - $75,000 a year",BBC Research & Consulting,"Benefits: Health insurance (with dental and vision), life insurance, retirement plan with 3 percent employer match, accrued flex time.",Remote
114,Data Science Analyst,,Optimal Inc.,The selected individual will assist in the development of a research data analytics platform; collaborate with cross-functional teams for data collection and…,"Dearborn, MI"
115,Market Data Analyst,"$90,000 - $130,000 a year",MayStreet,"Must have a basic understanding of market data delivery methods as well as data access methodologies, including general API terminologies and functions.",Remote
116,Data Analyst I Full time - 100% Remote,,AFFINE ANALYTICS PRIVATE LIMITED,"Experience*: 3 years – 6 years. We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics,…",Remote
117,Data Analyst (Remote),"$60,000 - $80,000 a year",pulseData,You'll be cleaning and scrubbing medical record data and claims data to ensure it can be used in our data pipelines. Bonus points for any experience in Spark.,"New York, NY"
118,Clinical Data Analyst,,Health Gorilla,Establish data quality standards for incoming clinical data from multiple sources. Evaluate data quality and data performance metrics of our processing…,"Miami, FL"
119,Business Analyst,,Kinetix,At the drive through you break down why some restaurants get you a Royale with Cheese in 10 minutes and then promptly share your results with the manager of…,Remote
120,Business Analyst - 100% Remote,,Gen3 Technology Consulting LLC,"3 weeks PTO per year. Use data to create overall cost versus benefit assessment while considering functional benefits, technical performance, risks, and…",Remote
121,Data Analyst I (US - Contract),$40 - $48 an hour,Expedia Group,"Apply your expertise in quantitative analysis, data visualization, statistical methods, and data mining to understand Finance data within both established and…","Austin, TX"
122,Senior Supply Chain Data Analyst - 100% Remote,"$85,000 - $105,000 a year",BlueSky Technology Solutions,Healthcare Supply Chain Analytics: 5 years (Preferred). Supply Chain Cost Savings/Process Improvement Project: 5 years (Preferred).,Remote
123,Data Analyst,$60 - $65 an hour,X2Logics,Proven working experience as a data analyst or business data analyst. Acquire data from primary or secondary data sources and maintain databases/data systems.,Remote
124,Data Analyst (REMOTE),"$115,000 - $126,000 a year",CBRE,"Bachelor's degree from top tier school in computer science, math, engineering or related field with a minimum of 3 years of experience in quantitative analysis,…",Remote
125,Data Analytics and Reporting Analyst,,Ally Financial,"Assist with data governance support, including data definitions and subject matter knowledge. Provide validated & reconciled data extracts for audits, and other…","Detroit, MI"
126,Research Data Analyst,,Komodo Health,"Published manuscripts using claims data. At least two years of experience working with healthcare claims (data query, data cleaning, descriptive and inferential…","New York, NY +2 locations"
127,Integrated Data Analyst- Intermediate (Remote),,UPMC,"2 years of experience in data analytics required. Apply data-mining, statistical and advanced modeling techniques.",Remote +1 location
128,Senior Data & Research Analyst,,Dialexa,Experience with visualizing data and deriving actionable insights from data. Utilizing quantitative methods to create data-driven personas.,"Chicago, IL"
129,Data Solutions Analyst,,Brand ID,"This role is responsible for mapping, integrating, transforming, formatting and maintaining sets of data, ensuring data accuracy and consistency.",Remote
130,Research Data Analyst,,Yale University,Document data processing and workflows. Proficiency in R programming and data processing. Experience working with spatial data and maps.,"New Haven, CT"
131,Data Analyst and Visualization Specialist,,Booz Allen Hamilton,"2+ years of experience with data analysis, data visualization analysis, or data engineering. Change current Tableau dashboards to Power BI, respond to ad hoc…","McLean, VA"
132,Clinical Data Analyst,,Infirmary Health,Provides data analysis and administrative support to assigned department according to established standards. Excellent communication and keyboarding skills.,"Fairhope, AL"
133,Data and Reporting Analyst (Remote),"$67,068 a year",University of Colorado,"Experience with varied data platforms, including knowledge of query tools and data warehouses. Perform QC of all department outputs including analyses and…","Aurora, CO"
134,Data Visualization Analyst,,Farm Journal,Organize and clean unstructured data to present through Tableau and alter data models and package structure as business requirement change.,Remote
135,COVID-NET Data Analyst,"$72,000 a year",CDC Foundation,"Perform basic data management, data cleaning and statistical analysis using SAS, R, or other statistical programming language on infectious disease data to…",Remote
136,Data Analyst,,Scripps Health,"May be involved in exploratory data analysis, confirmatory data analysis and/or qualitative analysis. Gathering operational data to examine past business…","San Diego, CA"
137,Data Analyst,"$66,206 - $72,474 a year",Cresen Solutions,Hands-on technical experience and ability to perform data analysis. Attention to detail and strong focus on technical analysis.,Remote
138,Research Analyst (Remote - United States),,Age of Learning,"Conduct data validation checks to ensure that all data are error-free. Produce descriptive reports of data, highlights on specific findings, and summaries of…",Remote
139,Data Analyst/Modeler,"$80,000 - $85,000 a year",Millennial Specialty Insurance,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets. Experience with cloud-based data warehouse, data lake, and enterprise…",Remote
140,Technical Data Analyst,,Disney Media & Entertainment Distribution,"Familiarity with data exploration and data visualization tools like Tableau, Looker, Chartio, etc. This expertise will manifest in the design and implementation…","New York, NY"
141,"Business Analyst , SPS Content Management","$74,300 - $130,100 a year",Amazon.com Services LLC,Working knowledge and hands-on experience with data modeling and data warehouse. Experience defining requirements and using data and metrics to draw business…,Remote
142,Staff Data Analyst (100% Remote),,Nice Healthcare,Actively mentor other analysts on the team. Consult on methods of data collection and experimentation. You have significant experience with healthcare data and…,Oregon
143,"Jr. Analyst, Master Data Management",,Sig Sauer,Ensures master data integrity in the key system master data (Oracle EBS ERP and Oracle Agile PLM). Use previously created SQL data load definitions to update…,"Newington, NH"
144,IT Data Analyst,,"NBTY, Inc.",*Design and analyze data tools; launch dashboards and grow MAU*. *Develop analytical frameworks to monitor the performance of major finance team data…,Remote
145,Entry Level Business Analyst,"$60,000 - $80,000 a year",Data Cloud Merge,Assist the testing team in developing the Test plans for quality assurance based on functional requirements. Proficient in translating business requirements and…,Remote +10 locations
146,SQL Data Analyst (Customer Success),,Eventbrite,"2-5 years of relevant experience in data science, analytics, or consulting. This role will be filled by a self-starter who will equip Customer Success leaders…",Remote
147,Business Analyst II,"$114,379 a year",DISH,Developing critical analytics and propensity models using key DISH data sources including the viewer measurement data and DISH CRM data.,"New York, NY +2 locations"
148,BUSINESS DATA ANALYST,,DraftKings,"1+ years experience operating as a business, marketing, or data analyst. Drive the development of data visualizations and dashboards that help quickly tell the…","Boston, MA"
149,Lab Data Analyst - Full Time,,Saint Peter's Healthcare System,Or at least 3 years LIS experience. The Lab Data Analyst maintains responsibility for the Laboratory Computer System to maintain maximum efficiency of operation…,"New Brunswick, NJ"
150,Senior Reporting Analyst (Remote),,KORNFERRY,"Proactively audit data, highlight any variances to the business and help improve data quality. Help to continually improve data management, suggest…",Remote
151,Research Data Analyst 1,,Stanford University,"Analyze data processes in documentation. Use system reports and analyses to identify potentially problematic data, make corrections, and determine root cause…","Stanford, CA"
152,Data Analytics (Medicare Grievances) Lead Analyst2 - Work from home,"$69,500 - $115,800 a year",Cigna,"Improved data management, performance, and processes by utilizing performance metrics and informational management systems. Perform adhoc reports as needed.","Hartford, CT"
153,Data Analyst -Business Intelligence Analyst,,"S3 Shared Service Solutions, LLC",Develops data models and queries. Completes data analysis and identifies trends. Strong business and data analytics experience.,United States
154,Data Analyst,"$90,000 - $110,000 a year",Stardom Employment Consultants,Ability to review large data sets using pivot tables and lookups. Must be capable of leading a team and be detail-oriented.,"Kingsburg, CA +1 location"
155,Data Analyst,,Stanford University,"Key data sources for our projects are large population-based cohort studies, household survey data (particularly the Demographic and Health Surveys), and…","Stanford, CA"
156,"Data Analyst, Disney+ Globalization and Accessibility",,Disney Media & Entertainment Distribution,"Partnership and communication: Partner closely with business stakeholders to identify and unlock opportunities, and with other data teams to improve platform…","Santa Monica, CA +2 locations"
157,Business Analyst,,East Boston Neighborhood Health Center,Perform data extractions from various internal and external sites with concentrated focus on maintaining data integrity and integration into existing tools.,"Boston, MA"
158,Business Data Analyst,"$109,000 a year",General Motors,"3-5 years' experience translating business needs to data requirements, turning data into compelling stories, and completing the full cycle from data to…","Detroit, IL"
159,Data Researcher and Analyst | Remote,,MoneyGeek.com,"Experience (0-3 years) in data analytics, reporting or business analyst. Once hired, you will be required to learn and understand products in order to collect…","San Francisco, CA"
160,Contact Center Data Analyst - Resource Planning - Work from Home,"$47,800 - $79,600 a year",Cigna,3 - 5 years of experience in operational improvement and/or operational effectiveness. Strong presenting and influencing skills with ability to turn data into a…,"Hartford, CT"
161,Data and Reporting Analyst,,"We Ship Express, INC.","Experience Required: 1-3 years of experience using Microsoft Excel to analyze, summarize and track data; advanced excel skills required.",Remote
162,Software Data Analyst,"$40,000 - $58,000 a year",Pearson,This position is ideal for a recent graduate from a 4-year university with a degree similar to software engineering.,United States +51 locations
163,Data Analyst,,Disney Streaming,"Familiarity with data exploration and data visualization tools like Tableau, Looker, Chartio, etc. This expertise will manifest in the design and implementation…","New York, NY"
164,2023 Data Science/Analyst Recent Grad Positions – Cat Digital,"$85,000 a year",Caterpillar,"You may use data analysis, data management, and/or data visualization skills as an individual contributor to project teams tasked with solving business problems…","Chicago, IL"
