,title,salary,company,description,location
27,"Data Science Analyst, RPA (Remote)",,Home Depot / THD,"Proven experience with data mining and data analysis. Exposure to statistics, predictive modeling and other data science methodologies.","Atlanta, GA"
28,Data Analyst,,Brave Health,This entry-level role will support the Operations team in the development of customized outreach programs to interested patients using precise data analytics to…,"Miami, FL"
29,"Manager, Data Analytics",,Lindsay,"Strong technical experience in a broad range of technologies, including data warehouses, data lakes, databases and data visualization tools.","Omaha, NE"
30,Data Scientist - Mid Level,,The Garrett Group,Assist in the planning and executing of diverse intelligence data sets and operational data associated with the operations and maintenance of U.S. NC3 systems…,"Offutt AFB, NE"
31,"Data Science Manager, Content Analytics, Podcasts & Studios",,Spotify,Oversee primary data analysis on podcast consumption and user behavior. Experience building data visualizations and dashboards (e.g. Tableau or similar BI…,"New York, NY"
32,"Front End Engineer, MADS- Measurement and Data Science","$93,800 a year",Amazon.com Services LLC,"Professional non-internship experience with front end, web or mobile software development using JavaScript, HTML and CSS.","Boulder, CO +1 location"
33,Data Science Assistant,,United Nations,"A minimum of five years of experience in data science, data analytics, applied mathematics, information management, or related area is required.","New York, NY"
34,Head of Data / Data Science & Analytics,,TalkingPoints,"Management of multi-disciplinary data roles: data engineering, data analysis, data science. Strong track record guiding data architecture, data pipelines, data…",California
35,Data Science Content Creator,$40 - $50 an hour,Practicum Bootcamp,"Have professional experience as a data scientist, especially on the analytics side. This part-time position will focus on developing new industry relevant…",Remote
36,Data Scientist (Part-Time/Remote),,BuzzClan LLC,AWS Technologies Python Machine Learning Experience on biological data sets Job Type: Contract Schedule: * 4 hour shift Application Question(s): *…,Remote
37,"PRODUCT ANALYST, DATA SCIENCE",,DraftKings,Experience with analytics or data science in a work or academic setting. You will work cross-functionally to identify high-value opportunities to implement data…,"Boston, MA"
38,Data Analytics Analyst,,Bank of the West,"Experience cleansing data and developing features, dealing with poorly structured or incomplete data and enhancing data with outside sources.","Omaha, NE"
39,"Data Scientist, HVH Science","$132,500 - $179,200 a year",Amazon.com Services LLC,Collaborate with BI/Data Engineer teams and drive the collection of new data and the refinement of existing data sources to continually improve data quality.,"East Palo Alto, CA +1 location"
40,Data Analyst,,Disney Streaming,"Familiarity with data exploration and data visualization tools like Tableau, Looker, Chartio, etc. Collaborating with finance, product, data engineering, data…","New York, NY"
41,Data Science Manager - Fraud SMB,"$164,000 - $238,000 a year",Indeed,"Coach your team on effective use of different data science tools and techniques. We log, analyze, visualize, and model terabytes of job posting data.","Austin, TX"
42,"Data Scientist, Spotify For Artists",,Spotify,You’re a compelling storyteller who can communicate in succinct and inspiring ways to audiences with varied data science experience to influence real world…,"New York, NY"
43,Data Scientist,,Oracle,"Work on multiple stages of data science projects, including data pipeline, aggregation, feature engineering, modeling and visualization.",United States
44,Junior Data Engineer - DEL22-03333500001111,,"Evergreen Technologies, LLC.",Proficient with relational data modeling. We own 10 Petabytes of data and collect 35+ Terabytes of new data each week sourced from 62 Million households.,"Omaha, NE +8 locations"
45,data scientist (multiple openings) - Remote,,Starbucks,"Extracts data from various databases; performs exploratory data analysis, cleanses, massages, and aggregates data.","Seattle, WA"
46,Data Science Manager - Community Health,,Twitch,"Full stack experience across data science, analytics, and data engineering. 2+ years of people management experience, managing data scientists and data analysts…","Salt Lake City, UT +2 locations"
47,Data Science Manager,"$156,000 - $286,000 a year","Grammarly, Inc.","Provide data-driven solutions to complex product and growth questions. Has practical experience in data analysis, statistics, and experimentation.",Remote
48,Senior Space Data Analyst,,Toast,Great communicator and storyteller with data. Experience with data visualization and enterprise BI tools. Experience auditing large datasets and identifying…,"Omaha, NE +4 locations"
49,Junior Data Analyst - Quantitative Research,"$72,000 - $92,000 a year",SEIU 775 Benefits Group,"A genuine passion for data science and drive to communicate using data; Exposure or experience in data governance, data engineering and/or data warehousing…",Remote
50,Health Scientist (Informatics),"$94,373 - $122,683 a year",Centers for Disease Control and Prevention,"Specialized experience is experience which is directly related to the position which has equipped the applicant with the particular knowledge, skills and…","Atlanta, GA"
51,Junior Data Scientist,,Acima,Wrangle data using python or SQL to access our Redshift hosted data warehouse. We are looking for a developing data scientist that is interested in applying…,"Draper, UT"
52,Data Scientist,"$20,000 a month",Motivated Leads,Acquire data from primary or secondary data sources and maintain databases/data systems. Present information using data visualization techniques.,Remote
53,Data Analyst (Remote),"$60,000 - $80,000 a year",pulseData,You'll be cleaning and scrubbing medical record data and claims data to ensure it can be used in our data pipelines. Bonus points for any experience in Spark.,"New York, NY"
54,Revenue Analyst,,Employment Enterprises,"Collecting and analyzing data to support projects with cross-functional analytic and business teams, including but not limited to data science, marketing,…",Remote
55,SR DATA ANALYST,,Lumen,This position is eligible for either short-term incentives or sales compensation. Director and VP positions also are eligible for long-term incentive.,Remote
56,Senior Data Analyst,,Berkshire Hathaway Homestate Companies,"Hands-on experience with data pipelines & ETL processes (structured & unstructured), deep understanding of data analysis, Insurance business intuition, and…","Omaha, NE +1 location"
57,Machine Learning Scientist,,Wadhwani AI,"We are looking for ML Scientists with experience applying AI, machine learning, and data science to real-world problems.",Remote
58,Data Scientist,"$105,000 - $125,000 a year",FriendFinder Networks,"Perform data analysis to support executive decisions. Dive into complex data sets to analyze trends, identify opportunities and quantify the potential value of…",Remote
59,Data Engineer,"$160,000 - $200,000 a year",Recruiting From Scratch,"Our client is looking for an experienced Software Engineer working on all data related projects: data pipelines, data science and data analytics projects.","Omaha, NE +84 locations"
60,Associate Strategy Consultant,,Bidscale,"Small business, programing, and/or data science experience is beneficial but not required. Current procurement systems consist of unwieldy compliance…",Remote
61,Data Scientist,,Middesk,"Data Products include, but are not limited to, data models and ETL pipelines, reporting dashboards, business and product impact sizing, decision/ROI/trade-off…",California +1 location
62,Sr Data Analyst,,Disney Media & Entertainment Distribution,"Partnership and Communication: Partner closely with business stakeholders to identify and unlock opportunities, and with other data teams to improve platform…","New York, NY +1 location"
63,Jr. Machine Learning Engineer,,Black Rifle Coffee,"Facilitate adoption and management of data solutions through concise documentation (data contracts, flowcharts, “one-pagers”, etc). 3+ years of SQL experience.",Remote
64,"Data Science Manager, Podcast Content & Monetization",,Spotify,"Build and expand the data science function for a new team, adding to our data stack and analytical capabilities.","New York, NY"
65,Director - Data Science & Customer Analytics,,A Place for Mom,The ideal candidate is passionate about using data and science to solve complex business problems and has a track record of developing and bringing winning data…,Remote
66,Data Scientist,,ClosedLoop,Train and educate customer data scientists on best practices for data science in healthcare. Prior experience with healthcare data science is a big plus but not…,"Austin, TX"
67,Remote Training and Placement in Jr Quality Analyst Precision Technologies,,precision technologies,"New training batch for Quality Analyst in different domains. (Insurance,Guide-wire,Salesforce,Healthcare,Pharma,Retail,Banking,Finance).",Remote
68,New Market Research Analyst,"$62,100 - $77,600 a year",University of Nebraska at Omaha,"Preferred Education: Masters Degree or coursework in statistics, data analytics, data science, or related field. Job Title New Market Research Analyst.","Omaha, NE"
69,"Finance Rotation Program Analyst: Full-time Opportunities for University Graduates, United States",,Microsoft,Developing data modeling skills by managing and manipulating complex data. SQL/R/Python or other programming/data science experience preferred.,"Redmond, WA"
70,Data Scientist I,,OpenX,"Prior experience in a data science or machine learning engineer role. Depending on the jurisdiction in which you live, you may have the right to ask OpenX to…",Remote
71,VP Data Science and Innovation - Telecommute,"$174,600 - $332,200 a year",Optum,"You will leverage your technology expertise and understanding of market trends, to formulate, develop and execute multi-year strategic technology plans to grow…","Eden Prairie, MN"
72,"Biomechanics Analyst, Baseball Research & Development",,Cleveland Guardians - Baseball Operations,"The ideal candidate will possess a foundation in statistics and/or data science, experience working with biomechanics data, and a thorough understanding of…","Cleveland, OH"
73,Remote Training and Placement in Business Analyst precision technologies,$30.20 - $65.30 an hour,precision technologies corp,"Training program lined up: • New training batch for Business Analyst in different domains. (Insurance,Guide-wire,Salesforce,Healthcare,Pharma,Retail,Banking…",Remote
74,Data Science Research Associate,,RadNet,"Collects, cleans and curates imaging data and clinical meta data. The Research Associate will work closely with Clinical Data Scientists and assist in data…",Massachusetts
75,Data Analyst | Remote-US,,IXIS Digital,"Collaborate with developers, data scientists, data engineers, strategists, and other technical and non-technical stakeholders to continually iterate on data…","Burlington, VT"
76,Customer Data Scientist,,Phillips Connect,Develop custom data models and algorithms to apply to data sets. Assess the effectiveness and accuracy of new data sources and data gathering techniques.,Remote
77,Otter AI | NLP Engineer,,Recruiting From Scratch,"Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…","Omaha, NE +90 locations"
78,"Teaching Assistant, Data Science",,Kaplan,"Background in relevant data science specialization. Provides administrative, teaching, and technical support to instructors.",Remote
79,"ANALYST, IGAMING",,DraftKings,"1+ years of business analytics or data science experience, preferably at a gaming company. Partner with various business divisions to analyze data, interpret…","Houston, TX"
80,"157: Consulting Manager, Data Science & Data Engineering",,Dataspace,Mandatory Python w/ data science and data engineering libraries. Why data science job seekers work with Dataspace. Mandatory Data visualization/reporting tools.,New York State
81,"Data Scientist, Creator Promotion",,Spotify,Mentor and coach data scientists and tackle leadership opportunities within the larger data science community.,"New York, NY"
82,Data Analysis Assistant,,United Nations,"A minimum of ten (10) years of experience in data science, data analytics, applied mathematics, information management, data analytics, or related area is…","New York, NY"
83,Associate Data Scientist,,Home Depot / THD,"Basic knowledge or exposure to predictive modeling, data mining and data analysis. 70% Solution Development - Design and develop algorithms and models to use…","Atlanta, GA"
84,"Vice President, Data Science and Engineering",,Google,"Passion for data and metrics. This will deliver insights extracted from Google's wealth of data, thus enabling teams throughout Search and Assistant to have the…","Mountain View, CA"
85,Jr. Business Analyst,,Sparksoft Corporation,"Aggregate and organize documentation and data, based on needs. Looking for a business analyst with good writing skills to help deliverable quality work products…",Remote
86,Analyst Data Operations,,Johnson & Johnson,"In this role you will implement data operations and data quality processes which may include testing, error handling, data conversion and/or validation, and…","San Angelo, TX +4 locations"
87,Program Lead (Data Science Program),"$83,340 a year",Chicago Metropolitan Agency for Planning (The Chicago Metropolitan Agency for Planning (CMAP)),"For a transportation system that works better for everyone, a robust and inclusive regional economy, and resilient infrastructure and water resources, the…","Chicago, IL"
88,"Director I, Data Science","$129,100 - $225,700 a year",Liberty Mutual Insurance,"Utilize current and emerging data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop…","Seattle, WA"
89,Sr. Data Analyst (Remote),"$120,000 - $190,000 a year",CrowdStrike,"Expertise manipulating large data sets, interpreting data trends and using a multitude of disparate data sources and tools. Benefits of Working at CrowdStrike:",Remote
90,Neurodiversity Hiring Program - Finance Rotation Program Analyst: Full-time Opportunities for University Graduates,,Microsoft,Developing data modeling skills by managing and manipulating complex data. SQL/R/Python or other programming/data science experience preferred.,"Atlanta, GA"
91,Biostatistician - Remote,,Mayo Clinic,"Mayo Clinic is the nation's best hospital (U.S. News & World Report, 2021-2022) and ranked #1 in more specialties than any other care provider.","Rochester, MN"
92,Digital Marketing Analyst,,Sojern,"As an Analyst, you will play a critical role within the team by ensuring our campaigns are structured in an optimal way, data feeding decision making is…","Omaha, NE"
93,Data Analyst I - Remote,,Pekin Insurance,"The Data Analyst works to support data science activities by analyzing information, focusing on particular products or business areas.",Illinois +1 location
94,Data Scientist,"$87,900 - $161,600 a year",Liberty Mutual Insurance,"These are incredible opportunities to leverage and hone your data science skills and to help build models, design new products and drive pricing sophistication.",Remote +2 locations
95,Part-Time Cardiovascular Data Science Research Associate,,UCLA Health,Knowledge of clouding computing in data sciences. Knowledge of accepted/approved procedures in working with data sciences.,"Los Angeles, CA"
96,"Data Collector, Biostatistics and Data Science, 30 hours/week",,Wake Forest Baptist Health,"Assists in data analyses and preparation of charts, graphs, and reports obtained from research data. Assists in the design and testing of questionnaires, data…","Winston-Salem, NC"
97,Data Science Instructor (Remote),$35 - $65 an hour,Noble Desktop,"We are searching for instructors to lead classes and corporate training in coding, design, data, and more. Data Science Instructor (Remote) - NYC*.",Remote
98,Operations Analyst,,Nomad Credit,"Undergraduate degree in computer science, data science, business, marketing, economics, or similar field. Nomad is in search of a hard-working, ambitious junior…",Remote +1 location
99,"Staff Data Scientist (Applied Science), Education",,Chan Zuckerberg Initiative,"Run A/B experiments, gather data, and perform statistical analysis. Build machine learning models and utilize data analysis to deliver scalable solutions to…","Redwood City, CA"
100,"Data Science Manager, Machine Learning & Causal Inference","$206,000 a year",Discord,"As a part of the larger Data Science &amp; Engineering department, the User Experiences ML &amp; CI team produces ML &amp; CI models used to understand the…","San Francisco, CA"
101,Data Scientist - 2023 Entry Level Sales (Accelerate),"$73,000 - $152,000 a year",IBM,"Demonstrate a growth mindset; current on technical growth in the data science space. Applying data engineering techniques to gather, prepare, cleanse, and…","New York, NY"
102,Data Analyst II - Telecommute,"$66,100 - $118,300 a year",Optum,"This function is not intended for employees performing the following work: production of standard or self-service operational reporting, casual inference led …","Eden Prairie, MN"
103,Decision Science Product Consultant,,The Walt Disney Company (Corporate),"Development experience using data visualization technologies, such as Tableau. DDSI seeks data-driven and business-minded Cast Members who are passionate about…","Lake Buena Vista, FL"
104,Data Science Manager,"$192,000 a year",Discord,"You Will Thrive In This Role If 3+ years of leadership experience as a people manager, leading a team of 3+ data scientists.","San Francisco, CA"
105,"Sr Data Scientist - Data Science and Engineering, Experimentation (DSE)",,Netflix,5+ years relevant experience with large scale data. Plus: Experience creating data products and dashboards such as Tableau.,"Los Gatos, CA"
106,Data Center Operations Analytics and Improvement Lead,,Facebook App,"Work with data engineering/data science and other analytics teams to establish data sources that serve the business needs, identifying and advocating for…","Papillion, NE +16 locations"
107,Data Scientist - Evernorth,"$95,800 - $159,600 a year",Cigna,"SME on a wide array of data sources e.g., claims, geospatial, consumer, business, and other vendor or open data sources.","Hartford, CT"
108,Data Science and Evaluation Manager,"$55,000 - $60,000 a year",Pillsbury United Communities,Identify data collection gaps and develop practices for data quality. Provide meaningful data to funders. The ideal candidate possesses knowledge and skills in…,"Minneapolis, MN"
109,Data Science Instructor - Remote (MST Time Zone),"$70,000 - $90,000 a year",Learning Source,Experience in an industry dealing with data science or data engineering. Contribute to data science curriculum development.,Remote
110,"Senior Data Analyst, Games & Live Ops",,PlayStation Global,Demonstrated analytical skills working with large sets of complex data. This position will develop and manage towards a data analytics vision for PlayStation…,"San Mateo, CA"
111,Head of Data & Analytics,"$200,000 - $240,000 a year",Luxury Presence,"Strong command of all phases of the data science development process, from initial analysis and model development through to deployment.",Remote
112,Statistician (Remote) (Austin) (822066),"$4,023 - $5,100 a month",Texas Workforce Commission,"-Statistician III: Graduation from an accredited four-year college or university, plus one year of full-time experience in statistical or analytical work. *.","Austin, TX"
113,Technical Quality Analyst (JLodge),,"Cognosante, LLC","The Quality Analyst is responsible for analyzing the effectiveness of individual help desk support. To accomplish this, the QA reviews recorded help desk calls…",Remote
114,"Director, Analytics",,CyncHealth,"Solid understanding of data mining principles: predictive analytics, mapping, collecting data from multiple data systems on premises and cloud-based data…","La Vista, NE"
115,Director of Data Science and Analytics (Remote),,Podimetrics,"Experience leading data science and engineering teams. Create and manage a stable data environment with internal shared enterprise data, customer data, and…","Boston, MA"
116,Junior Data Scientist - Entry Level Federal Health IT - Remote,,CORMAC,Hands-on work experience in a health-related data science position. Experience transforming and manipulating data sets. 401(K) Plan Retirement Benefit.,Remote
117,Parks Research Fellow,"$52,000 a year",The Trust for Public Land,"Training and experience in data science, including GIS, SQL, and survey methodologies. Comfort with problem-solving quantitative data.",Remote
118,Junior Data Scientist,,RAC Brands,Wrangle data using python or SQL to access our Redshift hosted data warehouse. We are looking for a developing data scientist that is interested in applying…,"Draper, UT"
119,Content Marketing Manager (Data Science and Growth),"$40,000 - $90,000 a year",Interview Query,"Work with the CEO to publish data-driven data science content across multiple content channels. General interest in data science, entrepreneurship, and startups…",Remote
120,Data Analyst,,Disney Media & Entertainment Distribution,"Experienced with Excel and data manipulation. Experience with AirFlow and data orchestration. Leverage your understanding of SQL, rational databases, and…","Glendale, CA +1 location"
121,"Sr. Data Scientist, HVH Science","$159,200 - $215,300 a year",Amazon.com Services LLC,Collaborate with BI/Data Engineer teams and drive the collection of new data and the refinement of existing data sources to continually improve data quality.,Remote
122,"Director, Data Science","$217,000 a year",Zwift,"12+ years of experience in analytics or data science teams, with 5+ years of industry experience building data science driven solutions to solve business…","Long Beach, CA"
123,Data Scientist - Molecular Genetics (100% Remote WFH Option),,Emergent HeadHunters,Support bioinformatics and data analytics efforts. Provide support to lead programs through analysis and integration of NGS data.,Indiana
124,"Associate Partner, Data Science",,Sia Partners,"Provide technical leadership to a team of data science, data engineers and data strategists. Relevant experience providing data science and advanced analytics…","New York, NY +3 locations"
125,Statistician (Data Science),"$117,692 - $164,102 a year",US Office of Inspector General,"Credit toward meeting statistical course requirements should be given for courses in which 50 percent of the course content appears to be statistical methods, e…","Denver, CO"
126,"Clinical Quality Data Science/Analytics Specialist (FT) Johnson City, TN",,Ballad Health,Job Details Apply Save Print this job Email a…,"Johnson City, TN"
127,Data Scientist,,PlayStation Global,Drive improvements in data quality and structure within the data warehouse. Experience with querying and working with live data.,"San Diego, CA +1 location"
128,Data Analyst I Full time - 100% Remote,,AFFINE ANALYTICS PRIVATE LIMITED,"We offer capabilities across the analytical value chain from analytics engineering and cloud-based implementations to analytics, machine learning, AI, and…",Remote
129,Director of Data Science,"$225,000 a year","VIZIO, Inc.","Proficient with modern big data technologies and CI/CD frameworks. Track record of delivering data-driven products, insights, and influencing product and…","Dallas, TX"
130,Jr. Data Analyst,,PepsiCo,"Empower the business by creating value through the increased adoption of data, data science and business intelligence landscape.","Chicago, IL +2 locations"
131,"Associate, Data Science",,Big Village,"Learn the use and limitations of data from various sources, big data, behavioral data, client data, and how to leverage it to solve client needs.","Cincinnati, OH"
132,"Instructor, Data Science",,Bloom Institute of Technology,"Or your highest level of education is High School or a GED (proof required), you are to have 5+ years of working experience in a data science role.",Remote
133,Chief Science Officer,,PerfectRec,"Expert understanding of relevant methods in statistics, data science, and machine learning. You'll be able to evaluate and explore existing sets of data,…","Seattle, WA"
134,Sports Data Scientist,,ESPN,Use strategic analytical approaches and techniques using data to answer sports questions. Strong knowledge in using SQL to query and modify data from databases.,"Bristol, CT"
135,"Data Scientist -Remote- MPK, LA, San Diego, NY, Houston, Denver- $71/hr",$71 an hour,Mackin Talent,"Experienced in either programming languages such as Python and/or R, big data tools such as Hadoop, or data visualization tools such as Tableau.",Remote
136,Product Growth Analyst,,Facebook App,Experience using data querying languages (e.g. SQL) with intermediate functions such as case logic and joins to query large data sets.,Remote +5 locations
137,Staff Data Scientist,"$164,000 - $238,000 a year",Indeed,5+ years of recent professional industry experience in data science/software engineering. Solid knowledge of data structures and algorithms.,United States
138,Global Operations Leadership Development (GOLD) Program – Class of 2023,,Johnson & Johnson,"A minimum of a bachelor’s degree in a supply chain, business, data science or engineering-related field earned between December 2018 – June 2023.","San Angelo, TX +21 locations"
139,"Assistant Director, Data Science-Machine Learning Innovation (remote)","$129,500 - $184,100 a year",Liberty Mutual Insurance,"Translate product ideas into well-posed data science challenges, and solve them. Extensive experience analyzing data and a broad understanding of core…",Remote
140,"Director, Data Science and Analytics",,BET,Provide academic and professional expertise in the evaluation and usage of data science models. Quickly develop extensive expertise and proactively uncover…,"New York, NY"
141,(Junior / Senior) Data Scientist - Sports Analytics,"$75,000 - $150,000 a year",Zelus Analytics,"Assist with recruiting and outreach for the data science team, including building a diverse network of future candidates.","Austin, TX"
142,Data Scientist,,"Grammarly, Inc.","Provide data-driven solutions to complex product and growth questions. Has practical experience in data analysis, statistics, and experimentation.",Remote
143,Data Analyst - Tiktok Ads,,TikTok,"Expert experience pulling large and complex data using SQL and writing data pipelines. Work closely with key cross functional teams such as product managers,…","Seattle, WA +2 locations"
144,"Data Scientist II, OCR – CW - 100% Remote",$84 - $95 an hour,Wellstone Technologies,"Understanding of data structures, data modeling, and software architecture. You will assist management in the communication of insights and the implementation…",Remote
145,Data Scientist (Remote),,Manufacturers Bank,"In addition, the data scientist will assist in ensuring internal controls and documentation is complete and accurate.","Los Angeles, CA"
146,Data Scientist II - Telecommute,"$66,100 - $118,300 a year",Optum,Research and apply a range of data science methodologies and machine learning models to complex business problems.,"Eden Prairie, MN +2 locations"
147,Research Scientist-Center for Data Science,,New York University,Completion of Master's degree in disciplines aligned with CDS faculty research by the start date.,"New York, NY"
148,"Vice President, Data and Analytics",,Scholastic,Oversee Scholastic’s data analytics and data science strategy. Strong expertise in data engineering and source systems that produce data.,"New York, NY"
149,OPS Student Research Assistant,$16 an hour,University of Florida,"Interprets, synthesizes and analyzes data. Data science related experience preferred, but not required. Attention to detail, data entry, and research skills.",Florida
150,Junior Data Scientist,"$55,000 - $60,000 a year",Augray,"Bachelor/master’s degree students pursuing degrees in data science, statistics, applied math, computer science, engineering or other quantitative fields…","Brookfield, WI"
151,Data Analyst,"$105,000 - $115,000 a year","Seventh Sense Consulting, LLC","Knowledge of master data management and data governance. Familiarity with data quality and data governance concepts. CDP Certification (desired, not required).",Remote +1 location
152,"Marketing Analyst, Test and Learn (Remote)","$67,000 - $81,150 a year",Vail Resorts,"[Data Analysis] Analyze and organize the testing data available for business use. Inspect, clean, understand, and transform data as required for analysis…","Broomfield, CO"
153,"Online Adjunct Instructor - Foundations of Analytics Platforms, Environments, and Software",,Rasmussen College,"Experience in data analytics, data analysis, or data mining. It places focus on developing and deploying Extract Transform Load (ETL) jobs.",Remote
154,Innovation Analyst,,Blue Cross and Blue Shield of Nebraska (BCBSNE),The Innovation Analyst is a cross-functional partner with expertise in primary research methods and data science. Proficiency with Qualtrics survey software.,"Omaha, NE"
155,Senior Data Engineer for Education Start up,"$130,000 - $140,000 a year",Recruiting From Scratch,"Strong knowledge of SQL, of datastores and their tradeoffs (including relational, columnar, and document stores), data modeling, data structures, data…","Omaha, NE +102 locations"
156,Data Scientist 2 - Telecommute,"$66,100 - $118,300 a year",UnitedHealthcare,This role is responsible for the creation and evaluation of data science models using advanced statistical techniques and for generating data-driven insights by…,"Minnetonka, MN"
157,Data Analyst/Programmer for Neuroscience Research (Life Science Research Professional 1),,Stanford University,Will usse pilot data to refine experimental protocols. Will apply machine learning and sophisticated statistical approaches to complex data sets.,"Stanford, CA"
158,Quality Analyst (J.Lodge),,"Cognosante, LLC","The role of the Quality Analyst is to perform quality assurance audits on phone calls, emails, and chats. The analyst will review and grade customer contact…",Remote
159,Vice President Data and Analytics,,Ann & Robert H. Lurie Children’s Hospital of Chicago,"Broad experience in multiple competency areas of data and analytics delivery including: data warehousing, business intelligence (BI), data governance, data…","Chicago, IL"
160,Data Scientist in Marketing Science,,eBay Inc.,"QualificationsMS or PhD in computer science, engineering, or related field. Aggregate data from large numbers of sources to discover patterns and features…","Salt Lake City, UT +1 location"
161,Associate Data Science Engineer,,Gap Inc.,Navigate various data sources and efficiently locate data in a complex data ecosystem. This position will be part of the Data Science Engineering team at Gap…,"San Francisco, CA"
