,title,salary,jobtype,location,description
24,"Teaching Assistant, Data Science",,100% Remote Job,US National,"
            Respond directly to individual student questions. Proactively seek out individual students to assess their progress. Conduct code reviews and provide students with timely feedback. Create opportunities for student interactivity (e.g., chats, polls, etc).
        "
25,"Director, Data Science and Analytics",,100% Remote Job,US National,"
            Participate in the program management process (Agile/Safe) and help shape priorities, define requirements. Contribute to ROI measurement, business cases and manage allocation of resources. Communicate well, partner with other departments and senior...
        "
26,Senior Data Science Engineer,,100% Remote Job,"Canada, or US National","
            Leads software development, collaborates on new features, implements unit tests, mentors engineers, and manages expectations. Requires five or more years' software engineering experience as well as English fluency. Remote position.
        "
27,"Senior Product Manager, Data Science",,100% Remote Job,US National,"
            Identify opportunities, form the business case, and establish the strategy for a set of <b>data</b> <b>science</b>-powered applications and integrations. Translate high-level objectives into detailed technical deliverables, and manage projects to completion...
        "
28,"Technical Coach, Data Science",,Hybrid Remote Job,US National,"
            Exemplify the developer's mindset by guiding stuck students through labs efficiently, effectively, and with kindness. Pilot our experimental efforts in how to provide the best experience and most positive outcomes. Lead study groups, office hours...
        "
29,"Executive Assistant, Data Science",,100% Remote Job,"CA, NV, WA, AZ, OR","
            Manage multiple projects simultaneously. Projects include AOP planning and execution, quarterly business reviews, and various department offsites and events. Provides analytical, strategic, and operational support to corporate executives at VP and...
        "
30,"Data Science Manager, Financial Crime",,100% Remote Job,United Kingdom,"
            Be a key leader in building a discipline of exceptional <b>data</b> scientists working on making our company world class at tackling financial crime. Establish yourself as a trusted partner to the financial crime and product leadership teams with the capacity...
        "
31,"Technical Program Manager, Marketing Science Data",,100% Remote Job,US National,"
            Responsible for the design, implementation, monitoring, and maintenance of the Marketing <b>Science</b> <b>Data</b> Privacy Program. It'll ensure people's privacy is at the center of our <b>data</b> usage, and that we're complying with our regulatory obligations...
        "
32,"Senior Manager, Data Science - Pharmacy",,100% Remote Job,MA,"
            Delivering multiple high impact product solutions that have a direct impact on our Pharmacy growth bottom line both via the team and by taking on individual projects.Lead discussions with key internal/external stakeholders and make recommendations. 
        "
33,"Senior Analytics Engineer, Data Science",,100% Remote Job,US National,"
            In this role, you will have the opportunity to have a major impact on the value created from our product suite. You will directly work with our <b>data</b> scientists and engineering groups to propose technical solutions, work with the product team to turn...
        "
34,Science Writer,,Option for Remote Job,"Stanford, CA","
            Develop and research ideas for written publication/communication on topics of moderate complexity. Consult with internal and external customers to understand the need and purpose of a project. Compose written material for diverse audiences...
        "
35,Anti-Fraud Data Science Manager,,100% Remote Job,"United Kingdom, Belgium, Canada, France, Germany, Kenya, Poland, Senegal, or US National","
            Set KPIs and scope constraints for new modeling projects to decrease our information lag between fraud happening and us receiving feedback of its presence. Develop heuristics to quickly fight fraud. Identify missing tooling and suggested verification...
        "
36,"Lead Data Analyst, Marketing Science",,100% Remote Job,US National,"
            Help build and optimize advertising campaigns on a variety of platforms. Develop easy-to-consume dashboards and frameworks to monitor and visualize KPIs. Run incremental lift experiments (e.g. A/B tests, geo tests). Develop statistical tools...
        "
37,Vice President of Science,,Full-Time,"WA, OR, CA, NV","
            Recruit and manage a team of entrepreneurial scientists who are eager to make a tangible impact on the climate crisis, including co-creating and ensuring accountability against individual and team goals Plan and drive <b>data</b> acquisition efforts.
        "
38,Academic Editor - Life Science,,100% Remote Job,US National,"
            We are looking for generalist editors with a strong editing and research background in many fields of study (clinical, life <b>sciences</b>, physical <b>sciences</b>, business, engineering, and math &amp; computer <b>science</b>). Our employees are distributed across the...
        "
39,Scientific Editor - Physical Sciences,,100% Remote Job,US National,"
            You will be providing expert editorial advice and editing on research papers, grant applications, and other scientific text in a range of fields. Doctoral degree (Ph.D.) in the field of physical <b>science</b>.
        "
40,Secondary Science Teacher,,Full-Time,CO,"
            Virtually manage instructional programs. Consult regularly with learning coaches and students to ensure that each child successfully completes his/her instructional program. Certified to teach Secondary <b>Science</b>.
        "
41,Online Course Instructor - Analytics and Data Science,,100% Remote Job,US National,"
            As an instructor, you will work with our content team to build a best-in-class <b>data</b> course that helps learners grasp new concepts and practice them through a hands-on learning experience! To be successful, you will need to take ownership over course...
        "
42,Academic Editor - Physical Science,,100% Remote Job,US National,"
            We are looking for generalist editors with a strong editing and research background in many fields of study (clinical, life <b>sciences</b>, physical <b>sciences</b>, business, engineering, and math &amp; computer <b>science</b>). Edits in line with our scope and service goals...
        "
43,Senior Assessment Specialist - Science,,Hybrid Remote Job,US National,"
            Provide leadership to <b>science</b> item development teams throughout the entire item development process. Review and develop schedules to accommodate multiple tasks. Bachelor's degree in <b>science</b> or equivalent degree required.
        "
44,"Data Science, School of Cybersecurity and Information Technology - Adjunct Faculty",,100% Remote Job,US National,"
            Teach online college-level classes in <b>Data</b> <b>Science</b> for a global campus. Must have a master's degree and 3-5 years of experience in <b>data</b> analysis, big <b>data</b> analytics, and <b>data</b> <b>science</b>. Part-time, home-based position.
        "
45,"Senior Machine Learning Engineer, Data Science",,100% Remote Job,US National,"
            You'll be part of an Agile team dedicated to productionizing ML applications and systems at scale. You'll participate in the detailed technical design, development, and implementation of ML applications using existing and emerging technology. 
        "
46,Life Sciences Partnership Manager,,Hybrid Remote Job,"San Francisco, CA","
            Represent and champion PicnicHealth in day-to-day partnership management and program management. Collaborating with our clinical <b>data</b> experts to guide partners to get the most value out of the <b>data</b>. Managing <b>data</b> delivery and feedback.
        "
47,"Teacher, Computer Science",,100% Remote Job,US National,"
            The Virtual Teacher is responsible for providing an educational atmosphere where learners have the opportunity to fulfill their potential and for organizing and implementing an instructional program that results in students achieving academic success...
        "
48,"Scientist, Sustainability Science and Modeling",,100% Remote Job,US National,"
            Support life cycle assessment (LCA) initiatives across the company. Assist in foundational LCA framework decisions for program development across many sectors. Have performed LCAs in an industry setting. Have experience in Python and/or SQL. Remote. 
        "
49,"Computational Biologist, Translational Science",,Option for Remote Job,US National,"
            Partner with our pharma clients to design, develop and execute computational research leveraging the platform to advance drug R&amp;D programs. Become an expert in multimodal clinical and genomic <b>data</b>. Analyze and integrate large diverse clinical...
        "
