,title,company,salary,location,jobtype,qualifications,benefits,description
15,Junior Data Engineer,Pepsico,"$90,000 - $100,000 a yearQuick Apply",Remote ,Full-time,"Azure
SQL
Data collection
Scala
Machine learning
Bachelor of Science
Bachelor's degree
US work authorization","Dental insurance
Health insurance
401(k) matching
401(k)
Vision insurance",Manage and scale data pipelines from internal and external data sources to support new product launches and drive data quality across data products.
16,Data Engineer,TheHive,$20 - $70 an hourQuick Apply,Remote ,Contract,"SQL
Apache Hive
Database development
C++
MATLAB
Bachelor of Science
Bachelor's degree",,"The data engineer designs and develops data models, collects and analyzes data for insights and communicates how those findings improve reliability, customer…"
17,Data Engineer,Optimal Inc.,"Estimated: $95,000 - $130,000 a yearQuick Apply","Dearborn, MI ",Contract,"SQL
Communication skills
Hadoop
Python
Data analysis skills
Bachelor's degree
Master's degree",,"Contribute with that overall data standard, information interoperability, data quality, and data availability fully support the goals of GDI&A."
18,Data Engineer,Human Interest,"$130,000 - $145,000 a yearQuick Apply","San Francisco, CA ",,,,Help build a world class data environment. Work with engineering teams across the company to improve data tracking. Generous PTO and parental leave policies.
19,Data Engineer,"Optomi, LLC.","$120,000 - $200,000 a yearQuick Apply",Remote ,Full-time,"Writing skills
REST
Report writing
APIs
Spark",,Develop automated data quality check to make sure right data enters the platform and verifying the results of the calculations.
20,"Data Integration Engineer, Senior",Cook Children's Health Care System,"Estimated: $92,000 - $110,000 a year","Fort Worth, TX ",Full-time,"Writing skills
Project management
Web services
EDI
Relational databases
Bachelor's degree",,The following are key responsibilities of an integration engineer: developing system modifications and specifications; data mapping; establishing interfaces;…
21,Data Engineer,NucleusTeq,"Estimated: $98,000 - $140,000 a yearQuick Apply",Remote ,Contract,"Identity & access management
SQL
Python
Tableau
AWS",,Hands on BI Data Engineer role with strong. Creating KPI Dashboards - Interactive Dashboards using tableau / Quicksight.
22,Data Pipeline Engineer,American Unit,$70 - $90 an hourQuick Apply,Remote ,Contract,"Jenkins
SQL
Pandas
CI/CD
Communication skills
Bachelor's degree",,"Project goal: Assist in the initial design and build of the foundational data pipeline infrastructure *. 3 years of experience installing, configuring, and…"
23,Big Data Engineer,Advantech LLC,"$84,530 - $185,792 a yearQuick Apply",Remote ,Contract,"Cassandra
Elasticsearch
Kafka",,"Maintains data architectural artifacts and ensures that all measures for data quality, data profiling, data governance, ITIL, security and compliance of data…"
24,Data Engineer,Quadrant Resource,"Estimated: $93,000 - $130,000 a yearQuick Apply",Remote ,Contract,"Research
SQL
Spark
Tableau
Scrum",,"Experience of working in Agri Research & Development projects, working with complex data like genomic sampling, selection data, variant data etc."
25,Big Data Engineer,Stellar Inc.,$75 an hourQuick Apply,Remote ,Contract,"Splunk
Jenkins
Jira
Spark
Apache Hive",,"Solve big data engineering problems. 3+ years of proven experience in collaborating with data architects, data scientists and enterprise platform team in…"
26,Data Visualization Engineer,"Daiichi Sankyo, Inc.","Estimated: $95,000 - $130,000 a year",Remote ,Full-time,"Power BI
Confluence
SQL
Jira
Tableau
Bachelor's degree",,"Provide specs to data engineers to align data model with the analytical needs. Collaborate with domain experts in privacy, security, and compliance to ensure…"
27,Quality Assurance Engineer - Tire Warranty Data Analysis,Toyo Tires,"Estimated: $75,000 - $100,000 a yearQuick Apply","White, GA ",Full-time,"Cognos
SQL
Business intelligence
MATLAB
Communication skills
Bachelor of Science
Bachelor's degree
US work authorization","Health savings account
Dental insurance
Employee discount
Health insurance
401(k)",Advanced data mining and visualization techniques will be employed to provide world-class analysis of tire warranty data trends.
28,Applied Data Engineer,MidFirst Bank,,"Oklahoma City, OK ",Full-time,"PaaS
Power BI
Azure
Data lake
ETL",,The engineer will be proficient at understanding data stored in various data systems while translating data in raw storage to views/tables and useful models for…
29,AWS data engineer,Compunnel Inc.,$70 an hourQuick Apply,Remote ,Contract,"Kafka
AWS
US work authorization",Health insurance,Title: AWS Data Engineer Location: 100% Remote *Required skills : * * Kafka * Kinesis * Nifi Job Type: Contract Salary: $70.00 per hour Benefits: *…
30,Data Engineer,Teamware Solutions (quantum leap consulting).,Quick Apply,Remote ,Contract,"OOP
SQL
Python
Tableau
Google Cloud Platform
US work authorization",,Tasks to extract data from databases and orchestrate these. Experience in designing and executing solutions for complex business problems involving large scale…
31,Data Engineer,workcog inc,$60 - $65 an hourQuick Apply,Remote ,Contract,"Azure
SQL
NoSQL
Scrum
Cassandra
Bachelor of Science
Bachelor's degree
US work authorization",,Proven abilities for leading the data track for the application teams to deliver high performance to end consumers. Strong organizational and analytical skills.
32,Data Engineer,Global IT Resources,$70 - $80 an hourQuick Apply,Remote ,Full-time | Temporary | Contract,"SQL
Tableau
Big data
Data structures
Bachelor's degree
US work authorization","Dental insurance
Health insurance
401(k)
Vision insurance
Life insurance",Data engineer: 5 years (Required). Must be able to optimize our data flow and prepare the data for the data visualization (example: Tableau).
33,Data Engineer,DataEdge USA,$60 - $75 an hourQuick Apply,Remote ,Contract,"SQL
Machine learning
Data warehouse
ETL
Informatica
US work authorization",,"Find data sources/mine data. Set standards for data transformation/processing. Developing reporting tools and data access tools,."
34,Big Data Engineer,Infinity Quest,$60 - $80 a dayQuick Apply,Remote +2 locations,Contract,"Data modeling
SQL
Spark
Apache Hive
Pandas
US work authorization",,"Understanding of data structures, data modeling and software architecture. Proficiency in data analysis using complex and optimized SQL and/or the above…"
35,Big Data Engineer,TGT IT SERVICES PRIVATE LIMITED,"$74,882 - $165,316 a yearQuick Apply","Dallas, TX ",Full-time | Contract,"REST
Scala
APIs
Spark
Apache Hive",Relocation assistance,Should be good with Scala/ Java programming. Should be good with Spark. Should be good with Hive. Good to have REST API implementation knowledge.
36,Senior Data Engineer,"Point Predictive, Inc.","Estimated: $120,000 - $150,000 a yearQuick Apply",Remote ,Full-time,"SQL
Python
Kafka
Redshift
ETL
Bachelor's degree","Dental insurance
Health insurance
Flexible schedule
Referral program
401(k)","Working with stakeholders including data, design, product and executive teams and assisting them with data-related technical issues."
37,Data Engineer/Big Data,ACL Digital,$52 - $58 an hourQuick Apply,Remote ,Full-time | Contract,"Relational databases
SQL
Shell Scripting
UNIX
DevOps
Bachelor's degree","Dental insurance
Health insurance
401(k)
Vision insurance","Implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate data collection…"
38,AWS data engineer,XFORIA Inc,"Estimated: $100,000 - $140,000 a yearQuick Apply",Remote ,Contract,"Spark
Python
Redshift
AWS
S3",,"Experience in data ingestion, enrichment, validation. 2-5 years of data pipeline development experience in AWS. Python/Spark: 2-3 Years."
39,Data Engineer,NucleusTeq,"Estimated: $98,000 - $140,000 a yearQuick Apply",Remote ,Contract,"Identity & access management
SQL
Python
Tableau
AWS",,Hands on BI Data Engineer role with strong. Creating KPI Dashboards - Interactive Dashboards using tableau / Quicksight.
40,Junior Data Engineer,Pepsico,"$90,000 - $100,000 a yearQuick Apply",Remote ,Full-time,"Azure
SQL
Data collection
Scala
Machine learning
Bachelor of Science
Bachelor's degree
US work authorization","Dental insurance
Health insurance
401(k) matching
401(k)
Vision insurance",Manage and scale data pipelines from internal and external data sources to support new product launches and drive data quality across data products.
41,Big Data Engineer/ Cloud Data Engineer,Kynite,"Estimated: $130,000 - $170,000 a yearQuick Apply","Myrtle Point, OR ",Contract,"Elasticsearch
Relational databases
DynamoDB
SQL
NoSQL
Master's degree",,"Knowledge of batch and streaming data processing techniques. High Proficiency in at least two of Scala, Python, Spark or Flink applied to large scale data sets."
42,Data Engineer,Resourznet Consulting,$60 - $62 an hourQuick Apply,Remote ,Contract,"REST
Jenkins
SQL
Shell Scripting
SDKs",,"Interface with data engineers, data scientists, product managers and internal stakeholders. Expertise with data pipeline orchestration tools, such as Airflow."
43,Data Engineer I,"The Travelers Companies, Inc.","$98,600 - $162,600 a year","Hartford, CT ",7 days ago,"Analysis skills
Leadership
Communication skills
SQL
Machine learning
Bachelor's degree",,"Incorporate core data management competencies including data governance, data security and data quality. Four years of data engineering or equivalent experience…"
44,"Data Integration Engineer, Senior",Cook Children's Health Care System,"Estimated: $92,000 - $110,000 a year","Fort Worth, TX ",Full-time,"Writing skills
Project management
Web services
EDI
Relational databases
Bachelor's degree",,The following are key responsibilities of an integration engineer: developing system modifications and specifications; data mapping; establishing interfaces;…
45,Data Engineer [Remote],Braintrust,$90 - $100 an hourQuick Apply,"San Francisco, CA ",Full-time,"Communication skills
Agile
Data modeling
SQL
Python",,"Strong skill in data query, profiling, data mapping, domain knowledge gathering and data modeling (SQL, Python, data related services in AWS)."
46,AWS Data Engineer,Spotline Inc,Quick Apply,"Malvern, PA ",Full-time | Contract,"AWS
ETL",,"Looking for super strong data engineers with *Glue ETL, PySpark, AWS experience*. They should be able to hit the ground and running without much handholding."
47,Data Engineer,Global IT Resources,$70 - $80 an hourQuick Apply,Remote ,Full-time | Temporary | Contract,"SQL
Tableau
Big data
Data structures
Bachelor's degree
US work authorization","Dental insurance
Health insurance
401(k)
Vision insurance
Life insurance",Data engineer: 5 years (Required). Must be able to optimize our data flow and prepare the data for the data visualization (example: Tableau).
48,Data Engineer,Teamware Solutions (quantum leap consulting).,Quick Apply,Remote ,Contract,"OOP
SQL
Python
Tableau
Google Cloud Platform
US work authorization",,Tasks to extract data from databases and orchestrate these. Experience in designing and executing solutions for complex business problems involving large scale…
49,Data Engineer,(QSI) - Quality Systems Integrators,$70 - $96 an hourQuick Apply,Remote ,Full-time | Contract,"Data modeling
SQL
Databases
Oracle
Data warehouse
Bachelor's degree","Dental insurance
Health insurance
Paid time off
401(k)","Provide centralized direction for metadata repositories, data definitions and data relationships. Work with Enterprise Data Architect to validate project data…"
50,Azure Data Engineer,Interas LLC,$60 - $70 an hourQuick Apply,Remote ,Contract,"Azure
SQL
Hadoop
Data lake
Project implementation
US work authorization",,Azure data Engineer with a 10 years of experience in the Industry. Must have at least one project implementation experience in managing a data lake on Azure…
51,Big Data Engineer/ Cloud Data Engineer,Kynite,"Estimated: $130,000 - $170,000 a yearQuick Apply","Myrtle Point, OR ",Contract,"Elasticsearch
Relational databases
DynamoDB
SQL
NoSQL
Master's degree",,"Knowledge of batch and streaming data processing techniques. High Proficiency in at least two of Scala, Python, Spark or Flink applied to large scale data sets."
52,Senior Data Engineer,Pacific Data Integrators,$70 - $90 an hourQuick Apply,Remote ,Full-time | Contract,"Project management
Spark
Business analysis
DevOps
Agile
Bachelor's degree
US work authorization",,"Experience in data acquisition, data set process, improving data reliability, quality and efficiency. Experience with large data sets to address business issues…"
53,Data Engineer – AWS/Python/Redshift/Airflow – Long Term Contract – Onsite,Right Skale Inc.,$60 - $80 an hourQuick Apply,"Pleasanton, CA ",Contract,"SQL
Cloud architecture
Data collection
Python
Redshift
Master of Science
Bachelor of Science
Bachelor's degree
Master's degree",,Strong experience in data warehousing -AWS Redshift.. _This senior technical contributor and developer role requires a very good understanding of cloud…
54,Trajectory Design & Data Engineer (ADV0003IB) - ERC,"ERC, Inc.","Estimated: $98,000 - $130,000 a year","Houston, TX ",Full-time,"SQL
Go
Fortran
C++
Communication skills
Bachelor of Science
Bachelor's degree
Doctoral degree
Master's degree
Doctor of Philosophy","Health insurance
Continuing education credits
401(k)
401(k) matching
Tuition reimbursement","Experience with data pipelines (automation of data management using tools like Gitlab, CI, Jenkins) and/or data interfaces (web app/tools for end users to…"
55,Climate Data Engineer,USB Outsourcing,"$160,000 - $200,000 a yearQuick Apply",Remote ,Contract,Root cause analysis,,"Partner with technology architecture and engagement teams to design, develop and deliver solutions for ESG-related projects."
56,Data Engineer,Rochel Software,Quick Apply,Remote ,Contract,"SQL
Distributed systems
Python
Data warehouse
Bachelor's degree
Master's degree",,"Unit and Integration testing of data engineering pipelines built. Understand data model from each source system - PeacockTV, OneApp and potentially Sports."
57,Data Engineer,ApolloMed,"Estimated: $88,000 - $120,000 a yearQuick Apply",Remote +1 location,Full-time,"Power BI
Relational databases
SQL
Microsoft Excel
Tableau
Master of Public Health
Bachelor's degree
Master's degree
Master of Business Administration",,Design and develop a data reporting environment across organizational data systems. Collaborate with data analysts and other team members to architect data…
58,Data Engineer 2145853,Amazon,"$175,000 - $350,000 a yearQuick Apply",Remote +18 locations,Full-time,"Project planning
Construction estimating
Design patterns
Spark
Git
Bachelor's degree
US work authorization","Dental insurance
Health insurance
Paid time off
401(k)
Vision insurance","Data architecture: 1 year (Preferred). 1+ years of experience contributing to the data architecture and design (architecture, design patterns, reliability and…"
59,Big Data Engineer,Systems,"Estimated: $98,000 - $130,000 a yearQuick Apply","San Francisco, CA ",Full-time | Contract,"SQL
Python
Java",,"San Francisco, CA* - *_Day One Onsite, No Remote_*. Any Bigdata/Datawarehouse relational database platform – Application Performance Tuning ,Platform management…"
60,"Data Engineer I (Python, SQL)","The Travelers Companies, Inc.","$98,600 - $162,600 a year","Hartford, CT ",5 days ago,"Analysis skills
SQL
Leadership
Communication skills
Machine learning
Bachelor's degree","Wellness program
Health insurance
401(k) matching
Paid time off
401(k)","Incorporate core data management competencies including data governance, data security and data quality. Four years of data engineering or equivalent experience…"
61,Data Engineer I (Remote Optional),USAA,,"San Antonio, TX ",6 hours ago,"Relational databases
Azure
SQL
NoSQL
Python
Bachelor's degree","Dental insurance
Health insurance
Continuing education credits
Adoption assistance
401(k)","4 years of data engineering, data analysis or software development experience implementing data solutions with at least 1 year of data engineering or data…"
62,"Data Engineer (DATAE022554) ""Remote""",Simmons Foods,"Estimated: $85,000 - $120,000 a yearQuick Apply",Remote ,Full-time,"Operating systems
Data modeling
SQL
Data collection
Informatica
Bachelor's degree
US work authorization",,"Provides a logical data model as a standard for the source and for consuming applications to inherit, with elements and business rules needed for the creation…"
63,Data Engineer,(QSI) - Quality Systems Integrators,$70 - $96 an hourQuick Apply,Remote ,Full-time | Contract,"Data modeling
SQL
Databases
Oracle
Data warehouse
Bachelor's degree","Dental insurance
Health insurance
Paid time off
401(k)","Provide centralized direction for metadata repositories, data definitions and data relationships. Work with Enterprise Data Architect to validate project data…"
64,Data Engineer ( Data modelling and Data pipeline),Tekrek Solutions Inc,"Estimated: $110,000 - $160,000 a yearQuick Apply",Remote ,Contract,"Data modeling
SQL
Apache Hive
Application development
Communication skills","Dental insurance
Health insurance
Vision insurance","Python coding skills for data movement and data manipulation (not app development). Experience building and optimizing data pipelines, architectures, and data…"
65,Azure Data Engineer,Interas LLC,$60 - $70 an hourQuick Apply,Remote ,Contract,"Azure
SQL
Hadoop
Data lake
Project implementation
US work authorization",,Azure data Engineer with a 10 years of experience in the Industry. Must have at least one project implementation experience in managing a data lake on Azure…
66,Big Data Engineer,STM Consulting.Inc,$50 - $60 an hourQuick Apply,"Atlanta, GA ",Contract,"Hadoop
Spark
Big data
AWS",,Big data: 1 year (Preferred). 2.The recommendation should be based on data retention policies and usage patterns. 7.Document the new database schema design.
67,AWS Data Engineer,Interas LLC,$60 - $70 an hourQuick Apply,Remote ,Contract,"Splunk
GitLab
SQL
Jira
Kanban
US work authorization",,Data engineer: 10 years (Preferred). Fulfill any ad-hoc data or report request queries from different functional groups. Must have 10+ years experience*.
68,Position: Data Engineer,Infinity Quest,"$92,220 - $251,682 a yearQuick Apply","Fremont, CA ",Contract,"SQL
Spark
Python
Kafka
Data warehouse
US work authorization",,"Good to have to big data technologies – Apache Spark, Kafka, Delta Lake. Strong in SQL and Python. Fremont, CA: Reliably commute or planning to relocate before…"
69,Principal Azure Data Engineer (REMOTE),P3 Adaptive,"$110,000 - $140,000 a year",Remote ,Full-time,"Power BI
Azure
SQL
SSIS
Communication skills","Health savings account
Dental insurance
Employee discount
Health insurance
Professional development assistance",We are actively hiring data engineers with an intermediate or better working knowledge of Microsoft Azure Data and Analytics Services.
70,Big Data Engineer - Greeley CO,Pilgrim's,"$115,000 - $146,000 a year","Eaton, CO ",Full-time,"Relational databases
DynamoDB
Data modeling
Azure
SQL
Bachelor of Science
Bachelor's degree
Master's degree
US work authorization","Dental insurance
Health insurance
401(k)
Paid time off
Vision insurance",Designs data integrations and data quality framework. Performs data analysis required to troubleshoot data related issues and assist in the resolution of data…
71,Junior Data Engineer,Urner Barry,"$62,000 - $65,000 a yearQuick Apply","Toms River, NJ ",Full-time,"SQL
Communication skills
R
Python
ETL
Bachelor's degree
US work authorization","Dental insurance
Health insurance
401(k)
Flexible spending account
401(k) matching","Monitor and maintain data pipelines proactively to ensure high service availability. This person will support all phases of analytic product development, from…"
72,Data Engineer,(QSI) - Quality Systems Integrators,$70 - $96 an hourQuick Apply,Remote ,Full-time | Contract,"Data modeling
SQL
Databases
Oracle
Data warehouse
Bachelor's degree","Dental insurance
Health insurance
Paid time off
401(k)","Provide centralized direction for metadata repositories, data definitions and data relationships. Work with Enterprise Data Architect to validate project data…"
73,Data Engineer,J2 Solutions,"Estimated: $100,000 - $130,000 a yearQuick Apply",Pennsylvania ,Contract,"Relational databases
Design patterns
SQL
Data lake
Docker",,"Demonstrated experience with data warehouses or data lakes and relational databases. Build scalable, automated data pipelines using Dataprep (training is…"
74,Data Engineer,On Target Computing,$50 - $90 an hourQuick Apply,Remote ,Contract,"SQL
DevOps
Python
Data structures
AWS
Bachelor's degree
US work authorization",Flexible schedule,"Build processes that support data transformation, workload management, data structures, dependency, and metadata."
75,Data Engineer,Quadrant Resource,"Estimated: $93,000 - $130,000 a yearQuick Apply",Remote ,Contract,"Research
SQL
Spark
Tableau
Scrum",,"Experience of working in Agri Research & Development projects, working with complex data like genomic sampling, selection data, variant data etc."
76,Data Engineer,ArchsystemInc,Quick Apply,Remote ,Full-time,"Azure
Python
NumPy
Pandas",,Experience using pandas and numpy for data engineering and data cleansing; Experience using Azure Databricks platform;
77,GIS Data Engineer,International Mission Board,"Estimated: $73,000 - $98,000 a year","Richmond, VA ",Full-time,"Statistical analysis
Analysis skills
REST
SQL
Workday
Bachelor's degree",,"The GIS data engineer designs, develops, and programs GIS systems to answer critical strategic and business data questions."
78,Data Engineer (Informatica/ETL/Oracle),Fidelity TalentSource,"Estimated: $96,000 - $140,000 a year","Durham, NC ",Full-time,"SQL
Kanban
Shell Scripting
Scrum
Control-M
Bachelor's degree
Master's degree",,"10+ years of hands-on experience in architecting, crafting, and developing highly scalable distributed data processing systems."
79,Data Engineer,GenSpark,"$70,000 - $90,000 a year",United States ,Full-time | Contract,"SQL
Windows
Pandas
Communication skills
Python
Pass drug screening
Background check","Dental insurance
Paid training
Health insurance
Referral program
401(k)",We provide paid training in technical and soft skills to take your skills to the next level in exchange for a 12 month commitment to work with an established…
80,Data Engineer I,New Visions for Public Schools,"$83,000 - $137,000 a yearQuick Apply",Remote ,Full-time,"SQL
NoSQL
Cassandra
R
PostgreSQL","Health savings account
Dental insurance
Employee discount
Health insurance
Professional development assistance","2+ years of experience in data engineering, software engineering, or advanced data analytics. Multiple times per day, we manage the processing of data from…"
81,Sr Data Engineer,Apptad Inc,$45 - $70 an hourQuick Apply,Remote ,Full-time | Contract,"SQL
Python
US work authorization",,"Skills: Orchestration, Data Pipelines, SQL Optimization, SQL, Python. Tools knowledge: Snowflake, SQL, Airflow, dbt. Job Types: Full-time, Contract."
82,Big Data Engineer,Infinity Quest,$60 - $80 a dayQuick Apply,Remote +2 locations,Contract,"Data modeling
SQL
Spark
Apache Hive
Pandas
US work authorization",,"Understanding of data structures, data modeling and software architecture. Proficiency in data analysis using complex and optimized SQL and/or the above…"
83,Big Data Engineer,Job Cloud inc.,$60 - $80 an hourQuick Apply,"Raleigh, NC ",Contract,"Analysis skills
REST
SQL
Software troubleshooting
APIs
Bachelor's degree",,"Excellent knowledge of interaction with various data source. Location: onsite from 1st day in Raleigh, NC*. Type: Contract, long term , 2-3-4+ year, multi-year…"
84,Senior Data Engineer,Communications Advertising for Bull City,$70 - $80 an hourQuick Apply,Remote ,Full-time | Contract,"Relational databases
Data modeling
SQL
NoSQL
TensorFlow
Bachelor's degree",,"Experience in evaluating, designing, and implementing data platforms and data pipelines to scale and automate the extraction of data from multiple internal and…"
85,Sr Data Engineer (Contractor),SADA,"Estimated: $110,000 - $160,000 a yearQuick Apply","Los Angeles, CA ",Contract,,,"Benefits: Unlimited PTO, Paid Parental Leave, competitive and attractive compensation, performance-based bonuses, paid holidays, rich medical, dental, vision…"
86,Data Engineer (Hybrid),Wings Financial Credit Union,"Estimated: $89,000 - $120,000 a year","Apple Valley, MN ",Full-time,"SQL
Microservices
Windows
Database development
SSIS
Bachelor's degree",,"5-7 years of experience in solution development, data integration, and data warehousing. Prepare the necessary documentation and visuals to ensure clarity in…"
87,Snowflake Data Engineer,INCEDO,"$84,498 - $160,891 a yearQuick Apply",North Carolina ,Full-time | Contract,"SQL
ETL
Informatica
US work authorization",,"Have experience in data migration, preferably from Informatica (or other ETL tools) to Snowflake. Data Engineers with SQL, Snowflake, SnowSQL knowledge."
88,"Data Engineer I (AWS, Snowflake)","The Travelers Companies, Inc.","$98,600 - $162,600 a year","Hartford, CT ",,,,"Incorporate core data management competencies including data governance, data security and data quality. Four years of data engineering or equivalent experience…"
89,Data Engineer,Optimal Inc.,"Estimated: $95,000 - $130,000 a yearQuick Apply","Dearborn, MI ",Contract,"SQL
Communication skills
Hadoop
Python
Data analysis skills
Bachelor's degree
Master's degree",,"Contribute with that overall data standard, information interoperability, data quality, and data availability fully support the goals of GDI&A."
90,Data Engineer,(QSI) - Quality Systems Integrators,$70 - $96 an hourQuick Apply,Remote ,Full-time | Contract,"Data modeling
SQL
Databases
Oracle
Data warehouse
Bachelor's degree","Dental insurance
Health insurance
Paid time off
401(k)","Provide centralized direction for metadata repositories, data definitions and data relationships. Work with Enterprise Data Architect to validate project data…"
91,Data Engineer (12 month contract),"2seventy bio, Inc","Estimated: $90,000 - $120,000 a yearQuick Apply","Cambridge, MA ",Contract,"Relational databases
Manufacturing
Communication skills
R
GitHub
Bachelor's degree
Master's degree",,Leverage cloud computing platforms like AWS for data management solutions. Develop automation workflows to enable data access across multiple systems.
92,Senior Data Engineer,Brix Labs,"$120,000 - $180,000 a yearQuick Apply",Remote ,Full-time,"Python
AWS
ETL
Bachelor's degree",,This position is full time remote working with flexible working hour and competitive pay. Bachelor degree is relative field. 5+ years of experience in Python.
93,Data Engineer,Cyborg Mobile,"Estimated: $90,000 - $120,000 a yearQuick Apply",Remote ,3 days ago,"Live chat
AWS
S3",,"Founded in 2009, Cyborg Mobile is a human-centered consultancy providing Technology and Management Consulting Services. 2+ years of backend experience."
94,Data Engineer I (Remote Optional),USAA,,"San Antonio, TX ",6 hours ago,"Relational databases
Azure
SQL
NoSQL
Python
Bachelor's degree","Dental insurance
Health insurance
Continuing education credits
Adoption assistance
401(k)","4 years of data engineering, data analysis or software development experience implementing data solutions with at least 1 year of data engineering or data…"
95,"Data Governance Engineer (With Azure, Data Integration Data Quality)",Elgebra,"Estimated: $83,000 - $120,000 a yearQuick Apply",Remote ,Full-time,"Power BI
CSS
Data modeling
Azure
SQL",,"Leading the delivery of data models, data storage models and data migration to manage data within the organization, for a small to medium-sized project."
96,Telecommunications & Data Field Engineer,Redwood Systems INC,"Estimated: $67,000 - $89,000 a yearQuick Apply","Chicago, IL ",Full-time,"VMWare
Assembly
ESXi
TCP
TCP/IP","Dental insurance
Health insurance
401(k)
Vision insurance
Life insurance","Install low voltage cabling (Cat6, etc.) for both new construction and retrofit projects. Install network equipment such as managed network switches, IP cameras…"
97,Staff Software Engineer - Data Products,Discord,"$214,000 a year","San Francisco, CA ",,,,Collaborate with leadership and senior engineers across the team to define the technical vision and build on the technical roadmap for data products.
98,Data Engineer,Human Interest,"$130,000 - $145,000 a yearQuick Apply","San Francisco, CA ",,,,Help build a world class data environment. Work with engineering teams across the company to improve data tracking. Generous PTO and parental leave policies.
