,title,salary,company,description,location
94,Data Engineer,"$120,000 - $140,000 a year",Proof,2+ years of professional experience as a data engineer or similar role. You are no stranger to data warehousing and designing data models.,"Denver, CO"
95,Cloudera Data Engineer,$60 - $70 an hour,Parsoft LLC,"Experience in building data warehouse and data lake applications. Knowledge of data governance (Data Quality, Data catalog) desirable.",Remote
96,"Associate Data & ML Engineer, A2C ProServe","$98,200 - $148,500 a year","Amazon Web Services, Inc.",Hands on experience working on large-scale data science/data analytics projects. Hands on experience with building data or machine learning pipeline.,Remote +1 location
97,Data Engineer,"$84,080 - $117,940 a year",Dutch Bros,Build data catalog for the legacy and new data assets. Develop data dictionaries for the legacy and new data assets. Design and implement new data warehouses.,Remote
98,Lead Data Engineer,"$84,463 - $156,898 a year",TY Software,"Experience developing and implementing data models for various domains. Deep, expert level knowledge of Python, Pandas. Job Types: Full-time, Contract.",Remote
99,Data Engineer,,Teamware Solutions (quantum leap consulting).,Tasks to extract data from databases and orchestrate these. Experience in designing and executing solutions for complex business problems involving large scale…,Remote
100,Data Engineer,,EXL Services,"Work across a wide range of problems in the data ingestion, data compute, data transport, data orchestration, data interoperability, experimentation, and data…","Detroit, MI +2 locations"
101,Sr. Data Engineer,$70 an hour,Stellar Inc.,"Solve big data engineering problems. 3+ years of proven experience in collaborating with data architects, data scientists and enterprise platform team in…",Remote
102,Data Engineer - USA Remote,"$110,000 - $150,000 a year",Blue Orange Digital,Integrate data from multiple disparate sources into a single Snowflake data warehouse. Advanced experience in Python with an excellent understanding of computer…,Remote
103,Data Engineer with Business Intelligence,$60 - $64 an hour,Precision Technology,Perform ad hoc analysis on data and provide recommendations on ways to refine existing data models and improve both management and governance of data in…,Remote
104,Data Engineer,,Advia Credit Union,"Build required infrastructure for optimal extraction, transformation and loading of data from various data sources using SQL and Python scripting languages.","Southgate, MI +5 locations"
105,"Hiring On Data Engineer ,10+ years of Exp ,Remote",$60 - $65 an hour,A1 Resourcing Inc.,"Must have hands-on experience in *AWS based projects*. In her/his current project, the candidate is working as a cloud architect and has *2-3 years of hands-on…",Remote
106,Senior Data Engineer for Education Start up,"$130,000 - $140,000 a year",Recruiting From Scratch,"Proven passion and talent for teaching fellow engineers and non-engineers. Strong knowledge of SQL, of datastores and their tradeoffs (including relational,…","Detroit, MI +102 locations"
107,Jr. Data Engineer (REMOTE),,IntelliBridge LLC,"Expected to possess proficiency in manipulating financial data for analytical assessments; be proficient with Microsoft tools, specifically Excel; possess…","Washington, DC"
108,Data Engineer (P),"$175,000 - $250,000 a year",DCI Solutions,"Distributes computation, includes data normalization. Debugs issues related to delayed or missing data feeds. Develops and deploys technical solutions to:","Chantilly, VA +1 location"
109,Senior Data Engineer - URGENT HIRE,"$80,000 - $130,000 a year",Pyx Health,Manage the hydration and data hygiene of a large data warehouse. Work closely with data analytics and development partners to create robust data solutions.,Remote
110,FBI Data Engineer,"$175,000 - $250,000 a year","RML Specialty Group, LLC","Engages with data scientists and users, accessing/leveraging the data foundation to: Perform data cleansing and transformation within the Foundry platform.","Chantilly, VA +1 location"
111,Java + Data Engineer,$70 - $80 an hour,CirrusDBA,Design and implement data pipelines for big data jobs. Perform data quality control to ensure the validity of stored data. Design and manage Hadoop clusters.,Remote
112,Entry Level Data Engineer,$30 - $40 an hour,N9 IT SOLUTIONS,Eligibility: -* (Authorized to work anywhere in the USA and for only those who are staying in the USA). They use an advanced non-invasive procedure to prolong…,Remote
113,Data Center Operations Engineer,,PlayStation Global,This position is for an experienced candidate who will work within the Data Center Operations team and have hands on responsibility for ensuring our production…,"Austin, TX"
114,Software Engineer 2 - Data Platform,"$140,000 - $204,000 a year",Indeed,Share your expertise on products and technologies by mentoring other engineers. Provide feedback on other engineers’ designs for new systems and enhancements.,"San Francisco, CA +4 locations"
115,Data Engineer,,O'Reilly Media,Proficiency in large scale data platforms and data processing systems such as Google BigQuery and Amazon Redshift. Experience with Django RESTful endpoints.,Remote +1 location
116,Data Engineer,,eTeam Inc.,Experience with SAP data sources. Experience working with analytics and data science teams. Senior level with 6 9 years experience data engineering or…,"Thomasville, GA +5 locations"
117,Data Engineer,"$75,128 - $171,298 a year",Mindtree Limited,Run data profiling and produce data quality reports. Analyze and organize raw data. Build data systems and pipelines. Evaluate business needs and objectives.,"Atlanta, GA"
118,Senior Data Engineer,"$170,000 - $200,000 a year",Boxed,"Create data tools for analytics and data scientists that assist them in building and optimizing our products. Identify, design, and implement internal processes…",Remote
119,Data Warehouse Engineer,,Oddball,"Knowledge of data management, data standardization, and data governance. Map data between source systems, data warehouses, and data marts.",Remote +1 location
120,Senior Data Engineer (Remote),,Grindstone,"Responsible for data loss prevention focused on compliance, data rights management, and data tagging/labeling, visibility.",Remote
121,Data Engineer - 4463302,,Accenture,"Utilize SQL and Python to engineer sound data pipelines, conduct routine, and ad hoc analysis to assess the performance of legacy products and the saliency of…","Detroit, MI +36 locations"
122,Azure Data Engineer,$70 - $90 an hour,Macersoft Technologies LLP,Azure data factory: 4 years (Preferred). Good knowledge and hands on experience in Query writing and data analysis. Good knowledge in Azure Synapse analytics.,Remote
123,Data Engineer,"$120,000 - $130,000 a year",Genpact LLC,Work with Data Scientists/BI teams to assist with data-related technical issues and support their data processing needs. Any experience with SAS/R.,Remote
124,Staff Data Warehouse Engineer - Revenue Systems - Business Technology Team,"$107,000 - $156,000 a year",Indeed,"The successful candidate will have hands on data processing and data modeling experience in a ""big data"" environment. (*comScore Total Visits, September 2021).",United States
125,Data Engineer,,Synaptein Solutions,"Location: Thousand Oaks, CA (Remote Position Till Covid). Proven proficiency with scripting languages such as Python, Ruby, and JavaScript, and build tools such…","Thousand Oaks, CA"
126,Big Data Engineer,$40 - $45 an hour,GSLV Technologies LLC,Big data consultant strong with pyspark and can do independent client facing self starter kind very good tcs Amex remote. Salary: $40.00 - $45.00 per hour.,Remote
127,Data Engineer,$30 - $35 an hour,Konnectingtree,Should be expertise on Data analytics using Tableau /PowerBI on Large scale data Reports and Dashboards. Actively Seeking Junior Data Engineer on W2 position…,Remote
128,Senior Data Engineer,,FIIDUS,MS in Computer Science / related technical field with 7 to 10 years of strong hands-on experience in enterprise data warehousing / big data implementations &…,Remote
129,Data Engineer,,Bally's Interactive,"We're looking for a hands on engineer with a passion for data to work alongside other developers, architects and machine learning engineers in an agile…","Warwick, RI"
130,Big Data Engineer (full time),"$100,000 - $130,000 a year","3G Federal Solutions, LLC"," Writing reports, supporting self-service tools, and establishing data pipelines among different applications in order to enable analysts and data scientists…",Remote
131,Azure Data Engineer,$70 - $75 an hour,Cloud SI Inc,Only GA/EAD/Citizenship profiles for this opportunity.*. MUST have ETL and programming experience in Python. MUST have business analytics and Intelligence tools…,Remote
132,Data Engineer,"$124,000 - $208,000 a year",Blue Origin,"Monitoring, maintaining and improving Blue Origin’s data pipelines and associated infrastructure, facilitating the greatest possible utilization and trust of…","Seattle, WA"
133,Senior Data Engineer,"$120,000 - $180,000 a year",Nter,"6+years of experience as a Data Engineer. Having experience with Hadoop/Python, Spark, and SQL. Data Engineer: 5 years (Required).",Remote
134,AWS Data Engineer,"$70,000 - $80,000 a year",Stand Up Wireless,"Demonstrate efficiency in handling data - tracking data lineage, ensuring data quality, and improving discoverability of data.",Remote
135,Data Engineer,$40 - $90 an hour,Technovert Solutions,Proven experience with security best practices through the entire lifecycle of data. 8+ years of hands-on experience in Data Lakes.,"San Carlos, CA"
136,Sr. Data Engineer,$60 - $61 an hour,Tech Aveev LLC,"Identify necessary business rules for extracting data along with functional or technical risks related to data sources (e.g. data latency, frequency, etc.).",Remote
137,Machine Learning Engineer or Data Scientist,$75 - $85 an hour,Cortex Consultants LLC,- 5+ years’ experience with building and managing distributed training and learning infrastructures and ML pipelines.,Remote
138,Data Engineer,,The Crox Group,"Experience in leading Data Engineering tasks such as ML automation, data warehousing, data ingestion, data transformation, data visualization, etc.",Remote
139,"Data Engineer, Fan Insights and Guidance/S4X",,Spotify,"Design, build and maintain data pipelines using data processing frameworks like Scio on Google Cloud Platform.","New York, NY"
140,Cleared Data/ETL Engineer,,ReindeerTek,"Experience integrating data models with workflow management tools to ensure ""gold copy"" data integrity. This role designs, implements, and maintains standard…","Reston, VA"
141,Senior Data Engineer,,WorldLink,"Work directly with data engineers, product owners and customers to deliver data products in a collaborative and agile environment. Big data: 5 years (Required).",Remote
142,Data Engineer,"$110,000 - $140,000 a year",SFL Scientific,"You will work cross-functionally with data scientists, machine learning engineers, data engineers, project managers, and industry experts to develop robust AI…",Remote
143,Data Engineer,$48 - $51 an hour,MARVEL TECHNOLOGIES INC,"Passionate about data and for delivering high-quality data solutions in an agile fashion. Proven ability to articulate ideas extremely well, back up ideas with…",Remote
144,Senior SQL Developer / Data Engineer,"$84,068 - $172,027 a year",Simplex Info Systems,"Primary Skills SQL, ETL, SSIS, SQL Scripting, SQL Jobs, Power automate, Excel. Primary Skills SQL, ETL, SSIS, SQL Scripting, SQL Jobs, Power automate, Excel.","Dallas, TX"
145,Data Engineer,"$150,000 - $160,000 a year",Times Square Tech,"Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores. Experience with data pipeline workflow management tools …",Remote
146,Sr. Data Engineer,$50 - $70 an hour,Crox Consulting Inc,"Experience in leading Data Engineering tasks such as ML automation, data warehousing, data ingestion, data transformation, data visualization, etc.",Remote
147,Data Engineer,,Curie,"Duties may include scraping data from websites, storing and versioning the data. The Data Engineer will be responsible for data capture.",Remote
148,Data Engineer I,,Bloom Insurance,Knowledge of data science technologies is a plus. Able to generate ad hoc data on demand. Design data models and develop database structures in Microsoft SQL…,Remote
149,Data Engineer,,"Azurity Pharmaceuticals, Inc.",Developing and maintaining formal documentation that describes data and data structures including data modelling. Experience in high volume data environments.,"Myrtle Point, OR +2 locations"
150,BI Data Engineer,,Gradient AI,Analyze complex data schemas and relationships to implement information models to capture the data and data relationships.,Remote +1 location
151,Data Engineer II ( Patient Data) - AI/ ML,"$125,000 - $140,000 a year",Change Healthcare,"Data engineers at Change Healthcare are software developers who design, build and launch efficient & reliable data pipelines to move and transform data (both…",Remote +50 locations
152,Data Analytics Engineer,"$70,000 - $110,000 a year",RFA Engineering,Develop and test telematics data accuracy. Analyzing machine telematics data for custom information reporting. High level of attention to detail and accuracy.,"Dubuque, IA"
153,Data Engineer and DBA II,,Columbian Financial Group,"They will work closely with the data team and business users to define data requirements, reporting needs and data translations from our many systems.",Remote
154,Sr Data Engineer,$55 - $60 an hour,fluxtek solutions inc,"Designs and builds data service infrastructure on multiple data platforms, according to key business processes and the overall workflow.",Remote
155,Senior Data Engineer,"$106,300 - $159,400 a year",Renaissance,"Evolve data interactions with proprietary data systems, allowing us to bring new customers onboard easily and cost-effectively. Paid Vacation and Sick Time Off.",Remote
156,Data Engineer,,Elign Consulting,"Adhere to and enforce data security requirements to ensure data is treated as a protected asset. Data Engineer to develop, implement, and maintain our business…","Des Moines, IA"
157,Data Engineer with Python,,ICube CSI,"Need a Data engineer with Python, Pandas and SQL skills and Azure experience is plus. Data Engineer: 3 years (Preferred). Python, Pandas: 2 years (Preferred).",Remote
158,Azure Data Engineer,$39.65 - $80.00 an hour,itechedgecorp,"Either they are Senior level developer or architect need people who have azure data services , azure data factory, databricks and sql very well hands on.",Remote
159,Azure Data bricks Engineer,$39.71 - $86.28 an hour,Accuro Group,Proficiency working with Python specifically as it relates to data processing. Proven experience building data pipelines using variety of tools including but…,Remote
160,Data Engineer II,"$120,000 a year",2U,Maintaining data pipelines & data systems. Experience in designing data pipelines & data solutions for analytical data warehousing.,"Brooklyn, NY"
161,Data Engineer,,Kargo,"Work closely with data scientists and engineers to categorize, document, and analyze Kargo's new and existing advertising data streams.",Remote
162,Sr. Data Engineer - DataBricks,"$110,000 - $161,000 a year",theta.,Solid experience with data management. Troubleshoot data usage issues and malfunctions. Write quality code to develop functional data applications.,Remote
163,Data Engineer,"$70,000 - $110,000 a year",RFA Engineering,Collaborate with product teams to identify data needs and develop data measurement configurations. Perform initial data validation activities.,"Dubuque, IA +1 location"
164,Data Engineer,,Poggio Labs,"Scalable cloud infrastructure, serving data to modular applications. Data engineers at Poggio Labs have autonomy over their projects, design features from…",Remote
165,Data Engineer - Metering,,Datadog,"Skilled in wrangling huge amounts of data and enjoy exploring new data sets. Build distributed, high-volume data pipelines that power this core platform.","New York, NY +1 location"
