,title,company,salary,description,location
53,Data Engineer,Browse Info Solutions.,,Data engineer will also contribute in the design of new data lake components and data marts.Build data engineering expertise and own data quality for ingestion…,"Canton, MI 48187"
54,Data Engineer,S3vision Inc,,8+ years of experience - nearly 3 years of experience in AWS; currently a Data engineer for a project migration.Project Migration: 2 years (Preferred).,Remote
55,Data Engineer III - Remote,UW Health,,"Leverage knowledge and skill with a variety of data engineering, DataOps, and data warehousing methodologies, techniques, tools, and platforms to move and…","Remote in Madison, WI 53717"
56,Data Engineer (12 month contract),"2seventy bio, Inc",,Leverage cloud computing platforms like AWS for data management solutions.Develop automation workflows to enable data access across multiple systems.,"Cambridge, MA"
57,Data Engineer,Recruiting From Scratch,"$160,000 - $200,000 a year","Our client is looking for an experienced Software Engineer working on all data related projects: data pipelines, data science and data analytics projects.","Remote in Plymouth, MI 48170"
58,Jr. Data Engineer (REMOTE),IntelliBridge LLC,,"Expected to possess proficiency in manipulating financial data for analytical assessments; be proficient with Microsoft tools, specifically Excel; possess…","Remote in Washington, DC 20011"
59,Jr Data Application Engineer,Tyler Technologies,,"Perform analytical and technical tasks to complete special and ongoing projects requiring extensive research, data collection, and detailed analysis, following…",Remote
60,Data Engineer (P),DCI Solutions,"$175,000 - $250,000 a year","Integrate data onto proprietary platform.Distributes computation, includes data normalization.Debugs issues related to delayed or missing data feeds.","Chantilly, VA 20151"
61,Senior BI Data Engineer (Remote),Home Depot / THD,"$180,000 a year","Creating programmatic artifacts to extract, clean, transform, move, and load data into data lake, data warehouse and appropriate data mart.","Remote in Atlanta, GA 30301"
62,Data Engineer,Proof,"$120,000 - $140,000 a year","As a data engineer, you'll be responsible for driving business impact through the growth & observability of our data.What we'll expect you to know on day one:","Remote in Denver, CO 80231"
63,Data Engineer | Recent Graduates Opportunity,PCS Globaltech,"$70,000 - $80,000 a year","Previous experience as a data engineer or in a similar role.Technical expertise with data models, data mining, and segmentation techniques.","Tuscaloosa, AL"
64,Data Engineer (Remote - no sponsorships),Trace3,,"Experience with federated data between onpremise and cloud platforms.Perform hands on development of apache, big data technologies, and framework.","Remote in San Francisco, CA 94103"
65,Senior Data Engineer,Communications Advertising for Bull City,$70 - $80 an hour,"Experience in evaluating, designing, and implementing data platforms and data pipelines to scale and automate the extraction of data from multiple internal and…",Remote
66,Data Engineer,PlayStation Global,,Proven data modeling skills - must have demonstrable experience designing models for data warehousing and analytics use-cases (e.g. from operational data store…,"Los Angeles, CA"
67,Lead Data Engineer (Remote),Home Depot / THD,"$160,000 a year","This person owns the marketing data pipeline which brings the data from various data sources to supports the analysis, reporting, audience creation and data…","Remote in Atlanta, GA 30301"
68,Data Engineer,The New York Times,,"As a data engineer, you will:You are comfortable collaborating with engineers from other teams, product owners, business teams, and data analysts and data…","New York, NY"
69,Data Engineer,Synaptein Solutions,,"Location: Thousand Oaks, CA (Remote Position Till Covid).Proven proficiency with scripting languages such as Python, Ruby, and JavaScript, and build tools such…","Thousand Oaks, CA"
70,Data Engineer,Clairvoyant,$70 - $75 an hour,Tasked with testing and maintaining highly scalable data processing pipelines using BigData technologies and SOA architecture.This is a hybrid position.,Hybrid remote
71,Data Engineer,Brainjolt,,Proactively detect errors across our data and optimize current processes in order to uphold the integrity of our data.You Should be Ready To:,"Remote in Los Angeles, CA"
72,Big Data Engineer,AGM Tech Solutions,$70 - $88 an hour,"Show efficiency in handling data - tracking data lineage, ensuring data quality, and improving discoverability of data.DATA ENGINEER- Hiring 2, Alpharetta GA.","Alpharetta, GA 30005"
73,Big Data Engineer,Job Cloud inc.,$60 - $80 an hour,Excellent knowledge of interaction with various data source.Please review the below Job decription and share you updated resume with me. *.,"Raleigh, NC"
74,Data Center Planning Engineer (Remote),CrowdStrike,"$80,000 - $125,000 a year","#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.",Remote
75,Data Engineer,Eleanor Health,,"#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.","Remote in New York, NY"
76,Jr. Data Engineer,MediaAgility,,"#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.","Princeton, NJ 08540"
77,Data Engineer I,New Visions for Public Schools,"$83,000 - $137,000 a year","#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.",Remote
78,Data Engineer,Bayer,,"#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.","Whippany, NJ"
79,AWS Data Engineer,CirrusLabs,Up to $70 an hour,"#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.",Remote
80,Cleared Data/ETL Engineer,ReindeerTek,"From $225,000 a year","#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.","Reston, VA 20190 (Sunset Hills area)"
81,AWS data engineer,XFORIA Inc,,"#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.",Remote
82,Data Engineer,Rochel Software,Up to $75 an hour,"#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.",Remote
83,Software Engineer - Data,Criteo,,"#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.","Ann Arbor, MI 48104"
84,"Machine Learning Engineer, University Graduate (TikTok-Data-...",TikTok,,"#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.","Mountain View, CA 94041 (Old Mountain View area)"
85,Lead Data Engineer/Developer [Remote],Braintrust,$90 - $110 an hour,"#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.","Remote in San Francisco, CA"
86,Data Engineer,ITRGroup,"From $90,000 a year","#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.","Remote in Minneapolis, MN 55425"
87,Data Engineer –with Kendra,Precision Technology,$60 - $62 an hour,"#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.",Remote
88,Data Engineer,Afia Inc.,,"#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.","Ann Arbor, MI 48108"
89,Lead Data Engineer - High Performance Distributed Computing,TARGET,,"#WeAreCrowdStrike and our mission is to stop breaches.As a global leader in cybersecurity, our team changed the game.5+ years of relevant experience.","Hybrid remote in Brooklyn Park, MN 55445"
90,"Software Engineer, Data",Convex,,We are looking for a Software Engineer with an aptitude for data to build scalable platforms that enable efficient data movement within Convex across various…,"Hybrid remote in San Francisco, CA 94107"
91,Senior Data Engineer / Data Scientist,Incite Informatics,,Champions and defends data ingestion design.Strong comprehension of data modeling principles and concepts.5-10 years of advanced data engineering experience.,"Northville, MI 48167"
92,Data Engineer (12 month contract),"2seventy bio, Inc",,Leverage cloud computing platforms like AWS for data management solutions.Develop automation workflows to enable data access across multiple systems.,"Cambridge, MA"
93,Data Engineer,Teamware Solutions (quantum leap consulting).,From $60 an hour,Tasks to extract data from databases and orchestrate these.Experience in designing and executing solutions for complex business problems involving large scale…,Remote
94,Data Engineer,DGN Technologies,$70 an hour,"Develops technical tools and programming that leverage artificial intelligence, machine learning and big-data techniques to cleanse, organize and transform data…","Peachtree Corners, GA 30092"
95,Healthcare Data Integration Engineer (100% Remote in US),ArborMetrix,,ArborMetrix advances healthcare through data science by transforming data into insights for decision-making.Experience in using data integration / ETL tools.,"Remote in Ann Arbor, MI 48104"
96,Data Engineer,Peloton,,"In this role, you will help scale Peloton's data infrastructure for business needs by building batch and streaming data pipelines that process terabytes of data…","Hybrid remote in New York, NY 10011"
97,Data Streaming Engineer,WorldLink,"From $150,000 a year","4+ years of experience working on real-time data and streaming applications.We are building a data streaming and ingestion platform, which reliably handling…",Remote
98,GCP Data Engineer,IT Customer Service - POST,,Build and maintain data management workflows.Experience in collecting data from Kafka/Pulsar message bus and transporting the data to public/private cloud…,Remote
99,Data Engineer (Remote),"Second Wave Delivery Systems, LLC",,Experience with building and managing data pipelines.Experience with big data analysis tools such as BigQuery and Looker.Core values and ways of working.,Remote
100,Data Engineer,Brik Partners,$80 - $90 an hour,"Previous experience as a data engineer or in a similar role.Technical expertise with data models, data mining, and segmentation techniques.",Remote
101,Data Engineer,Denken Solution's Inc,$40 - $65 an hour,5-7 years experience in developing data/analytics applications.Manage complete life cycle of development for the data archival application with minimal…,Remote
102,Data Engineer,data.ai,,"Build, develop and maintain data models, data automation systems, Tableau dashboards and performance metrics that support key business decisions.","Remote in San Francisco, CA"
103,Data Engineer,Medsphere Systems Corporation,,"Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and data tools such…",Remote in United States
104,Data Engineer,LiveRamp,,LiveRamp is the leading data connectivity platform.Mission: LiveRamp makes it safe and easy for businesses to use data effectively.,"Remote in San Francisco, CA"
105,Data Engineer,Samsara,,"Work with data from a variety of sources including but not limited to: CRM data, Product data, Marketing data, Order flow data, Support ticket volume data.","Remote in San Francisco, CA 94107"
106,"Data Engineer - Chicago, IL",PepsiCo,"$85,000 - $90,000 a year",Manage and scale data pipelines from internal and external data sources to support new product launches and drive data quality across data products.,"Chicago, IL"
107,Data Platform Engineer,LaunchDarkly,,"Experience with data pipelines, distributed systems, and large-scale data processing.Monitor and improve data pipeline performance for continuous improvement.","Remote in Oakland, CA"
108,Data Engineer,Health Gorilla,,"5+ years of experience with optimizing 'big data"" data pipelines, architectures, and data sets (structured and unstructured data sets).","Remote in Miami, FL"
109,Senior Data Engineer,Sift Healthcare,"$110,000 - $190,000 a year","Our data engineers design and develop data pipelines to integrate disparate systems and curate data for machine learning.Ideally, a Masters in a related field.",Remote
110,Data Engineer,RPO International,$60 - $80 an hour,"Experience in building modern data platforms using traditional data warehouses and Big data platforms.Deep understanding and experience in data architecture,…","Houston, TX 77002 (Downtown area)"
111,Data Engineer,workcog inc,$60 - $65 an hour,Proven abilities for leading the data track for the application teams to deliver high performance to end consumers.Strong organizational and analytical skills.,Remote
112,Data Engineer,Newfish Inc,,"Define the interface between Newfish and data vendors, making the ingestion of data as easy as possible for both Hawkfish and its vendors.","Remote in New York, NY"
113,Data Engineer,eTeam Inc.,,"Implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate data collection…","Cupertino, CA 95014"
114,Data Engineer,Technodeed Inc,,Hadoop/Hive Apache Spark Apache Kafka Scala Python SQL Git (Github Enterprise) Drone Docker ELK + Grafana Graph About you: 5 + years of software development…,"Minneapolis, MN"
115,Data Engineer,Papa Murphy's | Papa Murphys Corporate Stores,"$100,000 - $110,000 a year",Designing and implementing data pipelines and data marts accessing diverse data sources.Leveraging their background in data ETL/ELT processes to provide…,"Vancouver, WA 98662 (Van Mall area)"
116,Data Engineer,Q-Centrix,,"Have had exposure to data modeling for data warehousing - star, snowflake schema designs.Build the infrastructure required for optimal extraction,…",Remote
117,"Data Engineer (DATAE022554) ""Remote""",Simmons Foods,,"Provides a logical data model as a standard for the source and for consuming applications to inherit, with elements and business rules needed for the creation…",Remote
118,Data Engineer,AdAction Interactive LLC,,"Design and development of various ETL data pipelines.2+ years of software development and/or data engineering experience.Health, vision, and dental insurance.","Remote in Chicago, IL 60614"
119,Data Engineer,FEBATECH LLC,"$80,452 - $190,948 a year","Understand and implement best practices in management of enterprise data, including master data, reference data, metadata, data quality and lineage.",Remote
120,Data Engineer,Trianz,,"Build data expertise and own data quality for allocated areas of ownership.Experience with large data sets, Hadoop, and data visualization tools.","San Francisco, CA 94104 (Financial District area)"
121,Data Engineer,HyreCar,,Expertise knowledge of SQL and ETL/ELT tools and wrangling huge amounts of data and exploring new data sets.Experience in building and operating data pipelines…,"Remote in Los Angeles, CA"
122,Petroleum Engineer | Data Scientist (681177),Aramco Services Company,,May coordinate or direct work of other engineers.Review work of engineers directed on projects where additional manpower has been assigned.,"Houston, TX 77002 (Downtown area)"
123,Data Engineer/ Data Scientist,Aegis Ventures,,"Maintains data acquisition process and data pipelines; verifies data quality, and/or ensures it via data cleaning and processing.","Remote in New York, NY 10010"
124,Cloudera Data Engineer,"USG, Inc",$70 - $75 an hour,Experience in building data warehouse and data lake applications.Design and build data pipelines for ingesting data using Sqoop.,"Cleveland, OH"
125,Amazon Quicksight Data Visualization Engineer,"Comprehensive Resources, Inc.",$70 - $90 an hour,"The decisions are crucial in how the customers around the world analyze and visualize data.Mentor other engineers, define the technical culture, and help grow…",Remote
126,Data Engineer,Lacework,,Build data expertise and own data quality for your areas.This individual would be a leader in the definition and development of the data science & data…,"San Jose, CA"
127,Data Pipeline Engineer,kairos technologies,$65 - $75 an hour,"Experience with data modeling, data warehousing, and building high-volume ETL/ELT pipelines.Experience with modern data technologies such as SQL and non-SQL…",Remote
128,Building Science/Data Engineer,Steven Winter Associates,,"Review and combine publicly available data from a wide variety of sources for analysis.Manage, manipulate, and analyze large static and time series data sets.","Hybrid remote in New York, NY 10001"
129,AWS Data Engineer,Neal Analytics,$60 - $70 an hour,Experience working with data warehousing data lakes or Lakehouse concepts on AWS.Implement scalable data transformation pipelines as per design.,Remote
130,Data Engineer,unybrands,,"Collect requirements, describe data modeling decisions and data engineering strategy.Onboarding raw datasets, designing data models that restructure the data…","Seattle, WA"
131,Data Engineer,Encora,,Experience in data engineering with an emphasis on data analytics and reporting.Apply statistical methods to large data sets to identify actionable insights.,"Remote in Rochelle Park, NJ"
132,Data Engineer,LendingTree,"$50,000 - $175,000 a year","We are seeking a data engineer who will be passionate about data engineering and building steaming data pipelines and will work with partners across Marketing,…","Remote in Seattle, WA"
133,Data Engineer,FutureSoft IT,,"We are looking for data engineers who will build, migrate and maintain data pipelines.? Experience building high performance data pipelines.","Sunnyvale, CA 94043"
134,Data Analytics Engineer (Remote),Axle,,"Strong working knowledge of data warehousing, schema, and data modeling best practices.Drive data quality by transforming dynamic data and business logic into…","Remote in Atlanta, GA 30336"
135,FBI Data Engineer,"RML Specialty Group, LLC","$175,000 - $250,000 a year","Engages with data scientists and users, accessing/leveraging the data foundation to:Perform data cleansing and transformation within the Foundry platform.","Chantilly, VA"
136,Palantir Data Engineer,Silex Data Solutions,,Ingest new data sources using Foundry’s data ingestion UIs.They will need to work closely with our client subject matter experts to scope new data integrations…,Remote
137,Data Engineer,Axios,,Comfortable building tools to support engineers effectively build data pipelines.Experience with Kafka or other data streaming platforms.,"Remote in Arlington, VA 22201"
138,Data Engineer,ArchsystemInc,"From $100,000 a year",Experience using pandas and numpy for data engineering and data cleansing;Experience using Azure Databricks platform;,Remote
139,Data Engineer,Technovert Solutions,$40 - $90 an hour,Proven experience with security best practices through the entire lifecycle of data.8+ years of hands-on experience in Data Lakes.,"San Carlos, CA 94070"
140,Data Warehouse Engineer,GovDocs,"$90,000 - $120,000 a year","Strong understanding of data Ingestion, data transformation, data management, data quality, and data lineage services and technologies.","Hybrid remote in Eagan, MN"
141,AWS Data Engineer,Neal Analytics,$60 - $70 an hour,Experience working with data warehousing data lakes or Lakehouse concepts on AWS.Implement scalable data transformation pipelines as per design.,Remote
142,Building Science/Data Engineer,Steven Winter Associates,,"Review and combine publicly available data from a wide variety of sources for analysis.Manage, manipulate, and analyze large static and time series data sets.","Hybrid remote in New York, NY 10001"
143,Data Engineer,Aspire Systems Digital Inc,$80 - $95 an hour,"Experience in data acquisition, data set process, improving data reliability, quality, and efficiency.Must*have experience with large* data sets to address…",Remote
144,Data Platform Engineer,LaunchDarkly,,"Experience with data pipelines, distributed systems, and large-scale data processing.Monitor and improve data pipeline performance for continuous improvement.","Remote in Oakland, CA"
145,Data Engineer,AdAction Interactive LLC,,"Design and development of various ETL data pipelines.2+ years of software development and/or data engineering experience.Health, vision, and dental insurance.","Remote in Chicago, IL 60614"
146,Cloud Engineer / Cloud Data Engineer / Data Cloud Engineer /...,CirrusLabs,,"Spark and PySpark are must-haves.At least one year of application management experience using Dremio, Presto, Databricks, Starburst, or Snowflake is a must…",Remote
147,Azure Data Engineer,Garni software,Up to $60 an hour,5+years of extensive experience with Azure data factory.5+ years of experience with big data tools.Azure data Factory: 6 years (Required).,Remote
148,Data Engineer,Browse Info Solutions.,,Data engineer will also contribute in the design of new data lake components and data marts.Build data engineering expertise and own data quality for ingestion…,"Canton, MI 48187"
149,Data Engineer,unybrands,,"Collect requirements, describe data modeling decisions and data engineering strategy.Onboarding raw datasets, designing data models that restructure the data…","Seattle, WA"
150,Data Engineer,Q-Centrix,,"Collect requirements, describe data modeling decisions and data engineering strategy.Onboarding raw datasets, designing data models that restructure the data…",Remote
151,NLP Data Scientist / Engineer,Altana AI,"$140,000 - $230,000 a year","Collect requirements, describe data modeling decisions and data engineering strategy.Onboarding raw datasets, designing data models that restructure the data…","Remote in Brooklyn, NY"
152,Data Engineer,Curie,,"Collect requirements, describe data modeling decisions and data engineering strategy.Onboarding raw datasets, designing data models that restructure the data…",Remote
153,Data Engineer / Data Modeling,NR Consulting LLC,,"Collect requirements, describe data modeling decisions and data engineering strategy.Onboarding raw datasets, designing data models that restructure the data…","Dallas, TX"
154,Data Engineer,LendingTree,"$50,000 - $175,000 a year","Collect requirements, describe data modeling decisions and data engineering strategy.Onboarding raw datasets, designing data models that restructure the data…","Remote in Seattle, WA"
155,Data Engineer (P),DCI Solutions,"$175,000 - $250,000 a year","Collect requirements, describe data modeling decisions and data engineering strategy.Onboarding raw datasets, designing data models that restructure the data…","Chantilly, VA 20151"
156,Data Engineer,Modern Animal,,"Collect requirements, describe data modeling decisions and data engineering strategy.Onboarding raw datasets, designing data models that restructure the data…","Culver City, CA"
157,Data Science Engineer,mroads,,"Collect requirements, describe data modeling decisions and data engineering strategy.Onboarding raw datasets, designing data models that restructure the data…",Remote
158,Data Engineer/ Data Analyst,UNIVERSAL Technologies,$70 - $80 an hour,"Collect requirements, describe data modeling decisions and data engineering strategy.Onboarding raw datasets, designing data models that restructure the data…","New York, NY 10007 (Tribeca area)"
159,Data Engineer,"Darwill, Inc.","$90,000 - $130,000 a year","Collect requirements, describe data modeling decisions and data engineering strategy.Onboarding raw datasets, designing data models that restructure the data…","Hybrid remote in Oakbrook Terrace, IL 60181"
160,Data Engineer,Papa Murphy's | Papa Murphys Corporate Stores,"$100,000 - $110,000 a year","Collect requirements, describe data modeling decisions and data engineering strategy.Onboarding raw datasets, designing data models that restructure the data…","Vancouver, WA 98662 (Van Mall area)"
161,Data Engineer,Itility US,"$75,000 - $150,000 a year","Collect requirements, describe data modeling decisions and data engineering strategy.Onboarding raw datasets, designing data models that restructure the data…",Remote
162,Data Engineer,The Crox Group,,"Collect requirements, describe data modeling decisions and data engineering strategy.Onboarding raw datasets, designing data models that restructure the data…",Remote
