,title,company,salary,description,location
45,Data Analyst,Genspark,"$70,000 - $80,000 a year","Location: *Remote *for now ( relocation after 6/8 months Alpharetta, Georgia).During your first 6-8 weeks with GenSpark, we provide paid training in technical…",+1 locationRemote
46,"Deutsche Bank Analyst Program - Technology, Data and Innovat...",Deutsche Bank,,Depending on your rotation you will gain expertise in:designing & delivering engineering solutions for our businesses and customersproviding production…,"New York, NY+1 location"
47,Business Analyst,Kinetix,,At the drive through you break down why some restaurants get you a Royale with Cheese in 10 minutes and then promptly share your results with the manager of…,Remote
48,Junior Data Analyst,ALTA IT Services,$43 an hour,Analyzes data and develops observations and findings based on analysis.The Junior Data Analyst will help to shape and execute reporting strategy for data…,"Remote in Washington, DC 20003"
49,Entry level Business Analyst,Atlantictranstrading,"$70,000 - $80,000 a year","AtlanticTransTrading seeking for Business Analyst (BA) ,who works closely with the business and technical teams in analyzing and document the business needs.",Remote
50,Data Analyst,9thWonder,,Work with large data sets via automated and hands-on data processing to produce structured data sets for analysis.9thWonder is looking for a Data Analyst.,"Remote in Detroit, MI 48226+4 locations"
51,Data Analyst,FULLER THEOLOGICAL,,Collaborate with other ITS staff on data warehousing and data integrity.Investigative data analysis - Must be proactive in assessing future data needs/must be…,"Remote in Pasadena, CA 91182"
52,Junior Business Analyst,Digipath Infotech,"$85,000 - $95,000 a year","Ability to capture requirements with efficiency, accuracy and attention to detail on a consistent basis.We are looking for a Business Analyst who will be the…",Remote
53,Data Analyst,"EDO, Inc",,Patience and meticulousness necessary for precise data analysis and data exploration.Experience collaborating with both business and engineering stakeholders…,"Remote in Los Angeles, CA"
54,Data Analyst,CPL Recruitment,,"Excellent eye for detail, with a curiosity mindset and attitude for data discovery.Various analytical, reporting, data-consolidating tasks.",Remote
55,Data Analyst 1,Optum,"$54,400 - $97,000 a year","Bachelor’s Degree OR 2+ years of equivalent data analysis experience.Analyze and interpret data to identify trends, patterns and opportunities for the business…","Remote in Eden Prairie, MN 55344+12 locations"
56,Data Analyst,Sessions,,"Mentor junior analysts, raising the quality and efficiency of data products across the team and company.Improve business operations, advocating for a data…","Remote in San Francisco, CA"
57,Digital Content Data Analyst (Remote),Home Depot / THD,"$130,000 a year","Experience in E-commerce, data management, process analysis and improvement.The Digital Content Data Analyst serves as the primary product data category lead…","Remote in Atlanta, GA 30301"
58,Data Analyst,Pine Park Health,,Ability to develop detailed data request specifications based on existing company data model for de-identified patient data pulls as inputs into analytics…,"Remote in San Francisco, CA"
59,Data Analyst,DEVX,"$47,380 - $110,102 a year",Quickly learn how to read data sets with financial data.PowerBI expert – know how to take data sets and build different dashboards.,Remote
60,Business Analyst,"Info Origin, Inc.",Up to $75 an hour,Minimum of 5 years being the liaison between technical teams and the project stakeholders.Minimum of 5 years developing and/or managing user stories on Agile…,"Lansing, MI+15 locations"
61,Data Analyst,Disney Streaming,,"Familiarity with data exploration and data visualization tools like Tableau, Looker, Chartio, etc.This expertise will manifest in the design and implementation…","New York, NY+2 locations"
62,Data Analyst I,Management Science Associates Inc.,,"This will include data loading, cleansing, master data management and extraction as well as building data warehouses and reporting.",Remote
63,Sr. Data Analyst (Remote),CrowdStrike,"$120,000 - $190,000 a year","Expertise manipulating large data sets, interpreting data trends and using a multitude of disparate data sources and tools.",Remote
64,Data Analyst,Fincons Group,,Several years of experience as a data analyst.Experience as analyst of metric and KPI data based on around basic statistics.,Remote
65,Junior Data Analyst,ALTA IT Services,$43 an hour,Analyzes data and develops observations and findings based on analysis.The Junior Data Analyst will help to shape and execute reporting strategy for data…,"Remote in Washington, DC 20003"
66,Senior Data & Research Analyst,Dialexa,,Experience with visualizing data and deriving actionable insights from data.Utilizing quantitative methods to create data-driven personas.,"Remote in Chicago, IL"
67,2023 Entry Level - Data Analyst,Textron Aviation,,Performs data analysis via various data-mining and statistical techniques to gain insights from data to support business objectives.12-paid holidays a year.,"Wichita, KS+1 location"
68,Data Analyst,Think of Us,"$65,000 - $75,000 a year",Query data warehouse to harvest data to help answer data requests and internal research questions.Lead the data cleanup and validation process for VSS data…,Remote
69,Data Analyst,TMF Health Quality Institute,,"Develops programs and scripts for data transformation, integration, reduction, and data visualization across multiple data sets.",Remote
70,Business Analyst,Creative Consulting Company,$80 an hour,"Process, system, and data flow diagrams.7+ years’ experience testing custom or off-the-shelf applications, reports, large data sets, or dashboards.",Remote
71,Data Analyst,SWI,From $65 an hour,"5-7 years of experience required.*.Design, implement, automate and maintain large scale enterprise data ETL processes.","Bellevue, WA 98004 (Downtown area)"
72,Data Analyst,Limbix,,Experience with social science data.Partner with Engineering to continually improve the quality of our data and analytics and data infrastructure.,Remote
73,Data Management and Reporting Analyst,Capella Space,"$100,000 - $150,000 a year",Attention to detail in defining and producing informative data driven reporting artifacts.Accessing and querying data through APIs.,"Remote in Boulder, CO"
74,SENIOR DATA ANALYST,UniGroup,,"Implements data quality tests and continuously review, optimize, and refactor data models in order to expand our data environments with ready to analyze data.",+1 locationRemote
75,Data Analyst,Scripps Health,,"May be involved in exploratory data analysis, confirmatory data analysis and/or qualitative analysis.Gathering operational data to examine past business…","San Diego, CA 92127"
76,Data Analyst,Ingress IT Solutions,$35 - $45 an hour,Compile and analyze data related to business' issues.Develop clear visualizations to convey complicated data in a straightforward fashion.,Remote
77,Sr Data Analyst - Remote,UnitedHealthcare,"$82,100 - $146,900 a year","This function is not intended for employees performing the following work: production of standard or self-service operational reporting, casual inference led …","Remote in Minnetonka, MN 55345+13 locations"
78,Data Analyst,Flair IT Solutions,,Minimum of 5 years experience in data analysis.We are currently looking for an experienced Data Analyst with following preferred and required skills for a full…,"Novi, MI 48375"
79,Healthcare Data Analyst / HYBRID REMOTE,My Headhunter LLC,"$75,000 - $90,000 a year","Bachelor's Degree in highly quantitative field (e.g. Statistics, Mathematics, Actuarial Science, Economics, Engineering/Physics, Accounting, or Computer Science…","Hybrid remote in Portland, OR"
80,Junior Data Analyst,ALTA IT Services,$43 an hour,Analyzes data and develops observations and findings based on analysis.The Junior Data Analyst will help to shape and execute reporting strategy for data…,"Remote in Washington, DC 20003"
81,Data Analyst,Interon IT Solutions LLC,$50 - $55 an hour,"At least five (5) years of experience in writing data conversion logic in Java, scripting languages such as *SQL, Python, Linux Shell Script, Perl, Windows…",Remote
82,Data Analyst,"Techmorgonite Software Solutions, LLC.","$77,434 - $110,129 a year",Proven working experience as a data analyst or business data analyst.Acquire data from primary or secondary data sources and maintain databases/data systems.,Remote
83,Clinical Data Analyst,Health Gorilla,,Establish data quality standards for incoming clinical data from multiple sources.Evaluate data quality and data performance metrics of our processing…,"Remote in Miami, FL"
84,Data Analyst,BBC Research & Consulting,"$50,000 - $75,000 a year","Benefits: Health insurance (with dental and vision), life insurance, retirement plan with 3 percent employer match, accrued flex time.",Remote
85,Data Analyst,Vaco,,Create and maintain rich interactive visualizations through data interpretation and analysis integrating various reporting components from multiple data sources…,"Remote in New York, NY+5 locations"
86,Broadband Data & GIS Analyst,Kansas Department of Commerce,"$85,000 - $105,000 a year","Experience collecting and processing geospatial data, and using the data for map making.Apply GIS principles to support the mission of universal broadband…",Remote
87,Investment Analyst,Acara Solutions,"$75,000 - $85,000 a year",Maintain all relevant data using the Company's data management software.Minimum 1 year of work experience as a financial/investment/data analyst.,Remote
88,Data Analyst,Sundance Chevrolet,"Up to $40,000 a year",Works with data sources to pull new and existing pricing data.Able to analyze data to make determinations based on multiple factors.,"Grand Ledge, MI 48837"
89,Data Analyst,Yay Lunch,"$40,000 - $70,000 a year","1-3 years of data analysis experience in a data warehouse or data lake environment.As a business/data analyst, you will work with various stakeholders to use…",Remote
90,Data Analyst,"Envorso, LLC",,"Documentation of data practices and governance protocols.Data analyst that builds, maintains and provides production reports.Ford & Lincoln X-Plan Pricing.",Remote
91,Data Analyst - Tiktok Ads,TikTok,,Expert experience pulling large and complex data using SQL and writing data pipelines.Experience with a data visualization tool (e.g. Tableau);,"Seattle, WA+36 locations"
92,Data Analyst,Scott Credit Union,,"They act as a consultant between technology and the business units to help derive timely, accurate, actionable insights from raw data and established data…","Remote in Edwardsville, IL 62025"
93,Data Analyst,Jetty,,"Help design and manage processes that enable the Go-To-Market organization to be more successful.Manage ad-hoc tasks like dataloads, reporting, and analysis,…","Remote in New York, NY"
94,Data Analyst,Poloniex,,"Collect/manage diverse data to generate curated data sets for ease of interpretation and reporting.Perform complex data analysis of customer data, provide…","Remote in Boston, MA"
95,Junior Data Analyst,ALTA IT Services,$43 an hour,Analyzes data and develops observations and findings based on analysis.The Junior Data Analyst will help to shape and execute reporting strategy for data…,"Remote in Washington, DC 20003"
96,Pharmaceutical Commercial Data Analyst,HopeRun Technology Corporation,From $45 an hour,"Analyze different pharmaceutical/life sciences data sets like claims data, electronic medical records, anonymous patient-level data, prescription data & sales…",Remote
97,Data Analyst,Wolfe,"$65,000 - $75,000 a year","Manipulate and analyze complex, high-volume, high-dimensional data from various sources using different tools and data analysis techniques.",Remote
98,Data Analyst,Kalibri Labs,,"1 to 3 years of relevant professional experience in data research, data collection, hospitality data, business intelligence, data analytics, or data…",Remote
99,Data Visualization Analyst,Farm Journal,,Organize and clean unstructured data to present through Tableau and alter data models and package structure as business requirement change.,Remote
100,Data Analytics Associate,National Association of Corporate Directors,"$70,000 - $90,000 a year",SQL and data analytics: 3 years (Required).The Analytics Associate will need to develop a strong understanding of NACD’s data structure and data sources.,Remote
101,Data Operations Analyst,Revint Solutions,,"Full client implementations – acquiring data, importing data, validating data, and getting the system ready for go live.",+1 locationRemote
102,"Analyst, Data and Insights, Storytelling/Publishing",The New York Times,,Democratize data through skillful data structuring and the use of visualization tools.Write SQL to pipeline and analyze big data.Experience with A/B testing.,"New York, NY"
103,Data Analyst Consultant,MI-GSO | PCUBED,,"You should have a least a Bachelor’s Degree, 3-5 years of Data Analysis/Data Science experience working in a Project environment, and you want to develop…","Southfield, MI+2 locations"
104,Business Analyst,Triunity software Inc.,$30 - $55 an hour,Performs business analysis tasks such as problem solving and new requirements definition tasks per area of focus within Business Analysis as assigned by Manager…,Remote
105,Data Visualization Analyst (Level 2 or 3),Northrop Grumman,"$82,400 - $123,600 a year",Bachelor's degree plus 5 years of related experience or Masters degree plus 3 years of related experience or Associates degree plus 7 years of related…,Remote in Virginia+2 locations
106,Hydration Data Analyst,General Motors,"$110,000 a year","Translate customer interactions into business flows, data and metadata requirements.3+ years of experience creating customer journeys, influencing decisions by…",Remote in United States+1 location
107,Precision Health Data Analyst,University of Michigan,,"A Master’s degree in health-related science or Information Science, Public Health or similar fields with computer/computational/data science specialization and…","Ann Arbor, MI 48109+1 location"
108,Global People Data Analyst (Remote),Nielsen,,"5 years of HR systems experience, SAP preferred.Work with People teams to ensure the establishment of global data definitions, uses, and standards.",Remote in United States
109,Systems & Data Analyst - 3 (Virtual),BOEING,"$64,890 - $120,510 a year","Knowledge of OEM systems & data compatibility preferred.3 years or more experience in government-issued navigation data documents (AIP, AIP AMDT/SUP, AICs, FAA…","Remote in Englewood, CO+1 location"
110,Junior Data Analyst,ALTA IT Services,$43 an hour,Analyzes data and develops observations and findings based on analysis.The Junior Data Analyst will help to shape and execute reporting strategy for data…,"Remote in Washington, DC 20003"
111,Data Analyst,"Northern Embedded Solutions, LLC",$35.87 - $51.54 an hour,Experience developing data parsers for table and relational data sets.The analyst will work with operations and other engineering personnel to identify what…,"Remote in Fairbanks, AK"
112,Entry Level Business Analyst,BACloudSystems,"$60,000 - $85,000 a year",Involve in conducting requirements gathering sessions with the stakeholders Business Technical to create the high-level requirements document BRD.,Remote
113,Data Analyst,"Seventh Sense Consulting, LLC","$105,000 - $115,000 a year","Knowledge of master data management and data governance.Familiarity with data quality and data governance concepts.CDP Certification (desired, not required).",+3 locationsRemote
114,Data Analyst,Double,,"Lead a project to unify our data model across teams, and benchmark possible data tools to create more insightful reporting, more easily.",Remote
115,Data Analyst,HashiCorp,,"3+ years with relevant data analyst, business analyst, and/or data warehousing experience.Manage and build infrastructure required for optimal ETL of data from…","Remote in San Francisco, CA"
116,CRM Data Analyst,Smartwyre,"$75,000 - $90,000 a year","The CRM data analyst will perform various functions, including maintaining analyzing customer data to provide support for sales and marketing efforts.",Remote
117,Data Analyst,Fidelity Investments,,"5-8 -years of UX, strategy, data analytics and/or related experience is preferred.Experience with both qualitative and quantitative research, including a deep…","Temporarily Remote in Boston, MA 02210+6 locations"
118,Sports Content Data Analyst,Disney Streaming,,"Understanding of data warehousing concepts, design, modeling and data engineering.Support business units, data teams and product/program management with…","New York, NY"
119,Business Intelligence Data Analyst,"Morgan 6, LLC",,"Experience with data warehouse, data lake, and enterprise big data platforms in multi-data-center contexts required.VBA Pension and Fiduciary Service (P&FS).",Remote
120,Part Time Data Analyst,Pathway Healthcare LLC,,"Proficiency in SQL with experience in report design and data dashboard development.Experience working with medical, lab, and other health data preferred.",United States
121,Data Analyst,Poloniex,,"Collect/manage diverse data to generate curated data sets for ease of interpretation and reporting.Perform complex data analysis of customer data, provide…","Remote in Boston, MA"
122,Research Data Analyst 1,Stanford University,,"Analyze data processes in documentation.Use system reports and analyses to identify potentially problematic data, make corrections, and determine root cause…","Stanford, CA+4 locations"
123,"Data Visualization Analyst, CXS Insights Analytics",Aristocrat Technologies Inc,,"Manipulate data, flat files, and raw information into cohesive data sets for visualization.Model data to ensure proper communication between data tables to…","Remote in Las Vegas, NV 89135"
124,Business Analyst,Walt Disney World Resort,,Design visual representations of data.Pre-analytic data integrity checks and cleanup.Proven ability to analyze and investigate customer requests for data /…,"Kissimmee, FL 34747"
125,"Data Analyst, Corporate Strategy, Planning & Analysis",Netflix,,"Performing data analysis and developing insightful dashboards, memos & presentations that summarize the data.We derive a significant competitive advantage from…","Los Gatos, CA+1 location"
126,Data Analyst,Etha One,"$100,000 - $135,000 a year",Validating quality of data and analysis.Identifying analytical approaches and appropriate data to investigate.Presenting findings with action items.,Remote
127,Data Analyst,Scripps Health,,"May be involved in exploratory data analysis, confirmatory data analysis and/or qualitative analysis.Gathering operational data to examine past business…","San Diego, CA 92127"
128,"Analyst, People (HR) Analytics",Saks Fifth Avenue,,"Design, develop and deliver customized and interactive dashboards, utilizing our existing People (HR) data and combining with other data sources, including data…","Remote in New York, NY"
129,Junior Health Data Analyst,Logistics Management Institute,,Support will include both data analysis and process improvement.Training on CMS programs and data will be provided.Open to fully remote applicants*.,"Remote in Tysons, VA"
130,"Business Analyst, Tools and Reporting",TikTok,,1+ years of experience in data science or analytics role.Proficiency in SQL - able to write structured queries on large data sets.,"Hybrid remote in Los Angeles, CA+5 locations"
131,Biostatistician & Data Analyst,Hospital for Special Surgery,,"Intermediate proficiency in data preparation, machine learning and/or data science, descriptive analyses, comparative statistics, and advanced statistical…","New York, NY 10021 (Upper East Side area)"
132,Marketing Data Analyst,Cohesity,"From $90,000 a year",Proactively monitoring & auditing data sources for new or missing data.Proactively seeking data from a wide variety of external sources to enhance in-house…,"Remote in San Jose, CA 95110"
133,Data Analyst,Flair IT Solutions,,Minimum of 5 years experience in data analysis.We are currently looking for an experienced Data Analyst with following preferred and required skills for a full…,"Novi, MI 48375"
134,Business Analyst 5-Ops,Oracle,,"Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…",United States+2 locations
135,Data Analyst,Cresen Solutions,"$66,206 - $72,474 a year","Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…",Remote
136,Data Analyst,Vaco,,"Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…","Remote in New York, NY+5 locations"
137,Data Analyst - Full Remote,System Pavers,,"Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…","Remote in Santa Ana, CA 92705"
138,Digital Delivery - Data Analyst - New York,Efficio Consulting,,"Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…","New York, NY"
139,Data Analyst,Etha One,"$100,000 - $135,000 a year","Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…",Remote
140,Business Analyst,KP Partners LLC,From $60 an hour,"Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…",Remote
141,Data Analyst,BBC Research & Consulting,"$50,000 - $75,000 a year","Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…",Remote
142,Analyst - Forest Carbon GIS,Anew Climate,"$75,000 - $85,000 a year","Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…",+1 locationRemote
143,Business Analyst,Creative Consulting Company,$80 an hour,"Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…",Remote
144,Data Integrity Analyst,Carhartt,,"Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…","Hybrid remote in Dearborn, MI"
145,Data Analyst (Open Rank),New Meridian Corporation,,"Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…","Remote in Austin, TX 78759"
146,"ANALYST, IGAMING",DraftKings,,"Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…","Remote in Houston, TX"
147,Data/Application Analyst,Incom technologies Inc,$50 - $65 an hour,"Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…",Remote
148,Pharmaceutical Commercial Data Analyst,HopeRun Technology Corporation,From $45 an hour,"Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…",Remote
149,Data Analyst - Ad Tech - Remote,Motive Interactive,,"Ability to collect, organize, and display data in spreadsheet format.Follow-through skills necessary to get information from internal and third parties and…","Remote in San Diego, CA 92121"
150,Data Analyst,Vaco,,Create and maintain rich interactive visualizations through data interpretation and analysis integrating various reporting components from multiple data sources…,"Remote in New York, NY+5 locations"
151,"Data Analyst, HealthySteps","ZERO TO THREE National Center for Infants,...",,Conceptualize and program a data dashboard that summarizes key data from sites’ annual data submissions.Support ad hoc requests for specific data analyses.,+1 locationRemote
152,Business Intelligence Analyst,Peloton,,Working with our engineering and product teams to understand our continually evolving data sources.Extensive knowledge of manipulating large data sets using BI…,"Remote in New York, NY 10011"
153,Data Integrity Analyst,Carhartt,,Design random and scheduled master data audits of various data domains in support of data governance.Participate in data governance and other projects related…,"Hybrid remote in Dearborn, MI"
154,CVO Data Analyst,UnityPoint Health,,"Two years’ experience working as a data analyst..Experience with database design (3-5 years), administration, maintenance, documentation, support and…","Remote in West Des Moines, IA 50266+1 location"
155,Data Analyst,Blue Cross Blue Shield of Massachusetts,,"Creating data mapping documents to support the building of data pipelines, dashboards, and/or data warehouse tables.","Remote in Boston, MA 02199+2 locations"
156,Data Analyst (Open Rank),New Meridian Corporation,,Responds to requests for data and data interpretation.Responsible for identifying the resolution of data-related problems and evaluates data for reasonableness…,"Remote in Austin, TX 78759"
157,Clinical Data Analyst,Bainbridge Health,,"Experience creating and using data dashboards.As a clinical data analyst you will be responsible for providing actionable, clinical insights that improve…","Remote in Philadelphia, PA"
158,Staff Data Analyst - Product Analytics,Okta,"$117,000 a year","Experience with data management, documenting process and data flows, and ensuring data quality.Provide input to Data Engineering on requirements and…","Remote in San Francisco, CA"
159,"Deutsche Bank Analyst Program - Technology, Data and Innovat...",Deutsche Bank,,Depending on your rotation you will gain expertise in:designing & delivering engineering solutions for our businesses and customersproviding production…,"New York, NY+1 location"
160,"Business Analyst, Tools and Reporting",TikTok,,1+ years of experience in data science or analytics role.Proficiency in SQL - able to write structured queries on large data sets.,"Hybrid remote in Los Angeles, CA+5 locations"
161,Business Analyst,KP Partners LLC,From $60 an hour,1-3 years of prior experience as a business analyst (management consulting or small business setting preferred).Must be able to work with minimal supervision.,Remote
