,title,company,salary,description,location
57,Quantitative Researcher,Orsus Research,"$150,000 - $300,000 a year",Orsus Research is a Quantitative Investment Firm that selects securities based on quantitative analysis.Orsus Research is seeking extraordinary Quantitative…,"Temporarily Remote in New York, NY 10022"
58,"Biomechanics Analyst, Baseball Research & Development",Cleveland Guardians - Baseball Operations,,"The ideal candidate will possess a foundation in statistics and/or data science, experience working with biomechanics data, and a thorough understanding of…","Remote in Cleveland, OH"
59,"Senior Data Analyst, Games & Live Ops",PlayStation Global,,Demonstrated analytical skills working with large sets of complex data.This position will develop and manage towards a data analytics vision for PlayStation…,"Remote in San Mateo, CA"
60,"Biomechanics Analyst, Baseball Research & Development",Cleveland Guardians - Baseball Operations,,"The ideal candidate will possess a foundation in statistics and/or data science, experience working with biomechanics data, and a thorough understanding of…","Remote in Cleveland, OH"
61,Data Scientist,Crum & Forster,,"Bachelor’s degree in associated field of study; data science, computer science, mathematics, economics, statistics, etc.What you will bring to C&F:","Remote in Eatontown, NJ"
62,Data Scientist(Data Bricks experience)-Hybrid,IPS Technology Services,$35 - $46 an hour,"The data science senior analyst must have experience interviewing users for requirements and interpreting user requirements, analyze data to support the…","Detroit, MI"
63,Statistician,Ann Arbor Pharmacometrics Group,"$80,000 - $120,000 a year",The Ann Arbor Pharmacometrics Group is a functional service provider specializing in model-based drug development consulting for the pharmaceutical industry.,"Ann Arbor, MI 48108"
64,Data Scientist,Tegria,,"As a data science expert on the team, you are expected to have general knowledge across analytics, maintain deep expertise in data science, and be comfortable…",Remote
65,Data Scientist,The Voleon Group,"$15,000 a month","Design and implement systems to ensure data correctness and monitor data health in data stores and live feeds.""Friends of Voleon"" Candidate Referral Program.","Berkeley, CA 94704"
66,Data Scientist,Toyota,,"Participate in meetings and engage with data scientists, and other team members to provide feedback and continuously improve data science standards, practices,…","Hybrid remote in Plano, TX 75023"
67,"Senior Scientist, Data Science",Invicro,,Provide influence on department strategy around data science and machine learning.Specific projects will include work in whole body PET/CT image processing…,"Needham, MA 02492"
68,Engineering & Data Science Co-Op – Spring 2023,Johnson & Johnson,,"Write software to enable collaborative data analysis and ensure data quality.Perform data analysis on structured and unstructured surgical data sets,…","Cincinnati, OH 45242"
69,Data Scientist,Workers Credit Union,"From $150,000 a year","Predictive modeling, data science and analysis: 4 years (Required).You should have at least 4 years of experience in predictive modeling, data science and…",Remote
70,Data Engineer,Detroit Red Wings,"$72,750 - $151,798 a year",Experience building data warehouses for data science and analytics.Lead the data team and data infrastructure initiatives within Hockey Operations.,"Detroit, MI 48201 (Midtown area)"
71,Data Scientist - Advanced Analytics,General Motors,"$140,000 a year",Undertake preprocessing of structured and unstructured data.Present complex information using data visualization techniques.Scripting Languages: Python or R.,Remote in United States
72,Data Scientist,Viasat,"$155,650 a year","As a member of our Media and Applications data science team, you'll work on the improving the customer experience on our mobile products through data.","Remote in Carlsbad, CA"
73,Data Scientist,Yum! Brands,,Background and/or keen interest in data analytics or science.This individual will build a variety of data insights and optimizations from our vast repositories…,Remote
74,Data Scientist,Conduent,"$82,000 - $86,715 a year","Knowledge of data warehouse, data lake and BI Solutions.Rotational assignments, learning and contributing to all aspects of the data science process including:",Remote
75,Data Analyst (Remote),pulseData,"$60,000 - $80,000 a year",You'll be cleaning and scrubbing medical record data and claims data to ensure it can be used in our data pipelines.Bonus points for any experience in Spark.,"Remote in New York, NY"
76,Pricing Data Science Analyst,Ally Financial,,"Entry level no experience required, however relevant internship experience in advanced analytics/data science preferred.","Detroit, MI (Downtown area)"
77,Data Scientist Co-Op,Asics Digital,,Use SQL queries to pull and analyze data to reveal insights to help power marketing efforts.Focus on understanding the relationships within the data that drive…,"Boston, MA"
78,Data Scientist,Aptos,,"Identify data, metrics and analyses needs for key stakeholders; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…","Remote in Palo Alto, CA"
79,"Assistant/Associate Engineer, 2023 Engineering Development P...",Johnson & Johnson,,"After completing this 3-year program, participants will continue in challenging data science and engineering roles, delivering tomorrow’s surgical innovations.","Cincinnati, OH 45242"
80,Data Scientists,Ars Quanta,,"After completing this 3-year program, participants will continue in challenging data science and engineering roles, delivering tomorrow’s surgical innovations.","Seattle, WA"
81,Customer Data Scientist,Phillips Connect,"From $75,000 a year",Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,Remote
82,Junior Data Analyst - DAL22-033349999999,"Evergreen Technologies, LLC.",,"Experience with data wrangling, data cleaning and prep, dimensionality reduction.Bachelor's degree in mathematics, statistics, analytics, data science, or…","Remote in Detroit, MI"
83,Data Scientists,T-Mobile,"$108,136 a year","Aid in data-driven decision making paired with forward-thinking business and industry trends.Gather, cleanse and analyze data, build mathematical models, and…","Remote in Bellevue, WA 98006"
84,Entry-Level Geochemist/Data Scientist,"Life Cycle Geo, LLC","$60,000 - $80,000 a year","Familiarity with the data science/machine learning process applied to geoscientific, hydrologic, or engineering problems.Fluency in Spanish is a plus.",Remote
85,Data Scientist,AGM Tech Solutions,$75 - $85 an hour,Asynchronous time series data in big data environments.O Traffic data fusion algorithms and techniques.O Programming experience with Big Data preparation…,Remote
86,Data Scientist | US,Photon,,"Tech: Must have AWS stack, Sagemaker and python data science experience.",United States
87,Part-Time Student-Data Analytics-Remote,John Deere,,Work with internal stakeholders to define data requirements.Experience structuring data to support analysis and applications.R and/or python experience.,"Remote in Moline, IL 61265"
88,Data Scientist I,OpenX,,"Prior experience in a data science or machine learning engineer role.Depending on the jurisdiction in which you live, you may have the right to ask OpenX to…",Remote
89,Data Scientist,United Nations,,"Promotes use of data science solutions by showcasing the products to business stakeholders; Plan the dissemination of data products to key stakeholders, raise…","New York, NY"
90,Data Scientist,Cognizioni IT Solutions LLC,"$77,661 - $191,043 a year",4 Experience working with confidential data and ability to comply with all appropriate data protections and regulations.3 Experience with using git and Github.,"Remote in Weehawken, NJ 07086"
91,Data Scientist,FriendFinder Networks,"$105,000 - $125,000 a year","Perform data analysis to support executive decisions.Dive into complex data sets to analyze trends, identify opportunities and quantify the potential value of…",Remote
92,Data Analyst Associate - 2023,Capital One,,Use data mining techniques to identify fraud rings.Optimize bank ATM placement through advanced data exploration.,"McLean, VA"
93,Data Scientist,Swish Analytics,,"Contribute to all stages of model development, from creating proof-of-concepts and beta testing, to partnering with data engineering and product teams to deploy…","Remote in San Francisco, CA 94133"
94,Data Science Manager,Yale University,,Serve as the Medicaid Research Group expert in data science and database design with a focus on building scalable solutions to big data problems in health care.,"New Haven, CT 06510 (Hill area)"
95,Data Scientist (All Levels),Convoy,,"You will be responsible for defining core business logic in our data warehouse, developing insights to drive product decisions, and building data science models…","Seattle, WA 98101 (Downtown area)"
96,Associate Data Scientist,Blue Cross Blue Shield of Massachusetts,,"Assists in providing technical guidance and training to end users of data/applications.Recognizes data-related accuracy / problems, recommends potential…","Remote in Boston, MA 02199"
97,"Bioinformatician, Junior",Booz Allen Hamilton,,"1+ years of experience with data exploration, data cleaning, data analysis, data visualization, or data mining.Experience with multi-omics data analysis.","Remote in Bethesda, MD"
98,Jr. Data Scientist,Peraton,"Up to $110,800 a year",Understanding data science applications and deriving value from data to support mission objectives.Experience with data science applications and dashboarding…,"Remote in Annapolis, MD"
99,Data Scientist,KORNFERRY,,"Work closely with data scientists and engineers, and deeply understand data.Build methods and processes to measure data quality, and spot data anomalies that…",Remote
100,Data Scientist (associate level),Doorstead,,Extending company's data with third-party sources of information when needed.Enhancing data collection procedures to include information that is relevant for…,Remote
101,Data Scientist R Developer,CCIT INC,$75 - $80 an hour,Required skills with nice to have experience in the PowerBI skills and data science pipeline build experience.,Remote
102,Senior Data Scientist,Major League Baseball,,"Experience programmatically structuring and cleaning data, and not just analyzing highly cleaned data sets.Translate business challenges into data pipelines &…","New York, NY"
103,Mathematical Statistician (Social Science),US Drug Enforcement Administration,"$106,823 - $138,868 a year","Determining the availability of relevant data, performs methodological research, and generates inferences about the drug abuse problems based on comprehensive…","Arlington, VA"
104,Engineering Metrics Data Scientist - Duo Security,Duo Security,,Use your data detective and creative problem solving skills to identify and find solutions for any gaps in the data.,"Ann Arbor, MI 48104"
105,Mathematical Statistician (Social Science),US Drug Enforcement Administration,"$106,823 - $138,868 a year","Determining the availability of relevant data, performs methodological research, and generates inferences about the drug abuse problems based on comprehensive…","Arlington, VA"
106,Staff Data Scientist,"Employment Opportunities at BuzzFeed, Inc.",,"Want to build Personalization and Recommendation Systems for high data velocity consumer scale.Partner with senior engineering, product and data leadership to…","Remote in New York, NY"
107,Data Annotator,Skit.ai,,"As data associate, you will work closely with the product and machine learning team.Your role would involve taking ownership of transcribing, tagging and…","Remote in New York, NY 10007"
108,Data Scientist,Neiman Marcus,,"This position will lead data science needs across all Neiman Marcus Group brands, divisions and selling channels.Strong coding skills in Python and SQL.","Remote in Dallas, TX"
109,Data Scientist - Internet Scale AdTech Data - REMOTE,Amobee,"From $79,400 a year","Experience with big data concepts and technologies, including Spark.Dig deep into high volumes of data, engineer features for improved forecast performance.","Remote in Baltimore, MD"
110,Data Scientist,Veeco,,"Solid mathematics and statistical data analysis capability.Develop an in-depth understanding of the existing data streams available to be leveraged, and…","Remote in San Jose, CA"
111,Data Analyst,Spokeo,,"We collect data from a wide variety of public sources and need someone with a curious mindset who is ready to dive deep to define business rules, identify…","Remote in Pasadena, CA 91101"
112,"Data Scientist, Quant Modeling",TikTok,,"As a member of the data science team, you will work with diverse and highly collaborative teams of product managers, engineers, and other data analysts to drive…","Mountain View, CA 94041 (Old Mountain View area)"
113,Model-e Data Scientist,Ford Motor Company,,"This includes domain expertise of data sets in the environment, third-party data evaluations, data quality.Expertise in open-source data science technologies…",Michigan
114,Data Scientist - US Remote,Experian,,"Strong knowledge of statistical analysis software / data analysis experience including data manipulation, including experience in Python and Spark.","Remote in Costa Mesa, CA 92626"
115,Data Scientist,Mercy,,"Have a strong knowledge of electronic medical record data, clinical data, claims data, or financial data.The candidate should demonstrate expertise with data…","Remote in Chesterfield, MO 63017"
116,"Junior Data Scientist, CRM",Hot Topic Inc.,,"Using large data sets, the analyst will create customer profiling and segmentation to drive business decision making.","Remote in Industry, CA"
117,Data Scientist,Newfish Inc,,Demonstrated success achieving deadlines while conducting high-impact data science utilized for decision making.,"New York, NY"
118,Data Scientist - Machine Learning,Gentherm,,"3-5 years’ experience working in data science, machine learning, or other data related positions.Communicate data using appropriate data visualization tools to…","Northville, MI 48167"
119,Associate Strategy Consultant,Bidscale,"Up to $115,000 a year","Small business, programing, and/or data science experience is beneficial but not required.Current procurement systems consist of unwieldy compliance…",Remote
120,Senior Data Scientist (Remote),Yelp,"$88,000 - $220,000 a year","Prior experience structuring and leading impactful data science projects independently.Communicate key insights from analyses, experiments and data products to…",Remote
121,Data Scientist,Santex Group,,"We are seeking out talented and driven Data Scientist to join Santex.At Santex we respect our collaborators, we value our clients, we engage with our community…",United States
122,Data Mentor (Part-time),Pathrise,$30 - $60 an hour,Helping fellows optimize everything from their resumes to data science projects.3+ years of experience in the technology industry or in a related field as a…,Remote
123,Data Scientist,Altana AI,"$140,000 - $220,000 a year","You have 3-10 years of real-world professional experience writing data science or machine learning software.To solve climate change, wealth inequality, supply…","Remote in Brooklyn, NY"
124,Data Scientist,National Security Agency,"$74,682 - $176,300 a year","Candidates for the NSA's Data Scientist roles are asked to complete a data science examination evaluating their knowledge of statistics, mathematics, and…","Fort Meade, MD"
125,Staff Data Scientist - Remote,"2ReoSons Management, LLC","$144,000 - $185,000 a year",Responsible for Mining and Analyzing data pertaining to customer’s business experience.Do you have experience working with insurance data or building insurance…,Remote
126,Data Scientist,Telesign,,Ability to research and present to the team on latest technological and data science topics.Experience manipulating data in Spark.,"Remote in Marina del Rey, CA"
127,"Teaching Assistant, Data Science",Kaplan,,We provide outstanding data science training programs to help individuals accelerate and pivot their careers in data science.Authorized to work in the US.,Remote
128,Data Scientist,Vanguard,,"Experience with data wrangling required - Programming skills to access, transform and prepare large scale data for statistical modeling.Let’s make it count.","Malvern, PA"
129,Data Scientist (Remote),Verikai,,"Constantly look for useful attributes to expand our core data assets from various data sources, like US census bureau, and validate the usefulness of the new…","Remote in San Francisco, CA"
130,Senior Data Scientist,RADcube,$50 - $100 an hour,"Command of data science principles (regression, Bayes, time series, clustering, P/R, AUROC).The ideal candidate for this position will possess ability to…",Remote
131,Data Scientist - Care Management Analytics,CVS Health,"$60,000 - $128,700 a year","Explore, understand, and interpret sophisticated data environments, applying tools such as machine learning and natural language processing to analyze petabytes…",Remote in Illinois
132,Data Scientist,Mystery,,"Design, implement and interpret innovative data science experiments to empower data-driven decisions and products at scale.","Seattle, WA"
133,Data Scientist (Remote),Kraft Heinz Company,,Evangelize the value of data-driven decision-making.That ambition requires us to create a modern cloud and data ecosystem - a one of its kind that becomes the…,Remote in Illinois
134,Data Scientist,Stitch Fix,,"Have applied data science experience, e.g. not just fitting a model but being held accountable for creating business value.We just might be the perfect fit.",Remote
135,Data Scientist (REMOTE),DICK'S Sporting Goods,,Compile data from disparate data sources leveraging both qualitative and quantitative data to build models.The core data science team at Dick’s Sporting Goods…,"Remote in Coraopolis, PA 15108"
136,Researcher (Research Data Scientist),Center for Social Media & Politics,"$100,000 - $120,000 a year","Required education: Degree in computer science, data science, or the social sciences OR equivalent experience.Examples of projects could include:","New York, NY 10012 (NoHo area)"
137,Engagement Manager - REMOTE,E Source,"$123,200 - $145,600 a year","Experience with data science, data analytics, or another technical field.In this role, you’ll be involved in managing data science engagements, building client…",Hybrid remote
138,NLP Data Scientist,Verusen,,"Assistance in the development of new NLP pipelines including data collection (including working with annotators), data extraction, data cleaning, exploratory…","Remote in Atlanta, GA"
139,Data Analyst,Array,,"3+ years of experience in business analytics or data science preferred.Assist with data quality, data cleansing, and metric reporting needs.","Remote in New York, NY"
140,Data Scientist .,Cilable,$45 - $50 an hour,".The Data Scientist will collaborate with stakeholders, subject matter experts, and data stewards to ensure data projects are accurate and fulfill business…","Remote in Richmond, VA"
141,Mathematical Scientist,Pit.AI Technologies Inc.,"$150,000 a year","Core to our research philosophy is the need to place as little assumptions on how the world behaves as possible, but rather let the data speak for itself, and…","San Jose, CA 95131 (North Valley area)"
142,Data Scientist,Intuitive Cloud,$80 - $100 an hour,Data analytic and transform raw data.Be able to Curate the market data and use it like python library.Financial sql snowflake dbt at the transform layer.,Remote
143,Data Science/Analytics - New Graduate,ManTech International Corporation,,"A passion for data/science analytics.Prior professional work experience related to data science/analytics.Secure our Nation, Ignite your Future.",Remote
144,Data Scientist,Swish Analytics,,"Work with a team of data professionals to execute on the following:Swish Analytics is a sports analytics, betting and fantasy startup building the next…","Remote in San Francisco, CA 94133"
145,Data Science Analyst,Avis Budget Group,"$60,000 - $90,000 a year",Identifying new or transformed data sources that could lead to better models and insights.Translating data insights into actions and recommendations that will…,"Parsippany, NJ 07054"
146,(Junior / Senior) Data Scientist - Sports Analytics,Zelus Analytics,"$75,000 - $150,000 a year","Assist with recruiting and outreach for the data science team, including building a diverse network of future candidates.","Remote in Austin, TX"
147,Data Scientist,Department of of Human Services (DHS),"$90,799 - $98,059 a year",Candidates for this position are expected to be experts in data science and predictive analytics with an understanding of how to apply data science tools to…,"Hybrid remote in Washington, DC 20002"
148,Quantitative Researcher,Arslan Capital Management,,"Work experience in a software developer position, data science or in finance is a plus but not required.Arslan Capital Management (ACM) is an asset management…","Hybrid remote in Austin, TX 78759"
149,Data Science Analyst,Optimal Inc.,,"Relevant experience in data mining, data science, advanced statistical analysis, machine learning, artificial intelligence, or related fields.","Dearborn, MI 48124"
150,"Senior Scientist, Data Science",Invicro,,Provide influence on department strategy around data science and machine learning.Specific projects will include work in whole body PET/CT image processing…,"Needham, MA 02492"
151,"Manager, Data Science (Load Modeling)",Kevala,,Experience managing data scientists and/or data engineers.Experience with cloud data providers.Experience working with electrical load data.,"Remote in San Francisco, CA 94117"
152,Statistical Programmer,"TalentBurst, Inc",$40 - $55 an hour,Must support PST hours/Full time 40 hours/week.Completely remote position can work anywhere in the US - PST hours.Part-time - 20 hours per week to start.,Remote
153,Data Scientist .,Cilable,$45 - $50 an hour,".The Data Scientist will collaborate with stakeholders, subject matter experts, and data stewards to ensure data projects are accurate and fulfill business…","Remote in Richmond, VA"
154,"Data Scientist, Educational Assessment",Carnegie Learning,"$85,000 - $95,000 a year","Preferred: Track record of academic publications in learning analytics, educational data science, and/or psychometrics.Pet and Legal services insurance.","Remote in Pittsburgh, PA 15219"
155,Data Scientist,Tubi,,Uncover insights to ensure data-driven decision making.Experience with product analytics and working with event level data.,"Remote in San Francisco, CA"
156,Staff Data Scientist,Instacart,,Good understanding of how to grow and shape data tools and datasets to improve data-driven decision making.6+ years experience working in data-driven analytics…,"Remote in San Francisco, CA"
157,Data Engineer,Elutions,,Perform statistical data analysis and statistical modelling with high quality data handling techniques.Incorporate process of continuous improvements into day…,"Tampa, FL 33602 (Downtown area)"
158,Researcher (Research Data Scientist),Center for Social Media & Politics,"$100,000 - $120,000 a year","Required education: Degree in computer science, data science, or the social sciences OR equivalent experience.","New York, NY 10012 (NoHo area)"
159,Data Scientist,The New York Times,,"Ability to communicate complex ideas in data science to relevant stakeholders.Experience with building data products, either internal or consumer-facing a plus…","New York, NY"
160,CRM Data Analyst,Smartwyre,"$75,000 - $90,000 a year","Experience in a data science, business intelligence, data analytics.The CRM data analyst will perform various functions, including maintaining analyzing…",Remote
161,Product Data Scientist,Current,,Develop data roadmaps for Product; collaborate with BI and Engineering groups to define and build new data infrastructure.401(k) plan with company matching.,"New York, NY 10011 (Chelsea area)"
162,Associate Data Scientist,Kin Insurance,,Assist with data vendor analysis and integration.Build pipelines to ingest data and create features to be used in models and analysis.,"Remote in Chicago, IL"
163,Data Scientist,New York City Council,"$75,000 - $85,000 a year",Other sources include data reporting requirements and data requested from agencies.The Data Team assists legislative staff in developing policy ideas that are…,"New York, NY 10007 (Tribeca area)"
164,Data Scientist - Analytics,Pandion,,"One must have strong experience with a variety of data mining/data analysis methods, data tools, building and implementing models, using/creating algorithms and…","Remote in San Antonio, TX"
