title,salary,company,description,location,city,state
business analyst,115871.09296740998,stream it,5+ years of experience in product development/change management/alm domain as business analyst. the ability to work with colleagues and stakeholders to gain an…,"['auburn hills', ' mi']",auburn hills, mi
data analyst _ real time communication,115871.09296740998,tiktok,"generate and effectively deliver data driven insights via storytelling to a diverse audience. skilled in data manipulation with sql, python, r or other…","['mountain view', ' ca']",mountain view, ca
transportation data analyst,115871.09296740998,energetics careers,creating data frameworks for automated data transfer. characterizing data by removing proprietary information. experience handling vehicle telematics data sets.,['remote'],remote,
data analyst,35000.0,gss,"taking part in master data quality improvement activities through analysis and remediation of data quality issues. proficient with excel, sql and tableau.","['orange', ' ca']",orange, ca
senior data analyst (remote),115000.0,ecocart,ability to develop and execute data analysis on different data models throughout the company. some experience with data science.,"['san francisco', ' ca']",san francisco, ca
data analyst,115871.09296740998,adapt technology llc.,documenting contents in a data warehouse and meta-data storage. advance level calculations on data sets: 3 years (required).,"['troy', ' mi']",troy, mi
business analyst,72800.0,ascent solutions,"must have us healthcare experience working. must have ba technical experience with api, joint application design (jads) meetings, architecture discussions and…",['remote'],remote,
senior data analyst,115871.09296740998,thentia,"having a thorough understanding of data management, visualization, and data migration tools is very helpful for success in this role.","['oklahoma city', ' ok']",oklahoma city, ok
software business analyst,90000.0,accede,3 to 5 years of experience with at least 1 year supporting or *implementing oracle cloud solutions* and/or *netsuite certification*.,['remote'],remote,
risk data analyst,115871.09296740998,emonics llc,"hands-on development in java and relational databases applying complex business rules, data transformation, aggregation and persistence of data for…","['new york', ' ny']",new york, ny
data analyst,95000.0,latentview analytics,analyze large and detailed data sets to make recommendations around follow-up tests. visa status: opt ead / h4 ead /gc ead/h1 b transfer / usc / gc*.,"['san jose', ' ca']",san jose, ca
recent graduates |business intelligence analyst | paid training,65000.0,pcs global tech,collaborating with team members for the purpose of collecting data and executing the company’s mission. developing and managing business intelligence solutions…,"['baton rouge', ' la']",baton rouge, la
data analyst - children's community practices,115871.09296740998,nationwide children's hospital,"proven track-record in data analytics, preferably in a hospital or medical practice. prepare monthly income statements and balanced scorecards from data…","['columbus', ' oh']",columbus, oh
software business analyst i,82500.0,input 1,"a minimum of 3 years’ experience in business analyst role. remote software business analyst with input 1. benefits: full benefit plan including paid time off,…",['remote'],remote,
program management office (pmo) analyst,115871.09296740998,a p ventures llc,ability to analyze data and present the analysis in a format that facilitates problem-solving and decision-making. the program management office (pmo) analyst:,['maryland'],maryland,
sales operations data analyst | us business & sales operations team,115871.09296740998,microsoft,proven working experience as a data analyst or business data analyst. (understanding of existing microsoft systems and data sources preferred).,"['bellevue', ' wa']",bellevue, wa
health data analyst (remote),115871.09296740998,v2soft pvt ltd,the analyst will be responsible for analysis and preparing claims data by looking up historical claims for procedure codes and data mining for appropriate…,"['detroit', ' mi']",detroit, mi
data analyst,52500.0,"second round, lp","critical thinking – able to derive insights and conclusions from the data and the trends within the data. verify, extract, transform, append, and standardize…","['austin', ' tx']",austin, tx
data and policy analyst iv,115871.09296740998,"acumen, llc","location: 500 airport boulevard, suite 365, burlingame, ca 94010 and various unanticipated locations throughout the us. contact: to apply, please mail resume…","['burlingame', ' ca']",burlingame, ca
business analyst/data analyst,54080.0,tresume,"includes expertise in data quality, data organization, metadata, and data profiling. promote best practices by data analyzing and reporting.","['columbus', ' oh']",columbus, oh
data entry analyst,115871.09296740998,"far government,inc.","experience with databases, ability to understand relational data, as well as interpretation of related data. commitment: full-time position (40 hours weekly).","['washington', ' dc']",washington, dc
data analyst - surface equipment,115871.09296740998,halliburton,"analyze large scale complex business data (time series data, structured/unstructured) from various data sources and draw insights.","['duncan', ' ok']",duncan, ok
data analyst,115871.09296740998,the cheesecake factory,use data mining to extract information from data sets and identify correlations and patterns. you'll also investigate both structured & unstructured data to…,"['calabasas hills', ' ca']",calabasas hills, ca
data analyst,115871.09296740998,care solace,help maintain the data offerings of the organization and ensure a smooth flow of data insights to key stakeholders. hybrid including in office and virtual work.,"['cardiff-by-the-sea', ' ca']",cardiff-by-the-sea, ca
data analyst,82440.80000000002,california bioenergy llc,prepare project‐specific ci calculators and underlying data as well as other documentation as needed. exceptional organizational skills and extraordinary…,"['costa mesa', ' ca']",costa mesa, ca
sr. finance data analyst,97500.0,it alliances inc,"4-6+ years of statistical or data analysis experience. support business initiatives through data analysis, identification of implementation barriers and user…",['remote'],remote,
data warehouse analyst,115871.09296740998,capb infotek,comfortable in a complex data environment and understanding of data structures. data warehouse - experience in requirements gathering for data warehouse.,"['madison', ' wi']",madison, wi
data analyst,115871.09296740998,national coordination center,"minimum of 3 years working experience in technical data analysis, data science, or data warehousing with proven business analysis experience.","['washington', ' dc']",washington, dc
senior data analyst,128500.0,hologram,"experience organizing a data warehouse, normalizing data, and building data marts. experience gathering & translating business data needs into data reports…","['chicago', ' il']",chicago, il
sr. data analyst,115871.09296740998,curaleaf,"minimum of five (5) years directly related experience in data product management. launch new data products to the defined user community, drive adoption of new…","['chicago', ' il']",chicago, il
business analyst with data engineering background,115871.09296740998,inspur usa inc.,"able to process and calculate data under changing and fast-pace circumstances. the ba will produce outline designs of it requirements, processes, and analyze…","['new york', ' ny']",new york, ny
data analyst - remote,115871.09296740998,zywave inc.,sme for dsp (data share partner) data questions. answer and address any related data issues. maintain data standards and structure by producing validation and…,"['milwaukee', ' wi']",milwaukee, wi
data analyst,115871.09296740998,haven technologies,"acquire data from primary or secondary data sources. identify data needs and gaps, and work with developers to devise solutions in data gathering, ingestion,…","['new york', ' ny']",new york, ny
financial analyst ii (contract position with client),79040.0,uhy llp,"analyzes data and develops conclusions. this is a long term contract with a client. this position is working a hybrid schedule. job types: full-time, contract.","['detroit', ' mi']",detroit, mi
data analyst,115871.09296740998,bi worldwide,advanced experience manipulating and exploring data. conduct modeling and data analysis using multiple techniques and approaches.,"['edina', ' mn']",edina, mn
transportation planning analyst - data-centric planning,95000.0,high street consulting group,"2 to 5 years of work experience in areas of transportation asset management or long-range transportation planning, and master’s in transportation planning,…",['remote'],remote,
data warehouse analyst,150800.0,"brandt information services, llc",ensures data warehouse metadata is collected and maintained. extensive knowledge of data warehouse and data mart concepts. power bi: 3 years (required).,"['tallahassee', ' fl']",tallahassee, fl
trade finance data analyst - remote (cst),54236.0,cvs health,maintaining various industry analysis data and data sources. 1+ years of data entry or relevant work experience. a small amount of travel may be required.,"['northbrook', ' il']",northbrook, il
"analyst, people (hr) analytics",115871.09296740998,saks fifth avenue,"design, develop and deliver customized and interactive dashboards, utilizing our existing people (hr) data and combining with other data sources, including data…","['new york', ' ny']",new york, ny
data analyst,115871.09296740998,verato inc.,"conduct exploratory data analysis on supplied datasets and evaluate data quality for completeness, accuracy and potential bias.",['virginia'],virginia,
business intelligence data analyst,80000.0,red stag fulfillment,the analyst will be responsible for delivering effective data structures that will enable data visualization solutions to support data-driven decision making.,"['knoxville', ' tn']",knoxville, tn
big data analyst,115871.09296740998,novo proso,build analytical solutions and models by manipulating large data sets and integrating diverse data sources. perform exploratory and targeted data analyses using…,"['warrensburg', ' mo']",warrensburg, mo
data analyst,115871.09296740998,cubic corporation,job summary: solves complex problems using data analysis techniques throughout the entire data life cycle. works with public and proprietary data to find new…,['remote'],remote,
sr. data analyst - remote,115871.09296740998,appcues,"be our internal champion of product data analysis; mine data for insights, help the product team with testing and validation of hypotheses about customer…",['remote'],remote,
data analyst,115871.09296740998,"logan services, inc.",create reports using data/stats to provide marketing team with solid planning for immediate/future growth initiatives.,"['dayton', ' oh']",dayton, oh
data analyst,115871.09296740998,"lakeshore learning materials, llc","as a data guru, you will drive complex data reporting and troubleshoot data integrity issues. 3 years of experience in data entry and management, statistical…","['carson', ' ca']",carson, ca
data analyst,72255.0,binary tech consulting corp,"looking for a data analyst with minimum of 6 month of experience or strong knowledge of the data analyst concepts like, data visualization , sql queries , r ,…","['naperville', ' il']",naperville, il
"sr. data analyst, fraud",115871.09296740998,instacart,"ability to write complex and performant queries in your dialect of sql to extract data from our data warehouse (hive, snowflake or presto experience a plus).","['san francisco', ' ca']",san francisco, ca
data analyst,65500.5,universal service administrative company,you have proven experience working with data warehouse in databases using sql and programming languages for data science such as r or python (or a demonstrated…,"['washington', ' dc']",washington, dc
data analyst,115871.09296740998,lockheed martin corporation,experience working with / across multiple data sources to provide data solutions based on business requirements.,"['bethesda', ' md']",bethesda, md
data analyst,115871.09296740998,"pitchbook data, inc.",1-2 years of experience in a data analyst role with a focus on building data dashboards and/or analyzing large data sets to solve problems.,"['seattle', ' wa']",seattle, wa
data analyst (open rank),115871.09296740998,new meridian corporation,responds to requests for data and data interpretation. responsible for identifying the resolution of data-related problems and evaluates data for reasonableness…,"['austin', ' tx']",austin, tx
data analyst entry level (bootcamp),65000.0,helm360,"acquire data from primary or secondary data sources and maintain databases/data systems. technical expertise regarding data models, database design development,…","['knoxville', ' tn']",knoxville, tn
business analyst,135000.0,long finch technologies,"analyze data using excel, reports, and other tools to ensure data quality and accurate calculation results. understanding of risk & controls domain is required.","['auburn hills', ' mi']",auburn hills, mi
financial data analyst - fluent in mandarin,115871.09296740998,rapid ratings,"bachelor’s degree (or equivalent) with 1-3 years of work experience. this role will gain a deeper knowledge of business industries, financial statement nuances,…","['quincy', ' ma']",quincy, ma
junior business and data analyst,115871.09296740998,utilisave,"1-3 years work experience in one or more of the following areas: rates modeling, energy policies, financial, cost analysis, auditing.","['new york', ' ny']",new york, ny
data analyst with banking domain exp.,80000.0,kani solutions inc,"should have worked in handling data, preparing reports using excel or any other data tool. should have good experience working as a data analyst with banking or…","['irving', ' tx']",irving, tx
osd financial/data analyst,85926.5,anser,"microsoft excel: 5 years (preferred). experience using the microsoft office suite, particularly data analytics within excel and developing briefing material…","['washington', ' dc']",washington, dc
associate edi analyst,67500.0,hms,"manage and coordinate source data, electronic data, and cycle processing data. experience with moving data between various platforms required.",['remote'],remote,
clinical applications analyst,115871.09296740998,north american partners in anesthesia,ability to analyze data and make recommendations. hold access to employee and organizational data in strict confidence. application support: 3 years (required).,['remote'],remote,
sr. data analyst,115871.09296740998,tombras,interpreting media marketing data and analyze its effects on kpis and roi. 401(k) participation + 3% employer match.,"['knoxville', ' tn']",knoxville, tn
"data analyst, core analytics",115871.09296740998,blizzard entertainment,"demonstrated experience with some or all of the following: data modeling, data visualization, statistics. write effective queries against big data sources that…","['irvine', ' ca']",irvine, ca
servicenow business analyst,166400.0,alldus international consulting ltd,5 - 10 years of itsm experience with progressively higher levels of responsibility. identifying areas of itsm process improvement (efficiency and effectiveness)…,"['new york', ' ny']",new york, ny
business analyst,93329.6,unity systems,creates data models and written reports. client is looking for a business analyst ii with at least three years of experience to support multiple business…,"['boston', ' ma']",boston, ma
"analyst ii, data analyst",115871.09296740998,first national bank of omaha,"this may include working to extract, manipulate, and summarize large amounts of data to provide business insight and intelligence to assigned business units.","['omaha', ' ne']",omaha, ne
jr. data analyst,59955.5,binary tech consulting corp,"3-5 years experience in data engineering. 3-5 years in software development. 3-5 years experience in test automation. troubleshoot, debug and upgrade software.","['naperville', ' il']",naperville, il
senior health care data analyst,115871.09296740998,emblemhealth,"in lieu of a bachelors’ degree and 5 years of experience as stated, we will accept a masters’ degree in one of the stated fields and 3 years of work experience…","['farmington', ' ct']",farmington, ct
data warehouse analyst,101920.0,softnice inc,(5) perform data conversion from oltp to dw using tools like ssis/data factory*. (3) creates data warehouse components using best practices methodologies*.,['remote'],remote,
data analyst,140400.0,brilliant infotech,"by understanding enterprise data, business processes, and collaborator needs. develop methodologies that allow for efficient and repetitive data extraction and…",['remote'],remote,
data analyst,115871.09296740998,paypal,expert knowledge of data modeling concepts; experience with data modeling and generating metadata to support relational & non-relational database…,"['timonium', ' md']",timonium, md
data analyst,115871.09296740998,ramaz school,"analyze, audit and modify data to assure data quality. assure data integrity through analysis and modification of data during and after migration.","['new york', ' ny']",new york, ny
senior business analyst,144560.0,novon consulting,looking for experience in the financial services industry. facilitates activities and workshops to elicit requirements. business analysis: 6 years (required).,['remote'],remote,
business analyst strictly on our w2(only us citizens),98800.0,interon it solutions llc,"suggesting processes for filling any data or analysis gaps. help to structure agenda for subject area of team focus. development of reports,brd,frd.",['remote'],remote,
lead data analyst,176800.0,divihnsoft,"this consists of building the etl pipelines for bronze, silver, and gold assets, developing data quality metrics, and creating solutions to serve the data to…","['lisle', ' il']",lisle, il
jr. business data analyst,115871.09296740998,risk strategies company,understanding the data and workflow needs of the business and how to translate the data in order to meet those needs. ability to operate in us time zones.,"['boston', ' ma']",boston, ma
data analyst - da22-03375000000,115871.09296740998,"evergreen technologies, llc.",experience in data analysis and working with large data sets. data/business analyst role on system enabled transformation projects.,"['queens', ' wv']",queens, wv
financial analyst,95000.0,delta,qualified candidates will bring experience in determining logic / rules to apply against large data sets to identify where data appears to be an outlier.,"['charlotte', ' nc']",charlotte, nc
"data analyst, antimicrobial resistance",115871.09296740998,university of washington,"bring together data, analytic engines, and data visualizations in one seamless computational process. create and document efficient, effective, and replicable…","['seattle', ' wa']",seattle, wa
market analyst,92500.0,wayspring,analyze data and create materials for both internal presentations and meetings with wayspring’s health plan partners. 0-3 years of relevant work experience.,"['nashville', ' tn']",nashville, tn
energy policy & data analyst,115871.09296740998,concurrent technologies corporation,"develop and analyze large data sets related to installation energy. design scalable and innovative solutions for strategic planning, risk assessment and…",['remote'],remote,
sales data analyst,54000.0,eastern wholesale fence llc,assist in loading data into the proper format for pricing projects. prepare reports using data from multiple sources including spreadsheets and erp systems.,"['medford', ' ny']",medford, ny
aot data analyst i - central garage,51854.4,state of vermont,"two (2) or more years of experience in data science, data analysis, engineering, geographic information systems, or other closely related field.","['berlin', ' vt']",berlin, vt
data analyst,77250.0,university of florida,"in accordance with data governance plan, set priorities and strategies for incorporating new sources of data into the data repository.",['florida'],florida,
energy data and markets analyst,60000.0,bridge energy services,bridge energy services (bes) is seeking a data analyst with educational or work experience with energy and utilities data. 1-2 years’ work experience preferred.,"['east hartford', ' ct']",east hartford, ct
hr data analyst,115871.09296740998,g5 entertainment,"form hr data collection needs, develop data collection concepts. knowledge of r and experience in using this language to work with data.",['remote'],remote,
business intelligence analyst - entry level - (paid bootcamp),65000.0,pcs global tech,collaborating with team members for the purpose of collecting data and executing the company’s mission. developing and managing business intelligence solutions…,"['richmond', ' va']",richmond, va
data analyst,115871.09296740998,arkestro,willingness to immerse yourself in a data science studio for collaborative data analysis. monitor and edit the arkestro application data model.,"['san francisco bay area', ' ca']",san francisco bay area, ca
business analyst,115871.09296740998,arthur grand technologies inc,"greetings, hope you are doing good!!! *role: business analyst - alternate investment * *location: remote * *duration: long-term contract* *job…","['mclean', ' va']",mclean, va
statistical data analyst,47500.0,state of georgia,ability to determine and map source to target data and documents data cleansing rules. experience working with large data sets.,"['atlanta', ' ga']",atlanta, ga
"analyst, product research/analyst i, data science (remote)",97800.0,liberty mutual insurance,"work with massive amounts of data (e.g., 200 million records for our liberty-brand auto product) to build sophisticated models.",['remote'],remote,
data analyst 2,114400.0,comtec info systems,generates actionable knowledge from data. data analyst: 4 years (preferred). understands the general problem space and is confident in explaining the different…,"['chandler', ' az']",chandler, az
epidemiologist/data analyst,56500.0,"hch enterprises, llc",this position will serve as a general epidemiologist/data analyst focused on an assigned subgroup (ex. school or congregate care populations) or data component …,['remote'],remote,
senior business analyst (remote),115000.0,pinkerton,"perform data discovery, analysis and modeling. demonstrated problem solving experience providing business insights and recommendations from data sets.",['remote'],remote,
seismic data analyst,115871.09296740998,california institute of technology,"experience in analysis of seismic or other geophysical data, a plus. participate in monitoring the state of health of seismic stations, including…","['pasadena', ' ca']",pasadena, ca
health data analyst,115871.09296740998,the chautauqua center,"acquires data from primary and secondary data sources (i.e. claims data, ehr). purpose: collecting, compiling, organizing, and analyzing data in accordance with…","['jamestown', ' ny']",jamestown, ny
business analyst ii- remote,153920.0,hcl america inc,"produce elements of systems design, including data migration rules, business rules, wireframes, mockups, workflows, or other detailed deliverables.","['charlottesville', ' va']",charlottesville, va
business analyst,80000.0,avionte software,"3 or more years of business analysis experience. creative thinker with vision and attention to detail. experience creating business process flows, data flows,…",['remote'],remote,
"business analyst, quality of service",75850.0,dish,"our ideal candidate will have project management experience and great attention to detail. evaluate technician dispatch data, number of dispatches, reasons,…","['englewood', ' co']",englewood, co
trauma data analyst - trauma services - full time - days - remote,115871.09296740998,promedica,generate statistical analysis on trauma data for research purposes. demonstrated experience in data base management/analyzing programs.,"['toledo', ' oh']",toledo, oh
lidar data analyst,50000.0,skytec,conducts data reporting and closely follows data management practices defined and directed by senior data team management.,"['chattanooga', ' tn']",chattanooga, tn
healthcare data modeler and analyst,115871.09296740998,"perficient, inc","collaborate with healthcare analytics business and data smes to profile, analyze, and model data, including creating logical mapping of source data into target…",['united states'],united states,
business analyst,115871.09296740998,ihc group,you will work alongside our experienced business analysts who will help mentor you in our processes. 1-3 years experience in an office/corporate environment…,"['akron', ' oh']",akron, oh
data analyst i,115871.09296740998,cms energy,"manage data set in microsoft crm and sql environment, proactively detect data gaps and ensure data accuracy. support sales team to resolve technical issues and…","['livonia', ' mi']",livonia, mi
business analyst,176800.0,telnet inc,full-time professional information technology project development experience and/or function/business process analysis with at least one (1) year of experience…,['colorado'],colorado,
data analyst,68196.0,dept of family & protectve svc,explain data and analysis in a way that is understandable to those with limited data knowledge or experience. ability to travel (up to 5%).,"['austin', ' tx']",austin, tx
"health data analyst, senior",115871.09296740998,health quality innovators,"familiarity with analyzing health data sets, public or private, such as medicare claims data, nursing minimum data sets, care compare data.",['remote'],remote,
data analyst i,67943.2,tellus solutions,"quality check of the data received. organize, track and keep records of the data received. contribute towards infrastructure development for large file…","['south san francisco', ' ca']",south san francisco, ca
healthcare business analyst,101920.0,x2logics,we are looking for a business analyst who will be for understanding stakeholder needs and business issues to be addressed in the claims processing.,['remote'],remote,
data warehouse business analyst,115871.09296740998,peraton,"bachelor's degree with 5-7 years of experience, master's degree with 3-5 years experience, phd with 0-2 years of experience.","['baltimore', ' md']",baltimore, md
obgyn data analyst,53500.0,valley presbyterian hospital,"at least two years’ experience conducting descriptive data analysis, summarizing data and creating reports. the data analyst will also trouble-shoot data system…","['van nuys', ' ca']",van nuys, ca
master data analyst (hybrid),115871.09296740998,welltower,"proven ability to manage and gather data across multiple systems and data sets. ensure quality of master data in key systems, as well as development and…","['toledo', ' oh']",toledo, oh
sr. analyst- data analytics,115871.09296740998,amex,"experience in big data required and tableau is a plus, encompassing data manipulation and data mining techniques.","['new york', ' ny']",new york, ny
business data analyst,115871.09296740998,it alliances,you will be part of a squad of data professionals with a combined skill set to successfully deliver on a broad range of data related projects and activities to…,"['new york', ' ny']",new york, ny
(jr) quantitative analyst / data scientist,115871.09296740998,truechoice solutions,"support the organization on all projects and tasks related to analytics, quantitative analyses and data science. develop client-facing analytics dashboards.","['vienna', ' ny']",vienna, ny
data analyst,52500.0,thoroughcare,"the ideal person also has an exceptional eye for detail, expertise as a data analyst, and a solid understanding of popular data analysis tools.","['pittsburgh', ' pa']",pittsburgh, pa
systems & data analyst - 3 (virtual),92700.0,boeing,"knowledge of oem systems & data compatibility preferred. 3 years or more experience in government-issued navigation data documents (aip, aip amdt/sup, aics, faa…","['englewood', ' co']",englewood, co
data specialist,115871.09296740998,relation insurance,responsible for data conversion and merger activities including ensuring quality and accuracy of data mappings. provides weekly status reports to management.,['remote'],remote,
data analyst,115871.09296740998,a p ventures llc,5+ years of data analysis experience required. structure large data sets to find useful information. collaborate with team members to collect and analyze data.,['maryland'],maryland,
ediscovery analyst,85000.0,vl infotech inc,"review and analyze data around litigation, investigations, government requests, etc. five years of relevant experience in e-discovery required.",['remote'],remote,
sr. data analyst - telecommute,114500.0,optum,"5+ years of experience with large data analytics, data management, extraction and analysis of claims, membership data from data warehouses, data lake/ snowflake…","['cypress', ' ca']",cypress, ca
data editing analyst,62500.0,aes corporation,"expertise in data editing and processing, with a keen eye for seeing and developing processes to detect bad data. familiarity with das and scada systems a plus.","['louisville', ' co']",louisville, co
data analyst,115871.09296740998,rocket mortgage,understanding of data mining or other techniques to scrub data. 2 years of experience using sql or other querying languages to create data sets and perform data…,"['detroit', ' mi']",detroit, mi
broadband data & gis analyst,95000.0,kansas department of commerce,"experience collecting and processing geospatial data, and using the data for map making. apply gis principles to support the mission of universal broadband…","['topeka', ' ks']",topeka, ks
data and research analyst,67500.0,kansas department of commerce,assist lead data analyst and rest of data team in maintaining data standards and access as well as other data team responsibilities pertaining to the agency.,"['topeka', ' ks']",topeka, ks
data analyst - media,110000.0,c&g consulting services,work within large datasets or a data lake to pull data for advanced analysis across multiple datasets and inputs.,"['teaneck', ' nj']",teaneck, nj
data analyst (cloud),115871.09296740998,castellum inc,"requires bs with 10-12 years, ms with 8-10 years or phd with 5-7 years; will consider: hs +11-14 years, ba/bs 5-10 years, or ma/ms +3-6 years.","['fort lewis', ' wa']",fort lewis, wa
clinical research data analyst-engineer,115871.09296740998,boston medical center,"help researchers understand the data available, work with them to understand their data requirements, and meet their data needs.",['remote'],remote,
remote business analyst,130000.0,integration developer network llc,"experience with crossdocks/ui data base items. bachelor’s degree in a computer, mathematics, or business-related field or relevant work experience.",['remote'],remote,
inventory deployment analyst d2c,115871.09296740998,carhartt,"assoc. planner will continuously analyze data, correlating historical and current trends provide regular communication and visibility of risks and opportunity.",['remote'],remote,
data analyst/customer support,115871.09296740998,wheresthebus llc,"ensure implementation is operational, all data is being received, and system information entered. must be able to take massive amounts of data, organize, sort,…","['acton', ' ma']",acton, ma
data analyst & case coordinator,60000.0,university of oregon,"ability to analyze, interpret and organize large amounts of data. the data analyst & case coordinator is responsible for oicrc’s data and records management,…","['eugene', ' or']",eugene, or
supply chain analyst,115871.09296740998,castellini company llc,organize existing data in a spreadsheet. transfer data from hard copy to a digital database. verify outdated data and make any necessary changes to records.,"['wilder', ' ky']",wilder, ky
healthcare data analyst,115871.09296740998,safelyyou,this analyst will also be required to generate data definitions and standards using industry guidelines. they will be responsible for understanding customer…,['remote'],remote,
data support analyst,115871.09296740998,foundation for california community colleges (fccc),&mdash; at least one year experience with k-12 and higher education data sets. &mdash; high level of comfort working with large data sets using text editors and…,['remote'],remote,
gis data analyst,57500.0,locana,performing data quality and assurance checks. performing spatial etl processes using safe software's fme to migrate utility related data.,['remote'],remote,
"senior business data analyst, solar",115871.09296740998,levi strauss & co.,provide guidance and direction to data analysts within respective domain. collaborate with data owners on non master data objects related to respective domain.,['remote'],remote,
data analyst ii,115871.09296740998,lucid software,"come up with data-driven recommendations. exposure to working with data analyzing business problems, using excel, sql, python, or other computational tools.","['salt lake city', ' ut']",salt lake city, ut
data science lead analyst (work from home) - express scripts,99500.0,cigna,"responsible for the research, extraction and analysis of data. query data warehouse(s) using variety of tools available. may research and analyze algorithms.","['hartford', ' ct']",hartford, ct
lead data analyst (business intelligence) -health care operations-remote,115871.09296740998,emblemhealth,5 - 8 years of relevant experience in data analysis for operations required. serve as a liaison with peers in other departments to ensure data accuracy.,['remote'],remote,
data analyst - governance - d4540,115871.09296740998,soft inc,work on developing data classification and development of security model like data masking. collaborate with business and technical stakeholders in developing…,"['new york', ' ny']",new york, ny
"data analyst iv (teradata, mysql, tableau) -remote",125840.0,professional services - 1,data analyst mysql: 7 years (required). ensures all projects and data developed is value adding and provides actionable insights.,['remote'],remote,
business analyst ii,115871.09296740998,revacomm,"experience: 3-5 years of related work experience with progressively increasing responsibility. you will work with and coordinate between application, platform…",['remote'],remote,
business/data analyst - enterprise laboratory supply chain operations,115871.09296740998,mayo clinic,"bachelor's degree and a minimum of eight (8) years' relevant experience in health care, finance, accounting, business, or systems; certifications may be…","['rochester', ' mn']",rochester, mn
sr. data analyst,115871.09296740998,bloomin brands,"5 - 7 years data analysis experience. ability to data mine, analyze data, and present insights in a meaningful way. experience in hr systems and eeoc reporting.","['tampa', ' fl']",tampa, fl
data analyst,115871.09296740998,tiktok,"partner with data engineers and data scientists on common areas of scalability, data quality management, data delivery management and performance optimization.","['los angeles', ' ca']",los angeles, ca
"business analyst i (remote, 10-6pm pst, mon. - fri.)",52215.0,conduent,record testing/research results and communicate effectively with the development team providing enough detail to replicate results. sql knowledge is a plus.,['remote'],remote,
"data analyst, retirement communications",115871.09296740998,fairfax county public schools,"two years of progressively more responsible experience related to business intelligence, big data analysis, and/or data science.","['fairfax county', ' va']",fairfax county, va
financial analyst,130000.0,hanker system's,"familiarity with 837 claims data or other behavioral health or medical financial data. under the direction of a senior analyst, position queries, analyzes, and…",['remote'],remote,
research & development analyst - telematics (remote),115871.09296740998,geico,"ability to analyze data using statistical, mathematical or data mining methods. you should be comfortable extracting and analyzing data from a variety of…","['chevy chase', ' md']",chevy chase, md
business data analyst,115871.09296740998,ask media group,"you know how to convert data into decisions without getting stuck in paralysis by analysis. be prepared to explain, defend, or revise your analysis in the face…","['oakland', ' ca']",oakland, ca
data analyst,115871.09296740998,sophinea corporation,manage a repository of re-usable data visualization templates and views. ability to use command line tools to access and analyze system data.,"['arlington', ' va']",arlington, va
operations analyst ii,115871.09296740998,lumen,"analyzes data, identifies several different solutions along with pros and cons with respect to impact on the business.",['remote'],remote,
market data analyst,57500.0,oakwood homes llc,"compiling, organizing, and analyzing data from oakwood’s internal data capturing systems (kova): purchaser profiles, lead data, closing data, nhc data, etc.","['denver', ' co']",denver, co
"management and program analyst (data), gs-0343-13, fpl13 (de)",122845.5,us office for civil rights,serving as a management and program analyst for the crdc team. one year of experience in either federal or non-federal service that is equivalent to at least a…,"['washington', ' dc']",washington, dc
data analyst,115871.09296740998,perq software llc,develop expertise in data model and business considerations within the data; provide guidance to team on use and interpretation. o skilled in google analytics.,['remote'],remote,
data analyst,97500.0,millennium consulting,participate in shaping future data. strong abilities in statistical and data analysis. evaluate current data utilization process and provide recommendations for…,"['providence', ' ri']",providence, ri
sr. data analyst,110000.0,enlightened inc.,"minimum of five (5) years of analytics /reporting experience in the health care industry with some exposure to claims, encounter, or other patient data.","['washington', ' dc']",washington, dc
business analyst,115871.09296740998,"baker tilly us, llp","develop the business analysis and project management process. ensure that all projects are properly documented, which includes a business case, business…","['madison', ' wi']",madison, wi
business intelligence analyst,68750.0,floorplan xpress,ability to collect and compile relevant data. uses business intelligence data and tools to identify and monitor current and potential customers.,['remote'],remote,
data analyst (g45),156000.0,resource management associates llc.,5-7 years performing data analysis. develop data solutions to support business needs and data-driven decisions. assess data quality and completeness.,['remote'],remote,
data analyst,115871.09296740998,continuum,"experience building data warehouse and data marts including developing etl process, data schemas and designing and creating new tables.",['remote'],remote,
"analyst, data - remote in kentucky",115871.09296740998,molina healthcare,"job description job summary designs and implements processes and solutions associated with a wide variety of data sets used for data/text mining, analysis,…","['louisville', ' ky']",louisville, ky
tiktok shopping - business analyst,115871.09296740998,tiktok,"attention to detail, affinity with numbers, logical and strong in problem solving. the role is responsible for building strategy and analysis for the tiktok…","['seattle', ' wa']",seattle, wa
federal - entry level analytics analyst,115871.09296740998,accenture,create data visualization dashboards to present findings. create statistical models and identify patterns in data. build applications on a web-based platform.,"['st. louis', ' mo']",st. louis, mo
healthcare data analyst,88400.0,itrending solutions,"proven working experience as a data analyst or business data analyst. technical expertise regarding data models, database design development, data mining and…","['phoenix', ' az']",phoenix, az
data analyst,115871.09296740998,williams consulting llc,ensure compliance contract requirements concerning data analysis and data management. experience with multiple data analysis tools.,"['baltimore', ' md']",baltimore, md
transportation analyst,115871.09296740998,blue line distribution,highly developed analytical and problem-solving skills that results in recommendations based on data and sound business judgement.,"['detroit', ' mi']",detroit, mi
data analyst,85956.0,nisqually indian tribe,help all departments become more data-driven through development and use of comprehensible dashboards and data reports. salary: $35.32 - $47.33 doe.,"['olympia', ' wa']",olympia, wa
sr data analyst,120942.5,ebsco information services,required experience minimum of 5 years of experience working with software development teams required minimum of 3 years experience directly or indirectly with…,['massachusetts'],massachusetts,
