title,company,description,location,salary,is_remote
 senior project manager (ai/ml/data science/digital health) - w2 - remote to start off ," softpath system, llc. ","job details  title: senior project manager (ai/ml/data science/digital health)  location: irvine, ca  duration: 12 months    job description:  develop, execute and manage multiple it projects within their defined scope(s). manage a multitude of interrelated project activities and lead all aspects of the project lifecycle, working with project sponsors/key stakeholders, team members, and management to oversee all phases of project completion. build and manage project’s work breakdown structure, m"," softpath system, llc.  remote or irvine, ca, usa",,1
 sap data science consultant , softpath technologies llc ,"hi, greetings from softpath technologies !! pfb the below requirements with my client if you are interested kindly share your resume to pmahaatsoftpathtech.com role: sap data science consultant  exp: 10+yrs   location: cherry hill, nj duration: contract primary responsibilities  use machine learning, deep learning and other data science techniques to create advanced analytics solutions to business problems  wrangle large datasets, identify critical information, develop and test hypotheses and ma"," softpath technologies llc  cherry hill, nj, usa",,0
 data science intern , cannondesign ,"cannondesign has an exciting opportunity for a data science intern to join our technology in practice team. take a look at the description below. if you think your skills and experience make you a good match for this position, wed love to hear from you. were looking for creative, curious, empathetic people to join our living-centered design movement. about our firm  cannondesign is an integrated design solutions firm focused on helping people continuously flourish. whether designing for innovati"," cannondesign  los angeles, ca, usa",,0
 data science intern , cannondesign ,"cannondesign has an exciting opportunity for a data science intern to join our technology in practice team. take a look at the description below. if you think your skills and experience make you a good match for this position, wed love to hear from you. were looking for creative, curious, empathetic people to join our living-centered design movement. about our firm  cannondesign is an integrated design solutions firm focused on helping people continuously flourish. whether designing for innovati"," cannondesign  chicago, il, usa",,0
 data science intern , cannondesign ,"cannondesign has an exciting opportunity for a data science intern to join our technology in practice team. take a look at the description below. if you think your skills and experience make you a good match for this position, wed love to hear from you. were looking for creative, curious, empathetic people to join our living-centered design movement. about our firm  cannondesign is an integrated design solutions firm focused on helping people continuously flourish. whether designing for innovati"," cannondesign  st. louis, mo, usa",,0
 data science , softcom systems ,"role: data science  location: newark, nj ( contract to hire position ) skills: 7+ experience working with data management, analytics and big data technology financial services experience (mutual fund background preferred) experience with data visualization tools (tableau, power bi) experience with hadoop stack and storage technologies such as hdfs, mapreduce, yarn, hive, sqoop, impala, spark, flume, kafka and/or oozie experience with big data analytics & business intelligence and industry standa"," softcom systems  newark, nj, usa",,0
 data science engineer , horn solutions inc. ,horn solutions has partnered with a client in search of a talented data science engineer to join their team for a new data project where they will be standing up their data science environment from scratch. this client is located in las colinas and the position will be partially on site. the position:  we are looking for an experienced data engineer to join our team. you will use various methods to transform raw data into useful data systems. the ideal candidate should have strong analytical ski," horn solutions inc.  irving, tx, usa",,0
 data science manager , deloitte ,"are you looking to make an impact by helping agencies meet their mission goals through successful implementation and operation of their regulatory, mission or compliance programs? are you ready to help our clients mitigate risks that arise from transformational core business operational change or ongoing operations? are you interested in helping clients transform how they operate their business to be more effective? if so, deloitte's regulatory compliance team could be the place for you! our tea"," deloitte  arlington, va, usa",,0
 data science - intern , ss & c technologies inc ,"at ss&c intralinks we pride ourselves on giving each intern a real-world experience and opportunity to hone their skills, build their portfolio, network with professionals and build relationships, in addition to preparing them for a full-time position after graduation. motivated interns play an important role in making this a reality, but we're here to help! about the team:  we see ourselves as a ""start-up"" within a big product company. we cater to all the flagship products, applications and bus"," ss & c technologies inc  waltham, ma, usa",,0
 data science programmer , perspecta ,"peraton overview peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. as the worlds leading mission capability integrator and transformative enterprise it provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local"," perspecta  mclean, va, usa",,0
 data science manager ," red oak technologies, inc. ","the data science manager is responsible for leveraging structured and unstructured data sets in order to gain critical insight. on how to drive networks, systems, and products forward.  this individual should be an expert data scientist while also being able to lead small teams; responsible for creating machine learning models that help to better understand network capacity, system performance, or licensing consumption across out platforms. the data science manager could be located in any one of"," red oak technologies, inc.  remote",,1
 data science application administrator , saic ,"description saic is seeking a data science application administrator to joing our team to provide support for the division in huntsville, al. this job is temporarily remote / virtual / work from home due to covid-19. will possibly return to the office in huntsville, al once the threat of covid-19 is eliminated. job description: administers cots data visualization application. conducts analysis and collaborates with subject matter experts in the planning, design, development, and execution of ele"," saic  huntsville, al, usa",,0
" manager, data science, analytics ", comscore ,"may 14, 2021  manager, data science, analytics job description  job title: manager, data science, analytics location: reston, va about this role: this position draws on expertise in analysis, big data, and operations to manage and improve the processes that produce comscore's cross-platform, digital, and television audience data. clients around the globe rely on this information to shape business strategies and fuel advertisement buying and selling. this dedicated leader motivates staff and coll"," comscore  reston, va, usa",,0
 director of data science , jobot ,"remote candidates welcome to apply!  this jobot job is hosted by: christina finster are you a fit? easy apply now by clicking the ""apply now"" button and sending us your resume. salary: $275, per year  a bit about us:  confidential search  why join us?  bay area health-tech start-up  series a - with big backings  job details  key attributes: *leadership **managed and delivered data science projects and teams for saas/data platform companies deep domain expertise in ml practices, processes, infras"," jobot  palo alto, ca, usa",,0
 data science product manager , new york life insurance company ,"when you join new york life, you're joining a company that values development, career growth, collaboration, innovation, and diversity & inclusion. we want employees to feel proud about being part of a company that is committed to doing the right thing. through various resources and programs, you can grow your career while developing personally and professionally. the center for data science and artificial intelligence (cdsai) is the 50-person innovative corporate analytics group within new york"," new york life insurance company  new york, ny, usa",,0
 technical project manager(data science) , atmecs ,"hi, position title: technical project manager(data science) location: orange county, ca duration: 12 months solid understanding of agile, scrum and kanban development methodologies.experience with agile project/product management tools like jira and confluence.good understanding of machine learning, data analytics, rule-based systems, and data architecture.experience building solutions based on data, hypotheses, and mvps by defining and aligning on clear requirements, working with a cross-discip"," atmecs  tustin, ca, usa",,0
 data science solution lead ," anthem, inc ","description shift: day job  schedule: full-time  your talent. our vision. at anthem, inc., it's a powerful combination, and the foundation upon which we're creating greater access to care for our members, greater value for our customers, and greater health for our communities. join us and together we will drive the future of health care. this is an exceptional opportunity to do innovative work that means more to you and those we serve at one of america's leading health care companies and a fortu"," anthem, inc  harvard, il, usa",,0
 global head of data science & analytics/ data science leader , baker hughes energy services llc ,"job requirements at baker hughes, we are building a talent community of highly talented and motivated professionals for future job roles. if you match the described job role and are as excited as we are to have you on-board in future, please hit the apply button to be a part of our talent community. as a member of our talent community, you will be amongst the first to get exclusive news about baker hughes, various cool projects we are working on, our employee success stories and new job opportun", baker hughes energy services llc  ,,0
 data science visualization engineer , saic ,"description job description: the pilot training next (ptn) contract is seeking a data visualization specialist to support the data analysis and reporting capability for the air education and training command within the united states air force. the team is seeking a motivated individual with a background in data visualization and analysis. we are a team of ""doers"" with a bias towards action and have a proven track record of implementing innovative technology solutions to solve complex challenges."," saic  austin, tx, usa",,0
 data science visualization engineer , saic ,"description job description: the pilot training next (ptn) contract is seeking a data visualization specialist to support the data analysis and reporting capability for the air education and training command within the united states air force. the team is seeking a motivated individual with a background in data visualization and analysis. we are a team of ""doers"" with a bias towards action and have a proven track record of implementing innovative technology solutions to solve complex challenges."," saic  jbsa randolph, tx, usa",,0
 data science visualization engineer , saic ,"description job description: the pilot training next (ptn) contract is seeking a data visualization specialist to support the data analysis and reporting capability for the air education and training command within the united states air force. the team is seeking a motivated individual with a background in data visualization and analysis. we are a team of ""doers"" with a bias towards action and have a proven track record of implementing innovative technology solutions to solve complex challenges."," saic  huntsville, al, usa",,0
 data engineer/data science , infinity tech group inc ,"position: data engineer location: ny or charlotte, nc (remote till covid)  duration: 9 to 12 months contract   must have extensive hands on experience in designing, developing, and maintaining software solutions in big data and data science platformsexperience building e2e data science using streaming and big data platformhands on experience on implementing  ci/cd using the atlassian ecosystemextensive hands on experience in designing, developing, and maintaining software frameworks using kafka,"," infinity tech group inc  charlotte, nc, usa",,0
 lead data science analyst , discover ,"discover. a brighter future. with us, you'll do meaningful work from day 1. our collaborative culture is built on three core behaviors: we play to win, we get better every day & we succeed together. and we mean it - we want you to grow and make a difference at one of the world's leading digital banking and payments companies. we value what makes you unique so that you have an opportunity to shine. come build your future, while being the reason millions of people find a brighter financial future "," discover  riverwoods, il, usa",,0
 data science consulting - architect , wipro ltd. ,"job decsription is as below the data scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. the data scientist work assignments are varied and frequently require interpretation and independent determination of the appropriate courses of action. the data scientist develops, maintains, and collects structured and unstructured data sets for analysis and reporting. creates reports, projections, m"," wipro ltd.  louisville, ky, usa",,0
 data science lead , cricut ,"company descriptioncompany description  together we make. come make with us.  overview  at cricut®, we believe that we’re all born makers. when we built our first cutting machine, we saw the potential for a simple yet powerful tool to completely transform the way people craft, design, and diy. since then, we continue to innovate with new machines, platforms, materials, and tools, but that’s just what we do. who we are is a bustling worldwide community, a means for connection, and an outlet for u"," cricut  remote or south jordan, ut, usa",,1
 data science ai/ml ," datum software, inc. ","this is a full-time position with my client in atlanta, ga   sr full stack developer, decision science full term position atlanta, ga   overview & key responsibilities the sr. full stack developer will be responsible for bringing bleeding-edge machine learning and optimization models into production together with a highly multi-disciplinary team of data scientists, software development engineers, strategic partners, product managers and subject domain experts.  this role will take models develop"," datum software, inc.  atlanta, ga, usa",,0
 sr. data science - software engineer , motion recruitment ,"the company is a system security supplier and global leader in intelligent immigration and civil aviation security solutions and services, assisting governments with smarter solutions to uncover unlawful transnational activities at international border crossings (e.g., human traffickers, drug traffickers, financial criminals) they're looking for a ml/ai specialist who will partake in the creation of a new patentable technology with a focus on data using python, sql, tensorflow, spark/hadoop, and"," motion recruitment  washington, dc, usa",,0
 director of ml / data science , motion recruitment ,"this ai start-up in san mateo is looking for a director of data science. the company has a very ambitious vision to make a more intelligent search that combines nlp, recommendations, and predictive algorithms to improve lives. this search will be able to make better predictions based on user's goals and preferences to ensure that the most relevant results. with incredible vc backing, this company will make a huge splash in multiple different applications and industries. in this role, you'll be s"," motion recruitment  san jose, ca, usa",,0
 lead data science/ ai engineer , rose international ,"** and those authorized to work in the u.s. can be considered as w2 candidates.** lead principle ai engineer location: irving, tx (onsite once campus will reopen )duration: 1 year and (r2h) principle ai engineer designs and develops scalable solutions using ai tools and machine learning models. performs research and testing to develop machine learning algorithms and predictive models. being a principle ai engineer utilizes big data computation and storage tolls to create prototypes and datasets."," rose international  irving, tx, usa",,0
 data science architect , reliable software resources ,"responsibilities: provides vision, expertise and technology-based solutions in long range planning in the area of systems  architecture. serves as resident expert to conducts studies, investigate the latest technology developments  and analyze impact of current and future system requirements. recommends technology, drafts and presents  proposed corporate policies, drafts and presents proposed procedures, practices and standards. ensures that  new initiatives conform to the firm's long term strat"," reliable software resources  new york, ny, usa",,0
 python developer (nlp data science) , the consortium inc ,will accept remote and non local candidates. must have mathematical modellingpython programming   position:python developer team: item cloud (progressive team that researches and develops new technogolgies)  profile: solid python experience and stellar mathematical modeling abilities process: remote video x2 - verification - start  the python developer is responsible for the design and development of application software within the college board's information technology group. selected candidate," the consortium inc  reston, va, usa",,0
 data science professionals ts/sci fsp , tallon recruiting & staffing ,"data science professionals ts/sci fsp  va, chantilly 20151 security clearance: u.s. citizen, current security clearance, ts/sci, full scope polygraph skills: scripting, data parsing, etl, artificial intelligence, machine learning, devops, secdevops, python, sql, java  we are recruiting for multiple data scientist and data science training positions supporting intelligence collections. qualified candidates will have experience in one or more of the following: scripting, data parsing, etl, artific"," tallon recruiting & staffing  chantilly, va, usa",,0
" technical writer - machine learning, data science ", ignw ,"title: technical writer - machine learning, data science location: boston, ma type: contract to perm job #: kr302581614 note: this job is not open to c2c or 3rd party candidates. ignw is an engineering-based resourcing company headquartered in portland, or with geo based teams in seattle, wa / austin & dallas, tx / southeast us / california. we have global partnerships to deliver the industry's top technical solutions and talent to every one of our clients. some of our strategic partnerships inc"," ignw  boston, ma, usa",,0
" avp, data science - reinforcement learning expert ", deloitte ,"avp, data science - reinforcement learning (rl) expert are you interested in working in a dynamic environment that offers opportunities for professional growth and new responsibilities? if so, deloitte & touche llp could be the place for you. at deloitte, we are creating a world-class artificial intelligence and machine learning (ai/ml) center of excellence to enhance deloitte's existing services and empower our clients to gain exponential value from their data. our focus is on bringing data, an"," deloitte  phoenix, az, usa",,0
" avp, data science - ai graph expert ", deloitte ,"avp, data science - ai graph expert are you interested in working in a dynamic environment that offers opportunities for professional growth and new responsibilities? if so, deloitte & touche llp could be the place for you. at deloitte, we are creating a world-class artificial intelligence and machine learning (ai/ml) center of excellence to enhance deloitte's existing services and empower our clients to gain exponential value from their data. our focus is on bringing data, analytics, and techno"," deloitte  phoenix, az, usa",,0
 data science/business analyst/python/r/sql , motion recruitment ,"a company located right in the heart of the orange county area is looking to bring on a mid-range data scientist engineers. they are currently working on several projects but by far the most critical one up to plate is building out a dynamic pricing revenue model to deploy across the country, with the accompanying data engineering pipelines and aws lakes. they are looking for someone with a background building out statistical models and working within the data to create solutions for the busines"," motion recruitment  irvine, ca, usa",,0
 data science or data scientist , corus consulting ,"we are looking for candidates that are able to manage data without supervision, with high attention to details, with a logical approach and data modeling management experience.   scorecard development would be a plus.   languages: sql, python, r and sas.     job information job title: sr. associate, risk modeling/data science job code:   job family: risk job function: risk management job family description: monitors activities to minimize the company's exposure to risk. activities may include qu"," corus consulting  dallas, tx, usa",,0
 data science consultant with image data , accrete hitech solutions ,"looking for someone with more experience dealing with image datalooking for ml ops expert with the following skills, • design, develop, deploy, and maintain production-grade scalable data transformation, machine learning and deep learning code, pipelines; manage data and model versioning, training, tuning, serving, experiment and evaluation tracking dashboards. • manage etl and machine learning model lifecycle: develop, deploy, monitor, maintain, and update data and models in production. • build"," accrete hitech solutions  santa clara, ca, usa",,0
 lead data science analyst - ihm , discover ,"discover. a brighter future. with us, you'll do meaningful work from day 1. our collaborative culture is built on three core behaviors: we play to win, we get better every day & we succeed together. and we mean it - we want you to grow and make a difference at one of the world's leading digital banking and payments companies. we value what makes you unique so that you have an opportunity to shine. come build your future, while being the reason millions of people find a brighter financial future "," discover  riverwoods, il, usa",,0
 data science & analytics consultant - auto lending , transunion ,"what we'll bring: at transunion, we have a welcoming and energetic environment that encourages collaboration and innovation we're - consistently exploring new technologies and tools to be agile. this environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius. come be a part of our team - you'll work with great people, pioneering products and cutting-edge technology. what you'll bring: a graduate degree in the hard sciences with "," transunion  chicago, il, usa",,0
 director/sr director of data science and analytics , disqo ,"disqo is changing the way that the world's largest brands, agencies and consumer intelligence companies get to know their consumers. we've built the first identity-based platform that combines consumer attitudes and behaviors together to power the most accurate and predictive insights solutions for our customers, and we do all of that with the willing participation of our consumers and without using outdated technologies like third-party cookies. we help our customers get a cross-platform view i"," disqo  glendale, ca, usa",,0
 data science/data engineering consultant w/strong pharmaceutical commercial data exp. , omg technologies ,"role: data science/data engineering consultant with strong pharmaceutical commercial data experience  we are looking to hire a consultant with the below skills set and experience for one of our clients within the pharmaceutical industry, a major pharmaceutical company. this is 6-months contract opportunity with a potential to get extended or hired at the end of the contracting period. interested candidates may share updated resume to carolina - omg technologies.com *ideal candidate is an establi"," omg technologies  princeton, nj, usa",,0
 cloud data science manager , fannie mae ,"company description  at fannie mae, futures are made. the inspiring work we do makes an affordable home a reality and a difference in the lives of americans. every day offers compelling opportunities to modernize the nation's housing finance system while being part of an inclusive team using new, emerging technologies. here, you will help lead our industry forward, enhance your technical expertise, and make your career.  job description  as a valued leader on our team, you will manage staff who "," fannie mae  reston, va, usa",,0
 senior director of global fraud data science and analytics , transunion ,"what we'll bring: at transunion, we have a welcoming and energetic environment that encourages collaboration and innovation.  we are consistently exploring new technologies and tools to be agile. this environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius. come be a part of our team - you'll work with great people, pioneering products and cutting-edge technology.  protecting the health and wellness of our associates and cand"," transunion  chicago, il, usa",,0
" principal cybersecurity engineer, data science & analytics ", discover ,"discover. a brighter future. with us, you'll do meaningful work from day 1. our collaborative culture is built on three core behaviors: we play to win, we get better every day & we succeed together. and we mean it - we want you to grow and make a difference at one of the world's leading digital banking and payments companies. we value what makes you unique so that you have an opportunity to shine. come build your future, while being the reason millions of people find a brighter financial future "," discover  riverwoods, il, usa",,0
" director/sr director of data science and analytics - (remote, us) ", disqo ,"disqo is changing the way that the world's largest brands, agencies and consumer intelligence companies get to know their consumers. we've built the first identity-based platform that combines consumer attitudes and behaviors together to power the most accurate and predictive insights solutions for our customers, and we do all of that with the willing participation of our consumers and without using outdated technologies like third-party cookies. we help our customers get a cross-platform view i", disqo  remote,,1
 it business consultant ii - it rdm biometry & data science , boehringer ingelheim ,"description: description\: as a member of the it research, development & medicine (rdm) biometry & data science team, the it business consultant ii serves as a trusted advisor to the global animal health and human pharma business functions acting as the primary point of contact and interface between the it department and key stakeholders throughout the lifecycle of short-term and long-term projects. the it business consultant ii represents boehringer ingelheim it to the business functions, promo"," boehringer ingelheim  ridgefield, ct, usa",,0
" technology analyst program - cyber, infrastructure, data science, it project management - alpharetta / marietta ", fiserv ,"technology analyst program - cyber, infrastructure, data science, it project management -alpharetta / marietta fiserv's technology analyst program is an early career development program where candidates experience two one-year assignments in a core functional technology role. each assignment builds upon the other and together will provide a breadth of experience in the business world and unique to you! we are looking for university graduates with drive, passion, and an evolving target for their "," fiserv  alpharetta, ga, usa",,0
 principal data scientist/data science customer support services (austin or remote) , wizard tech solutions inc ,"some examples of what you'll be doing: develop strong collaborative partnerships with business and operations leadersuse compelling data, deep business acumen and exceptional communication to drive business strategy and executionidentify business challenges, performance bottlenecks and growth opportunitiesconduct insightful analyses on major trends, thinking 3 steps ahead to guide emerging strategypropose rapid experiments to test the effect of new strategies or initiatives, and iterate quicklyc"," wizard tech solutions inc  austin, tx, usa",,0
" data scientist, panel science ", comscore ,"april 15, 2021  data scientist, panel science job description  job title: data scientist, panel science location:  chicago, il  about this role: comscore is a leading big data technology company that measures what matters to make cross-platform audiences and advertising more valuable. we are seeking a data scientist, panel science to mine our large-scale global consumer panel data sets and provide insights to help inform our methodologies and data insights around the world. the data scientist wi"," comscore  chicago, il, usa",,0
 es194 earth science data specialist , adnet systems ,"es194 earth scie  nce data specialist the nasa earth science data and information systems (esdis) project, headquartered at the goddard space flight center, supports data systems operations for centers across the us. this includes processing, archival and distribution of data from dozens of instruments over a span of more than 40 years. the data is used for research and applications in a myriad of fields including land processes, oceanographic and atmospheric sciences. this particular task suppo"," adnet systems  lanham, md, usa",,0
 head of data sciences , baker hughes energy services llc ,"partner with the best  as head of data science & analytics you will lead a talented data science team and deliver transformational customer insights leveraging digital footprint of the business, installed base and data assets in alignment with the business's overall vision. this is a key leadership position responsible for the creation of new data sciences applications for the customers by envisioning and executing strategies that will influence improvement of the asset and enterprise performanc"," baker hughes energy services llc  minden, nv, usa",,0
" life sciences manager, data analytics ", deloitte ,"life sciences manager - data analytics  work you'll do  a manager at deloitte will manage and deliver components of client engagements that design and implement technology-based business solutions for large multi-national organizations. key responsibilities will include:  manage teams in the identification of business requirements, functional design, process design (including scenario design, flow mapping), prototyping, testing, training, defining support procedures.formulate planning, budgeting"," deloitte  los angeles, ca, usa",,0
"data scientist/modeler - remote based, teleflora",,"experience with ecommerce data analysis is a plus.strong presentation skills, with the ability to translate data into business insights.","delano, ca•remote",,1
data scientist,,,remote•remote,,1
"vp, data science",,"experience supporting data scientists across their many specialities, from analytics to machine learning.support calm’s data science team with clear objectives…",remote•remote,,1
"data engineer, operations decision science",,define and execute the data engineering roadmap (e.g. establish an operational data lake and a real-time reporting environment for the operations).,"atlanta, ga",,0
data scientist -remote,,"understands how to break down the data, extract insights, and determine utility within larger data analytic products.","seattle, wa•remote",,1
"technical sourcer, data science",,"utilizes data for reporting and influencing hiring decisions, while maintaining data integrity.partner with coordinators and recruiters to manage an efficient…",remote+8 locations•remote,,1
data analyst i,,"integrate data from multiple data sets, analyze and interpret complex data sets and make findings relevant and actionable for both internal and external…",remote+1 location•remote,,1
data analyst,,contribute to data models and designs for the data warehouse.our data strategy and operations team is focused on implementing and evolving client's investment…,"los angeles, ca",,0
data scientist,,"demonstrated professional experience in tableau, including server administration, server functions, data source creation and maintenance, reporting and…","cleveland, oh 44143•remote",,1
data science & analytics,,,"south jordan, ut 84095",,0
machine learning data associate,,"this role focuses on language data, primarily in the areas of writing and general data analysis deliverables.writing high-quality and engaging copy.","santa barbara, ca",,0
data scientist,,partner with data engineers to build pipelines that apply clinical logic to raw data.become an expert in the data we collect and use that data to enable us to…,"burlingame, ca 94010",,0
data product associate,,"proactive communication : serves as a project expert, thought leader, and strategic advisor to business stakeholders and data science team; collaborate with all…","san francisco, ca (north waterfront area)",,0
data science resident,,"as part of the residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a data…","san francisco, ca 94105+7 locations (south beach area)",$35 an hour,0
lecturer of data science,,"the ideal candidate will have a broad knowledge of data analytics, with a strong interest in teaching to multidisciplinary, liberal arts audiences, including…","williamsburg, va 23187",,0
data engineer,,"experience with data modeling, data warehousing, and building etl pipelines.demonstrated strength in data modeling, etl development, and data warehousing.","new york, ny",,0
part-time student-smart connected factory/data and analytics...,,locates and acquires data from existing data locations as needed to support analytics and reporting.education focused in data and analytics.,"waterloo, ia 50704•remote",,1
"part time faculty - data science, analytics, or statistics",,"teach undergraduate and graduate courses in statistics, analytics, and data science.teaching responsibilities may include one or more courses including but not…","marietta, ga 30060",,0
adjunct lecturer in data science,,position title adjunct lecturer in data science.the data science program at the college of william and mary is recruiting a pool of applicants for possible…,"williamsburg, va 23187",,0
data linguist-i,,deliver high quality data output under aggressive deadlines covering unique data analysis requests from a range of customers.business level fluency in english.,"cambridge, ma",,0
data scientist (spring 2021 co-op),,work closely with data scientists and analysts to design and develop data mining and machine.distributed data systems such as hadoop and spark.,"champaign, il",,0
ai/ml - machine learning researcher,,"demonstrated expertise in machine learning research.publication record in relevant conferences (e.g. neurips, icml, iclr, aaai, cvpr, iccv, eccv, acl, emnlp,…","santa clara valley, ca 95014",,0
data analyst - remote,,use your understanding of the intelligence analysis process as a defense sme to translate complex data science approaches to solutions into meaningful…,remote•remote,,1
"senior lecturer (online adjunct), ms data science, sbe",,emphasis is on the role of data in developing business strategy.course explores the use of insights obtained from data to develop solutions to competitive…,"superior, wi•remote",,1
senior data analyst,,"duties: discover, analyze and deliver data that applies to various business scenarios and opportunities; develop metrics and present them through quality…","sunnyvale, ca 94086 (washington area)",,0
data science research specialist,,experience in data science relevant to the position description.research experience in geospatial data science or a similar field is a requirement to start…,"minneapolis, mn•remote",,1
research data scientist,,"experience with data visualization libraries such as matplotlib, pyplot, ggplot2.experience with machine learning, statistics, or other data analysis tools and…",remote+6 locations•remote,,1
data scientist,,"to ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three hours of a hub.","san francisco, ca 94104 (financial district area)•remote",,1
data scientist,,experience working with sensitive or personally identifiable data and handling associated governance issues.analytical or research experience from any relevant…,remote•remote,,1
